feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CON21__111618	Group	MI	-1.55485733840551	0.562564546677047	84	33	0.00705162617810142	0.121369335180784
MI33__2996	Group	MI	2.09394294900546	0.756088734000642	84	65	0.00694253207850957	0.121369335180784
HF2__12811	Group	MI	1.63731139351812	0.604307243539192	84	25	0.008204775942591	0.138552348464508
HF29__30629	Group	MI	-0.900550831065312	0.334025428931709	84	16	0.00851239759118846	0.141085108224327
CON13__38366	Group	MI	-1.4172589493361	0.540069522476415	84	41	0.0103557878534465	0.166128603981345
HF28__108909	Group	MI	-1.48264067104618	0.565282640309419	84	35	0.01039463890833	0.166128603981345
CON13__68260	Group	MI	-1.37859222880935	0.528462586216201	84	24	0.0107990722924792	0.16664085692705
MI19__49351	Group	MI	1.63748774456822	0.627694357996788	84	59	0.0107976304451468	0.16664085692705
HF37__44609	Group	MI	1.57372706315768	0.615247787941058	84	42	0.0123718228181415	0.187674261393841
CON43__88736	Group	MI	-0.987140053524144	0.395263619594331	84	19	0.0145102872557192	0.216445118231144
CON20__8042	Group	MI	1.77807390179213	0.729504272215703	84	67	0.0169573323814477	0.240901785418979
CON34__3956	Group	MI	-0.669517340208184	0.274277276204603	84	11	0.0167986360345068	0.240901785418979
MI21__38893	Group	MI	2.11582028352893	0.865116335276558	84	34	0.0165970480933861	0.240901785418979
MI19__6784	Group	MI	1.32522048479999	0.547203503531747	84	31	0.0176491468705255	0.243015176140313
MI25__71463	Group	MI	-1.75982791746681	0.725101789197138	84	70	0.017415191053926	0.243015176140313
HF32__41880	Group	MI	-1.09118255540463	0.452074856130345	84	19	0.0180182758546339	0.24433874075602
HF48__31437	Group	MI	1.44801513881078	0.605689684793747	84	64	0.0191079491881043	0.255247977960498
CON19__37443	Group	MI	-1.08019809733547	0.454851729437919	84	25	0.0198916279345634	0.26180892649168
HF15__100025	Group	MI	1.41819711888479	0.604722630590474	84	25	0.0214335035765872	0.266671287193306
HF9__8746	Group	MI	0.873085355177067	0.371867094431756	84	29	0.0212919700928151	0.266671287193306
MI13__108308	Group	MI	1.30566670222981	0.553119871071042	84	47	0.0206222292367801	0.266671287193306
MI28__33781	Group	MI	1.79894745969579	0.767941915010741	84	77	0.0215762044288979	0.266671287193306
MI38__73232	Group	MI	1.04728828345449	0.447685453228769	84	26	0.0217508424191188	0.266671287193306
CON44__73208	Group	MI	-1.55804447050133	0.674652875242108	84	29	0.02343699367788	0.272417004437696
HF32__28961	Group	MI	-1.7154228157692	0.73945200479122	84	46	0.0228354436805758	0.272417004437696
HF33__41577	Group	MI	1.68398460328099	0.727529740592254	84	64	0.0231326730801023	0.272417004437696
HF38__1166	Group	MI	-0.564874766773281	0.243875918615079	84	13	0.0230420723982909	0.272417004437696
CON4__16143	Group	MI	-0.974421017512652	0.424458519238142	84	23	0.0242477004458519	0.27470496074731
HF37__19724	Group	MI	1.40449088120079	0.611728422012816	84	78	0.0242322089166817	0.27470496074731
HF38__2107	Group	MI	-1.02877611304029	0.451228172723811	84	27	0.0252076738678758	0.278529235947517
HF9__167	Group	MI	0.951778428403563	0.416696800854285	84	26	0.0249508670210742	0.278529235947517
MI30__2851	Group	MI	-1.74068620815327	0.775551124859651	84	39	0.0274973443762741	0.300123453862991
MI37__9456	Group	MI	1.3455609551406	0.602805142734619	84	60	0.028331311149509	0.305500282877235
HF38__2035	Group	MI	-0.622621797968213	0.279912612953818	84	20	0.0288738144721091	0.307643618482591
HF13__11512	Group	MI	-1.14700245916717	0.526619742355777	84	30	0.0322748821412086	0.33631707236857
HF24__13775	Group	MI	1.23880216819134	0.568908405377907	84	62	0.0323165008086	0.33631707236857
CON32__30458	Group	MI	1.37882526874867	0.635123441814633	84	65	0.0328255152505433	0.337687771830302
CON46__87773	Group	MI	-1.62692894036248	0.756105055042978	84	47	0.0343605408074517	0.349462318439424
HF6__117396	Group	MI	-1.83104657280911	0.854146914751189	84	26	0.0350179993862274	0.350672846784799
MI13__26427	Group	MI	1.11774775495613	0.522126551138457	84	30	0.0352631912967954	0.350672846784799
HF20__70910	Group	MI	1.45135044982969	0.679478091222593	84	70	0.0356633226280315	0.350754656616354
HF27__136154	Group	MI	1.28531848701084	0.605798660466611	84	79	0.0368822683571574	0.358800328039737
CON19__33387	Group	MI	-1.65423059745568	0.786148259205853	84	47	0.0384219176822496	0.362722183346685
HF10__24733	Group	MI	1.19758014141951	0.574268533064853	84	79	0.0401425704169447	0.362722183346685
HF24__54761	Group	MI	-1.23321596686477	0.591445993760803	84	27	0.0401718878442222	0.362722183346685
HF27__93109	Group	MI	0.489783168357709	0.233208573100986	84	13	0.0387847403410424	0.362722183346685
HF47__61033	Group	MI	2.16420508423388	1.03198826280774	84	62	0.0390633929155507	0.362722183346685
HF7__74943	Group	MI	1.68213976295067	0.806344968327644	84	55	0.0400747773647668	0.362722183346685
MI26__5653	Group	MI	-1.90540865053774	0.915496349097423	84	66	0.0405276182510263	0.362722183346685
MI7__1225	Group	MI	1.90529666773675	0.911924829560972	84	65	0.039779518687006	0.362722183346685
HF39__7688	Group	MI	1.25491713623742	0.605947433101715	84	23	0.0415036865380227	0.367780192589409
