feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CON28__41275	Group	MI	2.5427602889895	0.873021138268739	84	25	0.004616541534856	0.129503038846846
CON30__115695	Group	MI	-1.82973525654694	0.620467599017781	84	24	0.0041531159650051	0.129503038846846
CON43__25730	Group	MI	-1.32128323245948	0.446427508645889	84	16	0.00402493684198352	0.129503038846846
HF11__83897	Group	MI	-2.40790727033278	0.828588902479013	84	68	0.00470512770896846	0.129503038846846
HF30__18734	Group	MI	-2.61995739144313	0.894397087349206	84	73	0.00439806984943577	0.129503038846846
HF32__8300	Group	MI	-2.04129074755432	0.677795064260538	84	42	0.00345365824625585	0.129503038846846
HF38__2841	Group	MI	-1.4275003945044	0.482920178914388	84	25	0.00406882690926558	0.129503038846846
HF38__3783	Group	MI	-1.03668352396534	0.349014991052575	84	20	0.00390144050251357	0.129503038846846
MI5__13031	Group	MI	-3.26249871649636	1.08948484123558	84	47	0.0036330446269128	0.129503038846846
CON18__42913	Group	MI	-2.94759557014028	1.02120009787792	84	44	0.00497943999418328	0.130823468938088
MI8__156484	Group	MI	1.92419131811203	0.665889788758278	84	64	0.00493301863147236	0.130823468938088
CON43__49144	Group	MI	-1.28880587410591	0.452849877837529	84	21	0.0055911205525257	0.134652819973327
CON43__63843	Group	MI	-2.15128041544653	0.755524587720662	84	61	0.00556866029158494	0.134652819973327
HF18__52113	Group	MI	-2.20493519209832	0.769737465325189	84	52	0.00530241704689064	0.134652819973327
MI10__17656	Group	MI	1.72440156216947	0.604749692694243	84	39	0.00550492885191223	0.134652819973327
HF19__56756	Group	MI	-1.85299714833984	0.654261195885661	84	55	0.00581517501991028	0.137190659653394
CON13__53861	Group	MI	-1.66096760767892	0.602165198648078	84	35	0.00716190766950178	0.153532600143609
CON21__111618	Group	MI	-1.49782317153106	0.540658423923646	84	33	0.00692449861409678	0.153532600143609
CON22__29078	Group	MI	-2.38593570077726	0.86515131706061	84	44	0.00717193806899214	0.153532600143609
CON34__40685	Group	MI	-1.54806457035992	0.556784471036467	84	31	0.00673291447092709	0.153532600143609
HF2__12811	Group	MI	1.75262856046035	0.632980823753604	84	25	0.00695404700632432	0.153532600143609
CON13__83545	Group	MI	-1.14868908463304	0.428920968205801	84	21	0.00894300476184273	0.187965700085276
HF29__30629	Group	MI	-0.870350361791708	0.325958822784379	84	16	0.00914023135735062	0.188680490162452
CON13__68260	Group	MI	-1.27857774334344	0.481902021594763	84	24	0.00957263622531069	0.194139780288757
MI33__2996	Group	MI	2.07271900262128	0.789980870759838	84	65	0.0103686002615605	0.206656929351102
HF22__7545	Group	MI	-1.8410576495747	0.704838207917183	84	70	0.0107022001283802	0.209690565227245
CON43__88736	Group	MI	-1.1907401701549	0.457572193934801	84	19	0.0109862271641963	0.211667976696849
