feature	衣原体纲..Chlamydiia.	芽孢杆菌纲..Bacilli.	γ.变形菌纲..Gammaproteobacteria.	梭菌纲..Clostridia.	拟杆菌纲..Bacteroidia.	柔膜菌纲..Mollicutes.	放线菌纲..Actinomycetia.	黄杆菌纲..Flavobacteriia.	α.变形菌纲..Alphaproteobacteria.	β.变形菌纲..Betaproteobacteria.	丹毒丝菌纲..Erysipelotrichia.	ε.变形菌纲..Epsilonproteobacteria.	Negativicutes纲	δ.变形菌纲..Deltaproteobacteria.	真细菌纲..Eubacteriia.
CON8	-1.14571350365294	-3.5517741157483	-2.31028560127359	-3.10924357850064	-4.9938437435231	-4.50395016278804	-5.04894225370288	-8.97736601086104	-6.47534430844768	-8.09306923204753	-10.2512887328376	-9.60219589469669	-22.6993521663032	-8.61690667807214	-5.79165840955966
CON9	-1.86615877039062	-3.35848367125129	-2.98475375547035	-6.50816838036833	-11.6296530267529	-6.55586512239963	-1.08075237798747	-12.666411576763	-13.256035454854	-14.3575734813161	-16.9425359820372	-16.6206078871499	-17.6206078871499	-15.9425359820372	-7.19686165803511
CON10	-0.998437612503595	-4.44664447339793	-2.77928779519296	-3.38237465353818	-4.07276995280478	-3.13472745983385	-6.82927717615906	-9.04920500849486	-6.22302303986562	-10.5314875662602	-9.34238027367029	-8.06844374229946	-22.6993521663032	-11.4206889278565	-6.89830778043434
CON11	-1.11282809790927	-4.10050412699703	-2.40208579962184	-3.39116526697196	-3.1646964211483	-4.89139866922038	-5.33804375976536	-8.57321275892124	-6.49039948095664	-8.73007643073408	-8.57321275892124	-9.30101350464322	-22.6993521663032	-12.2041025300919	-7.8419279805358
CON12	-1.74585534018838	-2.21946165689464	-2.12726480396197	-2.69142807683027	-11.1023611777764	-5.95360906942363	-4.40357152983199	-4.76925275277081	-10.8359677598527	-16.6772700138336	-17.2622325145548	-9.346353135719	-22.6993521663032	-15.6772700138336	-10.3022305824867
CON13	-0.972087594915934	-3.90653191712813	-2.56975160361559	-3.23210134217699	-4.88514141451052	-4.29496120451834	-5.62755351885732	-8.60713080110393	-5.65082671081963	-9.91300820794346	-9.02465356377237	-8.06501130138851	-22.6993521663032	-8.55112041518338	-6.39828156508102
CON14	-1.46150475676341	-3.46400776614324	-3.04529866383588	-5.79133056677275	-1.46342837053671	-6.0801640967852	-6.5341653078686	-10.8267848289347	-7.37060863486237	-11.9642883526846	-13.4726295718029	-10.1235962467529	-14.5232556448728	-19.3552413930545	-6.50624843336097
CON15	-0.924992518222025	-3.58891749916297	-2.61663718409009	-3.1816290315367	-5.23935923653995	-4.9115408269008	-6.63713519619568	-6.62696574749563	-6.72743965319024	-9.53893210701297	-7.33305426765084	-6.79430611979189	-22.6993521663032	-9.27375083316263	-6.72102698608466
CON16	-1.23709192447641	-3.01906068849034	-3.1273816973024	-2.87284228269759	-6.14291213043947	-2.8572202412294	-7.85991886363853	-7.38204959601102	-5.93948433159983	-9.6923099568354	-12.2226873197909	-7.21600713325666	-22.6993521663032	-14.6329712890992	-6.10508278986972
CON17	-0.737375800933918	-3.81638559911604	-3.01882200567676	-3.60896327168128	-7.21728965833911	-4.07204449462751	-6.19473964549878	-7.90815816684482	-6.32388479679876	-9.19410951007016	-5.83388633049621	-11.1457880274255	-22.6993521663032	-18.3552413930545	-7.0223656619018
CON18	-1.02116672663048	-4.07269465170788	-2.75372208367322	-3.40208625271398	-6.83836040238093	-2.88044955209106	-5.13956894377367	-9.48581882883585	-6.31124976357611	-10.1033491920134	-8.60434065240034	-9.63853772236548	-17.8781362516146	-9.77353749805024	-6.35506442467421
CON19	-1.05126057915558	-3.89572355683749	-2.77691661158149	-3.72576221501203	-7.86093218116687	-4.92424037917252	-2.59058411719882	-9.61316151284534	-7.12226479377369	-10.0581455485047	-8.04309458034008	-8.2538616765569	-11.0445442823956	-12.2300240980328	-6.89801484836534
CON20	-1.6426423842161	-3.50217705509939	-2.44153514703759	-3.78755771853983	-4.2777561404777	-2.12406284624509	-6.18016005814737	-6.16629727075496	-6.04790080344974	-10.5547336096385	-10.0936380893151	-11.5981106721759	-18.024375426878	-19.3552413930545	-6.75130835115592
