Feature	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI30	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
Crevaviridae	908.9979	3350.7345	0	1252.803	0	0	0.8444	0	595.8963	0	0	0.0313	0	99.0679	30537.2869	0	0.3951	0	0	606.5207	0	3844.8517	35715.0097	1723.7902	0.1214	52.54	1816.2349	0.1484	53.9164	1718.3792	0.5075	0	2.1703	5906.2809	0	2390.8111	24832.0256	825.3185	46.6963	620.7636	11379.3316	0	8068.341	0	0	75.5434	0.1164	6.4501	0.6964	0	852.8049	0	6.3251	435.6045	0	644.8136	0	0	153.8213	0	0	0.8302	0	0	173.7467	0	0	25.165	0.3252	2.4639	633.0897	0	0	0.0334	1454.9716	0	0	34.4122	2.4936	0.0314	4.3766	0.749	0	1.0225	0
Demerecviridae	1858.9911	1094.3234	814.0166	2351.6718	435.2106	590.0085	1614.6757	116.2395	13904.1946	317.914	809.5086	909.4156	750.7974	1281.7122	351.9351	2231.9784	7589.2647	3646.6774	1437.2204	717.017	12925.4525	2752.8815	1691.2917	599.2299	1964.3554	2048.615	605.8862	629.6999	305.4643	628.779	4317.2675	144.0039	519.6691	1603.317	1634.8683	734.7309	839.6336	388.6696	1641.3584	6189.2491	2129.4438	2197.5257	450.7571	251.198	23408.3527	795.2781	19900.0448	645.7016	2530.0523	23695.5248	553.9561	3472.1183	508.6638	857.1636	2136.7388	2004.3096	9185.9574	432.8683	5077.3987	941.2014	563.0497	1017.9035	1.6714	287.4083	914.3992	5280.0735	2962.5174	1099.799	523.5877	905.693	711.0826	3437.4849	3921.6483	344.0341	1800.9408	2591.8749	1902.6282	5110.2206	1762.5606	1214.7926	388.2185	638.362	317.2505	1096.7866	526.673
Draupnirviridae	2.4616	0	3.1409	0	0	128.7136	0	0	0	0.6026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2706	1.1608	0	0	18.094	0	0	223.0537	0	1.0228	0	12.6103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2411	0	0	0.6542	0	0	0	0	0	0	0	0	0	288.6897	0	0	0	0	0	0	0	0	0	0.47	0	2.7425	0.5057	0	135.3404
Drexlerviridae	991.9722	807.7214	433.1081	530.7763	2874.1843	605.9011	780.123	38216.8927	914.5321	1602.4741	436.9585	1301.4841	2901.8668	670.4986	289.5595	1184.1335	481.1898	862.2166	436.3959	8944.1048	3187.7393	2861.4337	450.6343	1196.2058	923.1506	919.9942	1409.0657	698.2124	1880.0108	1440.0047	279.6106	4945.5669	944.094	15223.1356	4251.6019	909.0032	1048.6252	10867.4523	2152.958	1571.2023	219.2371	919.7822	1142.3499	1926.9688	255.6504	2428.4131	745.5281	2605.3503	574.6019	14.9194	2552.5285	345.0694	1747.4267	2188.8623	2354.0046	932.6125	1926.8118	1349.222	1013.8857	6916.6126	1858.9951	662.8415	2128.8167	1881.1352	1215.7321	1592.3561	1959.2669	450.6775	3515.7855	424.9898	1411.9012	1429.4589	1131.7569	389.1548	1929.9118	1346.1024	1167.9263	783.9685	598.2762	16332.9776	2137.9535	1102.091	325.8847	1799.7155	786.6492
Duneviridae	0	0.5811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.343	0	0	0	0	2.4181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.6298	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5255	0	0	0	0
Epsomviridae	1492.3273	1025.7987	1528.7462	1145.0627	890.1704	1558.9068	152.592	19.6478	183.0918	330.9842	730.491	2224.7154	8398.4776	280.2679	835.3347	402.8224	1676.0097	341.4298	4943.2797	114.2984	111.7384	872.4968	304.3252	744.188	994.8956	637.8707	251.8526	276.5252	853.3216	438.9508	341.1278	2518.2698	1721.7421	618.2077	3571.5892	353.6547	601.6041	977.0821	110.3462	364.5867	175.832	1339.7123	594.4651	1737.7985	834.34	550.0639	86.7082	350.5086	180.3078	830.9995	233.641	2113.2193	344.9239	318.8115	237.8943	220.6416	374.2099	500.9882	271.9822	425.3767	122.3625	630.2516	8399.5126	10578.6895	263.7144	461.7046	334.5014	2711.8459	2094.8737	4311.1865	209.7202	766.557	196.8266	938.126	201.2104	1321.1179	536.7302	736.8253	355.7778	1428.2726	242.6756	350.4004	416.5601	392.5347	2507.0892
Felixviridae	0	0.656	0	0	3.7589	0	0	0	0	0	0	0	0	0	0	0	0.2349	0	0	0	0	0.0551	0	0	0	0	0	0	0.1173	0	0	0	0	0	0.078	0	0.1109	0	0.076	0	0	0.6283	0	0	0.3161	1.85	0	0	0	0	156.2552	0	0	0	0	0	0	0	0	0	0	0	4.0167	2.4601	0.5294	0.8545	0.8437	0	0.0618	0.1147	0.597	3.3622	1.4222	0	0	0.2974	0.361	0	0	4.1926	0.611	1.673	0	0	0
Guelinviridae	0	0.1586	0	0.6501	56.0597	4.1725	0	30.0777	1877.2248	0.2292	23.7358	5.1411	0	2.0462	11.2893	0	0.4299	10.1628	70.1518	24.0835	218.0925	260.9982	0.0972	94.5049	33.2081	3.6445	0	0.3158	33.617	1238.4452	0.3972	0.7997	375.5756	0.1812	31.7806	121.9402	47.4221	0	7.2456	1198.0783	0.2901	11.2242	650.3653	1.3832	2.3694	38.79	14.2775	0.5032	1.1066	30.1412	7.3185	4.8807	13.8507	0.3814	2.7536	9.6463	1.6277	37.0403	33.7002	0	0.0604	1.232	200.063	2.048	1788.0027	0.1196	0	12.6918	9.3539	0.1663	1184.7702	0.9695	0.0682	8.9836	4.9118	23.0464	3.3012	0.1679	6.765	0.1636	21.2684	1.0506	1.6185	88.6448	13.0628
Helgolandviridae	0.3939	0	0	0	0	0	0	0	0.3384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4769	0	0	0	0	0	0	0	3.2604	1.8626	0	0	0.9949	0	0	0	0	0	0	0	0	0	0	0.9491	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1618	0	0
Herelleviridae	5977.0152	5051.6871	5381.3885	4818.8297	6661.0043	6509.1346	6999.1911	8.705	3908.0968	4538.7024	5079.2027	5384.4985	7615.5952	5896.3958	3435.3906	3567.0429	4373.2233	10271.8179	4012.451	4195.6422	5019.5531	8688.1537	5052.6402	3954.0816	7185.5663	5982.2143	6946.1781	4705.7711	3834.566	7069.8933	9001.5928	4349.8903	3493.086	4871.1176	8392.7599	5853.195	3719.3537	4053.7348	3425.729	3451.4815	5409.7475	3685.1194	5295.2946	2231.8618	1215.2043	4450.2273	1241.0386	6468.4591	12295.3742	14450.1533	3421.6265	5189.7459	8131.6894	5131.4396	3428.6536	4665.2062	8144.8561	6843.8976	3551.7879	4835.7012	6623.1889	4178.8094	10254.6137	8004.289	6666.0423	7318.7321	6956.6352	5884.4764	11502.1701	7729.3202	7265.7352	5905.4488	5971.7187	4498.632	6175.1622	4323.3986	6508.882	3651.1967	5311.6047	6137.5988	6768.1741	5718.3764	12410.0263	6902.6942	5237.5209
