feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Siphoviridae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON26	-17.0504732336789	-8.83579335473688	-16.5058695529567	-15.6806869448901	-10.8746025601589	-12.4624733547532	-18.5153459227135	-3.37302713226531	-19.4952580763518	-11.2706984957843	-13.4057428728818	-19.7928188364994	-9.87474386903724	-18.3560163567064	-20.5284099805539	-7.95530868488934	-4.30351842942405	-8.15150387724242	-4.16959030561541	-14.218338371393	-19.4964590992588	-0.449141966686217	-10.3692104367814	-7.90726909561604	-13.5980131372187	-18.2177465442805	-15.6710498732118	-20.3138209203507	-18.7607364527479	-16.2010774443152	-8.37106648726412	-20.2457523033892	-18.7173835362876	-16.0043155775712	-8.81025709969823	-18.87130347288	-10.9969509587352	-4.60414535985993	-17.5790541649203	-19.021449991834	-17.7318069189007	-8.99381656860486
CON27	-4.87156429138396	-13.8722740016302	-3.32954859030237	-15.7287692138861	-15.6707370925147	-3.0797191944433	-5.43708091034085	-6.05754173311812	-14.0200713447427	-8.15059369666921	-19.2095622724683	-11.7999746623731	-3.82293040596901	-18.3560163567064	-8.90875699709415	-5.67757803101333	-5.50840442319603	-7.96746607606503	-8.60771900823391	-3.43887398784515	-7.90747117255191	-1.93436016747247	-12.7270879468961	-10.2897291663839	-20.783288698259	-7.08002261885046	-9.18813512124588	-20.3138209203507	-18.7607364527479	-22.002798439277	-10.0016615452829	-10.4476522994028	-18.7173835362876	-3.27765231096257	-3.81066875052519	-6.80036684842268	-17.5612579150138	-7.96014047395096	-17.5790541649203	-10.7570540943458	-5.18372371122937	-20.0112792294344
CON28	-5.35578376911736	-9.30602031639373	-16.5058695529567	-20.4102587949152	-10.6812043483803	-8.68102432279423	-18.5153459227135	-0.76038608585131	-19.4952580763518	-21.1178400017032	-14.7694675752495	-19.7928188364994	-4.32029264406733	-14.6233288266715	-20.5284099805539	-14.5619282820074	-7.37634833798898	-14.7305278859831	-5.27123740942387	-6.16257704689667	-19.4964590992588	-1.9710305454844	-18.5359196284024	-10.7997253963422	-10.0656292806465	-18.2177465442805	-15.6710498732118	-20.3138209203507	-14.3888635730345	-22.002798439277	-14.7872703977692	-7.18243665356409	-13.7365017870278	-16.0043155775712	-8.63362763588784	-18.87130347288	-12.9000803386717	-6.42114444782614	-7.25439260875605	-19.021449991834	-13.9888009177232	-20.0112792294344
CON29	-16.0504732336789	-17.2501455785153	-16.5058695529567	-8.91257013190234	-17.039030918618	-3.35639226879651	-18.5153459227135	-1.57572182050706	-18.4952580763518	-21.1178400017032	-19.2095622724683	-13.0129356177602	-9.87474386903724	-18.3560163567064	-15.3553278152073	-6.75771339142982	-5.44792795462672	-9.45708422831093	-14.1813673005298	-3.46457497665658	-10.5700058607521	-1.827249961935	-10.7834742789256	-9.60865825403359	-20.783288698259	-9.28842459034859	-12.8322930636294	-20.3138209203507	-18.7607364527479	-12.2940114638869	-19.8254262455974	-20.2457523033892	-11.3507886555922	-6.26711116724309	-3.27594947997806	-18.87130347288	-12.2263912252158	-6.92017993627145	-14.4655107329577	-19.021449991834	-10.499019995148	-5.13897763768832
CON30	-8.41753569470973	-10.2820299363535	-11.4158802785317	-20.4102587949152	-9.29607428407289	-3.23846639401405	-10.1324609501855	-2.89112379554069	-19.4952580763518	-9.4942544510139	-12.2602100009669	-15.9885137941908	-6.16590930325484	-12.3125070808124	-18.0507980724451	-8.59849625911451	-6.08092487969998	-3.30607551250733	-14.3180819512803	-6.16048908356991	-9.60505287132611	-1.60441601428663	-18.5359196284024	-10.4559978085271	-8.81722538671327	-8.69227614530152	-11.8749917133228	-20.3138209203507	-6.00535290666524	-18.2154287742179	-12.1559803091372	-7.29878644879766	-18.7173835362876	-6.79082985945247	-3.72214170520273	-5.18316539584048	-12.6133927601378	-3.01536889936801	-17.5790541649203	-19.021449991834	-7.62169906648422	-7.55930844589342
CON31	-12.5960078931917	-8.93154304143106	-16.5058695529567	-20.4102587949152	-8.82008428275726	-6.03169720965988	-18.5153459227135	-4.86903993817252	-19.4952580763518	-2.5861936562202	-12.2214494632679	-19.7928188364994	-4.75287508624911	-10.0361630513499	-20.5284099805539	-10.7225759392604	-4.03568563291562	-7.04013355203871	-6.1511081352478	-6.21098617376659	-19.4964590992588	-1.12877905894426	-8.77996274476363	-14.1195698492487	-8.33660141455029	-16.0061117994654	-15.6710498732118	-20.3138209203507	-7.48660768877985	-13.3604785930112	-3.92529800331395	-10.9617176801069	-9.18282484965158	-16.0043155775712	-5.3241204808039	-12.0223676902233	-3.84861713214156	-6.40224134320319	-12.2752207197089	-19.021449991834	-9.42608289174936	-16.3010167205862
CON32	-17.0504732336789	-10.1593978465548	-16.5058695529567	-20.4102587949152	-10.9225518798256	-4.30738006880201	-18.5153459227135	-3.76913803591668	-19.4952580763518	-21.1178400017032	-14.2320037606005	-19.7928188364994	-9.87474386903724	-13.4643116508021	-20.5284099805539	-8.7601138340034	-12.7300017316442	-16.9213232768672	-7.98061322331247	-5.46818614585519	-10.0349393818377	-1.99318267901854	-2.81737747355956	-11.7790029943734	-8.76891934190718	-18.2177465442805	-15.6710498732118	-20.3138209203507	-9.08923226169133	-22.002798439277	-18.2749869311513	-6.19950418740223	-14.2012772449683	-16.0043155775712	-4.36707563606947	-18.87130347288	-9.95903394422164	-1.55288866758759	-8.39946050645209	-19.021449991834	-8.58127516725633	-4.73045996682543
CON33	-6.96689959648421	-8.72887558580274	-16.5058695529567	-14.6453522302405	-17.039030918618	-3.53718571322394	-7.01347713037075	-4.7216392959299	-19.4952580763518	-20.1178400017032	-9.66683500388521	-14.9415172290627	-7.00510729401811	-18.3560163567064	-11.5768208485696	-10.2647800151348	-4.59779350393832	-10.9803364779533	-5.26908015256843	-2.88091581430625	-6.98163707775802	-1.26355354618969	-13.3156467847614	-8.50386641432298	-20.783288698259	-9.35638849816928	-9.34315176021508	-20.3138209203507	-18.7607364527479	-22.002798439277	-10.5689410488376	-5.27054575038986	-18.7173835362876	-4.1402246691299	-3.15014316018376	-18.87130347288	-9.6776352495279	-6.81068474008614	-17.5790541649203	-19.021449991834	-7.00898235221218	-20.0112792294344
CON34	-10.8193511341826	-11.5729893504044	-16.5058695529567	-20.4102587949152	-12.4606551118208	-4.61373234420215	-18.5153459227135	-1.92451070722829	-19.4952580763518	-10.0962394106116	-13.3743676216277	-19.7928188364994	-9.87474386903724	-17.0437036796759	-10.7310682061729	-9.13312908281235	-4.78823111102845	-14.9858596051037	-8.87455305950019	-5.22305509085001	-14.8796195568227	-1.76765381072312	-7.2885960861565	-9.28808772758996	-19.5396611743384	-18.2177465442805	-15.6710498732118	-20.3138209203507	-11.5752092231933	-17.0241634932803	-9.0667360616304	-20.2457523033892	-18.7173835362876	-16.0043155775712	-1.79811012338737	-18.87130347288	-11.9458630752532	-5.42005077162301	-17.5790541649203	-19.021449991834	-7.36106813910222	-7.64451316150604
CON35	-8.92891726899609	-10.3483387068507	-16.5058695529567	-20.4102587949152	-12.6847917595959	-3.62776790662699	-18.5153459227135	-1.72162405669865	-19.4952580763518	-17.0802862262502	-13.4721340981572	-19.7928188364994	-9.87474386903724	-18.3560163567064	-20.5284099805539	-8.46603649856083	-5.50658644803273	-16.9213232768672	-14.1814329497071	-6.10890234194059	-19.4964590992588	-2.47041814455107	-13.4754241680914	-6.56636676615095	-12.1956069097319	-18.2177465442805	-15.6710498732118	-20.3138209203507	-11.9316684179898	-22.002798439277	-11.6813050731905	-20.2457523033892	-5.97582397390565	-8.97292382756219	-1.4895814190014	-18.87130347288	-11.2928673058311	-7.74778340496481	-9.46721301877214	-19.021449991834	-10.0999879450148	-12.0221942571622
