feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
CON3	10013.1921	1565.2507	172.7817	36.8511	2652.1743	4157.5373	11379.3316	2129.4438	0	219.2371	175.832	0	0.2901	0	5409.7475	89.7078	0	193.8148	2055.8967	407.7609	605.8291	65.3679	1149.0909	1526.7717	9967.5348	2320.7399	10.6126	5158.5174	501.9296	21.0062	0	20181.5225	890.416	343.2767	14184.2553	62.8884	869.9619
CON4	6574.6089	2514.3411	50.5292	179.2368	2679.9247	3257.3298	0	2197.5257	0	919.7822	1339.7123	0.6283	11.2242	0	3685.1194	580.3756	0	900.0902	1986.7156	218.2244	472.9648	10.6339	2029.5656	471.6801	13049.9388	1553.9205	0	6714.0791	764.282	0	0	19366.2415	908.3642	95.7696	14017.0442	60.257	519.8144
CON5	8444.5454	1976.338	74.6054	116.7469	5273.8998	5756.0106	8068.341	450.7571	0	1142.3499	594.4651	0	650.3653	0	5295.2946	113.7084	3352.6001	68.9293	3333.1575	875.0544	709.1637	19.7208	2143.0436	2818.7646	11372.8372	1755.8659	3.4601	16727.0775	9608.5795	0.2922	328.8425	15899.5966	186.7734	498.8997	13529.8574	307.2834	591.4403
CON6	6326.0381	2270.9808	7.9654	87.2487	5729.2624	2634.2877	0	251.198	0	1926.9688	1737.7985	0	1.3832	0	2231.8618	5.4567	0	0.393	1457.9895	872.0984	60.1893	0	1782.24	1237.7281	31263.5753	635.4843	0	4914.0208	13.9555	0	0	14030.0404	0	0	31415.7701	21.5906	399.7356
CON7	730.8276	1057.6817	25.0023	273.9734	8898.8077	1081.8054	0	23408.3527	0	255.6504	834.34	0.3161	2.3694	0	1215.2043	0.4366	0	220.967	335.9079	95.0783	122.3407	0	962.5466	19924.3074	63046.0439	271.5361	0	423.7917	17.8638	0	0	12766.9296	0	72.7606	5884.9049	49.8679	498.7939
CON8	8475.2294	1811.3233	54.3852	28.869	5298.7677	5615.6946	75.5434	795.2781	0	2428.4131	550.0639	1.85	38.79	0	4450.2273	219.5477	0	601.545	1945.4806	477.5939	925.3985	25.6574	2443.6795	278.5373	12250.1513	2168.7231	31.2057	8790.8142	387.6798	5.7039	2.2736	18559.4268	218.6328	168.5554	13988.2364	156.5482	625.547
CON9	1445.7299	756.6679	4.734	3.117	10273.9264	266.9223	0.1164	19900.0448	0	745.5281	86.7082	0	14.2775	0	1241.0386	208.8489	0	6.7359	121.0349	14.3724	56.5731	0.3846	46.7335	17015.1907	60241.0267	34.9132	1.5006	1223.5067	3.7731	0	0	6092.6097	0	29.0641	7438.0367	75.9252	621.6507
CON10	9650.5029	2218.1023	43.62	0.3234	3269.3344	3868.172	6.4501	645.7016	0	2605.3503	350.5086	0	0.5032	0	6468.4591	17.8402	29.6211	1011.9968	1493.9627	399.2422	1191.5651	2.2397	979.9569	536.7539	13805.8987	1842.8754	44.8884	5832.6271	854.7549	0	0	22683.1109	0	3.681	10549.4896	200.38	713.7164
CON11	6298.3082	2057.7672	19.1095	1.2427	1558.7963	3111.3663	0.6964	2530.0523	0	574.6019	180.3078	0	1.1066	0	12295.3742	28.1008	0	4132.2721	872.0834	293.8158	643.0187	42.4736	875.3715	2434.2081	14385.5937	1253.3631	0	4798.745	1123.9356	0	0	12358.0039	14934.7507	83.8224	6494.3438	383.1264	797.0612
CON12	3139.4124	1536.3938	16.3616	0	7632.8411	77.6379	0	23695.5248	0	14.9194	830.9995	0	30.1412	0	14450.1533	3.0488	103.6468	11.3459	1275.3682	29.9316	32.7145	0	314.4709	11755.2643	20741.2398	27.818	0	398.4791	2.3569	0	0	18191.9204	0	0.5261	2211.252	99.4009	77.4397
CON13	4619.2383	1403.6271	24.9791	2.6822	8011.1193	3728.1021	852.8049	553.9561	0	2552.5285	233.641	156.2552	7.3185	0.9491	3421.6265	24.9607	27.0877	88.5006	3664.9387	689.1162	163.4092	252.5989	885.6699	696.1322	12869.5847	1882.0539	7.9172	6366.5966	1318.5702	2.6145	35.7348	21433.3432	576.6838	19.9182	14791.5415	127.2127	705.2926
CON14	6098.9072	4016.4229	15.5849	3.3816	883.4725	427.7901	0	3472.1183	0	345.0694	2113.2193	0	4.8807	0	5189.7459	83.3454	0	415.082	577.2615	241.5524	2131.0614	135.2126	2411.0918	1657.2905	16992.8654	305.8222	0	6558.733	2820.0494	0	0	13383.3948	2.6094	223.357	7564.3817	132.0774	3351.1906
CON15	7345.8474	2507.6066	215.3653	0.2796	2762.2315	2464.7797	6.3251	508.6638	0	1747.4267	344.9239	0	13.8507	0	8131.6894	14.084	0	165.4261	3051.5033	817.4447	525.7673	35.2381	1251.1127	569.0948	12113.5373	2040.0099	20.9437	11414.14	308.2144	0	0	19383.8146	0.0643	10.4916	17349.0664	1262.361	568.4579
