feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Siphoviridae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON22	0.0140235971199987	0.000250539299850717	0	0	0	0.186484385318237	0.00126780489952414	0.0581988585653625	2.9116188600862e-05	0.00043914416415527	0	0	0.0666803742881043	0	0.000186703807316868	0.0045545323199699	0.283293611247854	0	0.000299966781530531	0.0488667699240777	0	0.24130476544959	0.00101523113517783	0	0	0.00104658189953614	0.000505280936200527	0	0	8.6948343278863e-05	0.000201011762539972	0.000122601499767204	0	0.036694001865037	0.0401533252488384	0	0	0.0019401787393791	0.000558810698748506	0	0.0117958584973245	0
CON23	0.000827215379257149	9.76811726176185e-05	0	0	0	0.038216826329629	0	0.0955355470254875	0	0.000454064563323659	0	6.12565454702161e-05	0.0397109752878728	0	0	0.0060695391158997	0.0354036287194743	0.00671913403473142	0.0161167886449248	0.00575183168999684	0.00646839550357466	0.707940182294507	0.000986892342545391	0	0	9.18344151234785e-05	0	0	0	0	0.00391964606283888	0	0.00715885052075624	0	0.0235399865289363	0	0	0.00224817906266061	0.000599393449313065	0	0.00197781693163846	0.000104334379421295
CON24	0.0171978012756773	0.000459200282059865	0.000331319088958846	0	0.000989969648328102	0.0219393571293141	0	0.0498446423813532	0	0.0135625148322072	0.000188284945373787	0	0.14515302538192	0.00021501932712023	0.000923532455816841	0.000472584810405035	0.000925647627394705	0.00085206739644016	0.0313546446463204	0.0471726605543525	0.00070026049204855	0.301381054470592	6.26229486823313e-05	0.0199375032681135	0.00065109142159919	0	0.000360237992170952	3.08607000704734e-06	8.24570165927925e-05	0	0.000716661740512969	0.0396467067055932	1.10266321600118e-05	0.000372824996806439	0.0799687772935154	0.184432905856002	0.000433263424023106	0.0247487904339319	0.00158232171496169	0	0.00789732249792193	0.00542881324172306
CON25	0	0.000646556270210875	0	0	0.0005114708606496	0.00652628721587052	0	8.34518171579915e-05	0	0	0.000152983160985799	0	0	1.88565595365505e-05	0	0	0.0995542181484478	0.00801030910482049	0.0397027524397936	0	0	0.705655142574412	0	1.94957649445691e-05	3.53693659103659e-05	0	0	0	0	0	0.000287074251023492	0	0	0	0	0	0	0.137600931421711	0	0	0	0.00119510104452555
CON26	0	0.00218857364314166	0	1.90389448992153e-05	0.000532621187409385	0.000177182856931781	0	0.0965200763998001	0	0.00040474517545427	9.21444709998989e-05	0	0	0	0	0.0040291502335656	0.0506421185840682	0.00351684172328462	0.0555684455767404	0	0	0.732478355099517	0.000756060635821655	0.00416557365916387	8.06473616681548e-05	0	0	0	0	1.32736305987486e-05	0.00302035430806072	0	0	0	0.00222765711101575	0	0.000489314291617509	0.0411163109925841	0	0	0	0.001961514113657
CON27	0.0341596193426365	6.66851937672121e-05	0.0994731800980188	1.84148706126872e-05	1.91707048542526e-05	0.118280225613772	0.0230821126982523	0.0150140631549669	6.01918905101268e-05	0.00351906116042338	0	0.000280448859722696	0.0706615689998845	0	0.00208063988652042	0.0195379372273479	0.0219687345043244	0.00399533980091531	0.00256341183026945	0.0922137701249027	0.0041649902320449	0.261637244845391	0.000147490745410943	0.000798882437232864	0	0.0073909594872503	0.00171433512817626	0	0	0	0.000975438444842189	0.000716049875577661	0	0.103116541635078	0.0712646903685519	0.00897192422789213	0	0.0040156786132338	0	0.000577835277676838	0.0275133627199396	0
CON28	0.0244201560698704	0.0015798241358823	0	0	0.000609027777848151	0.00243641511860284	0	0.590338326584205	0	0	3.58052936505291e-05	0	0.0500567125450701	3.96222730679912e-05	0	4.13449805926862e-05	0.00601863341260151	3.67848724390811e-05	0.0258940168036945	0.0139598084227629	0	0.255070764265006	0	0.000560994638630174	0.000933133242543269	0	0	0	4.6614438903519e-05	0	3.53661721246261e-05	0.00688447972594492	7.3265737667922e-05	0	0.0025177877152105	0	0.000130824436140093	0.0116692492079177	0.00654953133741791	0	6.15107922052957e-05	0
CON29	1.4734184782113e-05	6.41488317044367e-06	0	0.00207514788393886	0	0.0976394332490812	0	0.335475236095265	2.70627883753091e-06	0	0	0.000120980687292587	0	0	2.38553467900877e-05	0.00924114036977192	0.0229092183441469	0.00142276762984467	5.38248791020044e-05	0.0905855675753315	0.0006578262226191	0.281801273802015	0.000567349641235964	0.00128087175054845	0	0.00159921032788172	0.000137118127768235	0	0	0.000199128665082525	0	0	0.00038288833923586	0.0129840910563264	0.103238323233735	0	0.000208684168138498	0.00825692355500664	4.4202554346339e-05	0	0.000691003196516239	0.0283800779521902
CON30	0.00292461879276713	0.000803157229301444	0.000365997070507023	0	0.00159075317445683	0.105955736703506	0.000890892543628372	0.134798486605543	0	0.0013865790170417	0.000203849211806515	1.53807588079305e-05	0.0139276020461897	0.000196592093214042	3.68271689767351e-06	0.00257985150202317	0.0147726772590029	0.101104876447917	4.89584716984831e-05	0.0139800266043801	0.00128407673005645	0.328868785266302	0	0.000711919723414965	0.0022169233622642	0.00241748701291691	0.00026623876866122	0	0.0155671331670069	3.28556115380676e-06	0.000219121655411574	0.00635106192044373	0	0.00903142993073282	0.0757746080497044	0.0275240123070622	0.000159584398899185	0.12367545400227	0	0	0.00507738344986306	0.00530177644514776
CON31	0.000161519067464238	0.00204803623883508	0	0	0.00221253457763594	0.0152854495196946	0	0.0342194424012791	0	0.166524498675884	0.000209400213945731	0	0.0370887360645647	0.000952387924281226	0	0.000591810970511257	0.060973001077049	0.00759816337285523	0.0140712262059431	0.0134991635482917	0	0.457302572839141	0.00227492903162872	5.61805452049522e-05	0.00309337742881904	1.51942838167938e-05	0	0	0.00557579142853422	9.50813166574719e-05	0.0658214672502748	0.000501411365954201	0.00172065687995894	0	0.0249620376990185	0.000240384635846644	0.0694145961653032	0.0118231531773631	0.000201739230508692	0	0.00145367160717813	1.23852565565462e-05
CON32	0	0.000874412807933975	0	0	0.000515209965688941	0.0505067468673908	0	0.0733459931204317	0	0	5.19684746283163e-05	0	0	8.84786162947846e-05	0	0.00230644429764301	0.000147193161667416	0	0.00395909603058824	0.022589777234913	0.000953196066274621	0.251184147289708	0.141868138860442	0.000284555365968744	0.0022924097585066	0	0	0	0.00183598213789626	0	3.15268632774518e-06	0.0136070280904012	5.30871697768707e-05	0	0.0484595347455356	0	0.00100468994296113	0.340826952335756	0.0029614911569013	0	0.00261083107760886	0.0376694827387542
CON33	0.00799381778800583	0.00235692965230823	0	3.90220141110634e-05	0	0.0861392329368864	0.00773985830157495	0.0379005003325309	0	8.7887419169062e-07	0.00123024809352853	3.17800907715328e-05	0.00778489181515718	0	0.000327363058920922	0.000812818007443152	0.0412977357880597	0.000494981944760155	0.0259327649993767	0.135755653569168	0.00791257465772599	0.416516760025369	9.80823597926731e-05	0.00275474326643507	0	0.00152562013187191	0.00153968211893896	0	0	0	0.000658311924543944	0.0259064339285937	0	0.0567111149672205	0.112645129374148	0	0.00122107264696728	0.00890798756723478	0	0	0.00776400976436261	0
CON34	0.000553414807225663	0.000328233622669679	0	0	0.000177406303027595	0.0408439910570806	0	0.263429586486195	0	0.000913543209957954	9.4170347463349e-05	0	0	7.4017422086233e-06	0.000588337572737259	0.00178096010824308	0.0361908521733465	3.08181630140863e-05	0.00213055785046947	0.0267734136956186	3.31732628077392e-05	0.293685957266647	0.00639608095245081	0.00159958377984904	1.31212702789231e-06	0	0	0	0.000327728958428183	7.50267505692277e-06	0.00186483530517989	0	0	0	0.287551023237029	0	0.000253476026362583	0.023356197539311	0	0	0.00608271810276391	0.00499772362782802
CON35	0.0020517671547469	0.000767078206128814	0	0	0.000151878812067142	0.0808971166712921	0	0.303207205430192	0	7.21641517960906e-06	8.80001739957881e-05	0	0	0	0	0.00282793269850929	0.0219964352913572	0	5.38224298812511e-05	0.0144889580328373	0	0.18043884423899	8.77997180185767e-05	0.0105518021844289	0.000213184931764284	0	0	0	0.00025598228289891	0	0.00030449262938406	0	0.01588904280567	0.0019901269417544	0.356115856739325	0	0.000398573301355259	0.00465248300308711	0.00141281372738568	0	0.000911172644414251	0.000240413535335494
CON36	0.0040871857338585	0.000261363207106659	0	0.000489110788680663	0.000767625526606131	0.0177862749463258	0.000952270864398999	0.0190479951733736	0	0.000723560872278051	4.51645520960219e-05	0	0.0643687671242481	4.78455529053748e-05	0.000459172946309553	0.00297652959087618	0.0023711733568464	1.97981598229137e-05	0.00149259564289935	0.0330221963150468	3.18282916597536e-05	0.284130815928568	0.000927179446567878	0.00315172268222581	0.000940412591588401	0.00114674653849282	0.000486601646897552	0	0.00751866053899873	4.57145009799915e-06	0.000139515157502094	0.352030564234151	4.64019370849539e-06	0.000508358999619607	0.122222805397184	0	0.000146148915914981	0.069492881478832	0.000771715771430659	0	0.00433713750162277	0.0030890628812585
CON37	0.000385657732309833	0	0.000216134341700129	0	0	0.130631021467996	0.00457911801013098	0.267807795450998	0.000139194347091959	0.000478453963704473	3.29894859315796e-06	8.49213218496814e-05	0.0300268172595315	0.000196872738623948	0.000175802034706358	0.00357297416178329	0.0228897016047789	0	0.000186975892844474	0.0554827816166979	0.00122625111738581	0.299455389701605	0	0	0	0.00260318969309136	0.000612327425968758	5.10804943456729e-06	0	0	3.91617123316828e-05	0	0	0.0241078649772266	0.102491238276317	0	0.0301830739106376	0.000232096996183152	0.000230926401521063	6.61918072562683e-05	0.0110607006541141	0.0108289583835861
CON38	0.00713075446421082	0.000233460157536819	0	0	0	0.184454169193051	0	0.252262755829571	0.000307616881576232	0.000180256302893585	0	0	0.0695414437143276	0	0.000263656939901898	0.00471692913102766	0.020816470324814	0.00417752969093492	0.014325189217763	0.0135040216156922	0.00592380756090456	0.205477018434074	0.0149268994786091	5.90583328568722e-05	0	0.00138853843807314	0.00131890096037408	0	0	0	6.42965502059167e-05	0.00454067852375394	0	0.0258263287868118	0.132227806991206	0.00922580174682568	0.000186590095113018	0.00372307154001193	0	0	0.0199567864187061	0.00324016267917357
CON39	0.00443636214900818	3.19277952743059e-05	0.00182198616041839	0	2.16188206246084e-05	0.147604999992827	0	0.422128691167575	0	0.000488825555234203	0	0	0	0	6.80592501145081e-05	0.00336973357772832	0.00639756951076378	1.6114028335935e-05	0.00278032045431017	0.0136452124004087	0	0.194146817747971	0.00019116642311575	0.000806402026724398	1.50130698781997e-06	0	0	0	0.000168746905430971	1.11096717098682e-05	0.000684195637915849	0	0.000485722854126042	0.00545955290477379	0.17605887098445	0	0	0.00606297822674493	0.00641578536888266	0	0.00546725961397793	0.00122846946456686
CON40	0	1.10082135951037e-05	0	0	0.000158851857999649	0.0148869076180041	0.000186339033764393	0.294143670397273	0	5.23390519112662e-05	0	0	0.100405315752927	0	0	0.00118898714294025	0.00132228660211006	0	0	0.0144578875118021	0.000124993261638951	0.410584050446172	0.0101948066850947	3.28244914472186e-05	8.98670528036654e-05	0.000781182866576182	0.000110682583965316	0	0.00187276399831127	0	4.39327797113688e-05	0.0331287184411196	0.000731045457383939	0.00885260522384437	0.0237848466669264	0.00707637992293986	1.03410491347944e-05	0.00331160423163737	0.000641078329911226	0	0.00126624478744407	0.0705484385416108
CON41	0.00409507735301925	0.000902994455824389	0	8.14681631433356e-06	0	0.0352034617291618	0.00262664710095208	0.176216371428047	0	0	0	0	0.0252062162879566	4.09678017118331e-05	3.69611707375707e-05	0.00774111153959804	0.00793393065523441	0.000176892757513685	0.000664399581307063	0.0369699853257141	0.00025682504545022	0.605674691614622	0.00592223463164871	0	0	0.00136515933870556	0	0	0	2.2170024724252e-05	0.000155056618703955	0.007455872802822	0	0.00121360852210408	0.0460186608837626	0	8.70440579158507e-05	0.016867048298267	0	0	0.000956983808202575	0.0161814803499792
CON42	9.82278405361365e-05	0.00180498284024572	0	0	0.000308783372648026	0.000710713255266598	0	0.153146289218702	0	0	3.62423378751007e-05	0	0.0525585576236013	0	0.000615884185506122	0.00226549945474968	0.293730721650567	0	0.000283982441344451	0.0474507099157219	0	0.381914353264735	0.0179631765732758	9.07572750688453e-05	0.000370903480092256	0	0	0	0	0	3.31127766658301e-05	0.000910870567876716	0	0.00149360832552121	0.0275798134014272	0	4.98037697819395e-05	0.00600956515049857	0	0	0.00033284397764403	0.0102405973006491
CON43	0	5.78477166328241e-05	4.26728754738616e-05	9.1795907145045e-05	3.30994857494153e-05	0.00927471354431977	0.000916804832973038	0.0293418623861891	0	0.000777379614539346	3.19112990814876e-05	0	0.0902074034145972	0	5.40794674859678e-05	0.000202365163643348	0.0400871436471174	0.0165413576716511	1.07955245828862e-05	0.0502336127756004	0.00156260126108701	0.183631363932037	0.00566065707876974	0.0028173603306092	2.18965828803824e-05	0	0.000627973628095061	0	0	0	0.000289034894021048	0.216685359106166	0	0.0119815046184306	0.155240152724761	0.000430327262932912	0.0036673890728447	0.0130848547582684	7.92350766555235e-05	0	0.0029554276214224	0.163360016724236
CON44	0.0161525532568726	0.000683854343903656	0	0.000484942340264482	0.000356967544910958	0	0	0.0855851626457511	0	0	1.42155216999939e-05	0	0.101174605743036	0	0	0.00540790035515991	0.145489757190114	0.000401614813065012	0.0764258036639893	0.115942637386435	0	0.217355537393228	0.0625215843391987	6.18111943547884e-05	0.000396771005670941	0	0	0	0.000201053106907568	0	8.87680355044066e-05	0.00962671619518228	0.000925799013232194	0	0.138562796716109	0	0.000506072572519784	0.0211341634613005	0.000337908215816892	0	0	0.000161003945772523
CON45	0	0.00140369285833478	0	0	0	0.0168156279320569	0	0.112474668315542	0	3.13610875837944e-05	0	0	0	0	0	0.018705818855884	0.00123220989648267	0.000662728654675879	0.0136771119260165	0.0605027931261178	0	0.658710055611767	0.000102575497555524	0	2.29691547655296e-05	0	0	0	0	0	7.2518335788113e-05	0.000439322698135458	0	0	0.0234306442025436	0	0	0.00800429907685062	0	0	0.000554369075934857	0.0831572336939648
CON46	0.00159657853912997	0.000216286749188808	0	0	1.768193383774e-05	0.0176889732491357	0	0.0957021991354737	4.75410485259989e-05	0.00816571721910421	0.000330018282118724	2.20190119488835e-06	0.0741183962939735	6.50561716671559e-06	7.82675788364867e-05	0.00457351559247973	0.065374980270465	0.00858541293170566	0.00186991454654997	0.0816318836894402	0	0.39752083273768	0.00211659420465611	1.53132219462691e-05	0	1.17101109000882e-05	3.83330980746476e-05	0	0.000116400504075235	2.1218320605288e-05	0.00750447961785138	2.02841807044262e-05	0.00139290267860279	0.00904741183696045	0.190476763987252	0	5.47139084790446e-05	0.00363477171639233	0.000821409232111312	0	0.00172378837634374	0.025476997689038
