feature	Klebsiella.克雷伯氏菌属.	Citrobacter.柠檬酸杆菌属.	Salmonella.沙门氏菌属.	Enterobacter.肠杆菌属.	Cronobacter.克罗诺杆菌属.	Serratia.沙雷氏菌属.	Edwardsiella.爱德华氏菌属.	Providencia.普罗维登斯菌属.	Proteus.变形杆菌属.	Shigella.志贺菌属.	Streptococcus.链球菌属.	Faecalibacterium.普拉梭菌.	Roseburia.罗氏菌属.	Bifidobacterium.双歧杆菌属.	Erysipelatoclostridium.丹毒丝菌属.	Enterococcus.肠球菌属.	Escherichia.埃希氏菌属.	Bacteroides.拟杆菌属.	Lactobacillus.乳杆菌属.	Prevotella.普雷沃氏菌属.	Ruminococcus.瘤胃球菌属.	Veillonella.韦荣球菌属.	Clostridium.梭状芽孢杆菌属.	Staphylococcus.葡萄球菌属.	Blautia.经黏液真杆菌属.	Parabacteroides.副拟杆菌属.	Dorea菌属	Anaerostipes.粪厌氧棒状杆菌属.	Butyrivibrio.丁酸弧菌属.	Subdoligranulum属
MI31	0.00551677704800901	0.0240869493528264	0.000329769985435159	0.00845722608480585	0.00223968781774712	0.00210228365714914	0.000192365824837176	3.43510401494957e-05	0.00831982192420786	1.37404160597983e-05	0.317046360163786	0.0114182857456924	0.000281678529225865	0	0	0.0654043804446399	0.0016144988870263	0.179566627277474	0.0136167523152601	0	0.000425952897853747	0	0.276148011761796	0.049252521366347	0.00105114182857457	0.0285251037401412	0.00435571189095606	0	0	0
MI17	0.00621951618710923	0.0188440429037503	0.00268421224917346	0.000174582910515347	0.0134319726777745	0.00469191572009995	0.00291335231922485	0	0	0	0.0542952851702729	2.18228638144184e-05	0	0	7.63800233504643e-05	0.0790096784401017	0.00258600936200858	0.269588748131417	0.175968662367563	0	0.0339781989590494	0.00521566445164599	0.267777450434821	0.00561938743221273	0.000163671478608138	0.0559865571158903	0.000687420210154179	0	0	6.54685914432551e-05
MI21	0.0322882723275017	0.00416337119174919	0.000113891613148154	0.0688474801480591	0.00522635958113196	0.0390015501914012	0.00172102882090544	0.0010756430130659	0.00117688000253092	0.00340409377076149	0.0634186465879971	0.0895251352462906	0.000620076560473283	2.53092473662564e-05	0	0.0491379037615869	0	0.0860451137334304	0.080679553291784	0.000714986238096745	0.0032965294694549	1.26546236831282e-05	0.352646398177734	0.0694612293966908	0.0127178968015439	0.03321205985637	0.000778259356512386	0	0	0.000689676990730488
MI20	0.0015269048820057	0.00603945413150468	0.000327193903286935	0.00351733446033456	0.000109064634428978	0.0018949980232035	0.0533053400771632	2.72661586072446e-05	0.00817984758217338	0.00117244482011152	0.266949325844228	0.00324467287426211	6.81653965181115e-05	0	9.54315551253562e-05	0.117353546645581	0.000340826982590558	0.208667911821243	0.0146828264100012	0	0.00179956646807814	0	0.191176671074696	0.0420853158102821	0.00254938582977737	0.0731142043053264	0.00175866723016728	0	0	1.36330793036223e-05
MI24	0.0427091914053412	0.00750177640556125	8.17460966238862e-05	0.0346414804846915	0.00146514157795119	0.00624414414980915	0.00293657131718114	0.000616239805318527	0.00646422979456577	0.000773443837287539	0.0815511636242446	0.0363707248363506	0.00039615416056191	0.00697985901942413	0	0.0728169076080463	0.000106898741738928	0.0429041244049827	0.355551503184954	0.0018298549321193	0.000245238289871659	0	0.261222795842268	0.00931905501512303	0.00190531286746442	0.02323475592502	0.0020688050607122	1.88644838362814e-05	2.51526451150419e-05	1.88644838362814e-05
MI23	0.00811222733902555	0.00137662039692555	6.55533522345499e-05	0.000409708451465937	0.000852193579049149	0.000983300283518248	0.00217964896179878	0	0.0275815729526869	0.000311378423114112	0.246710041134729	3.27766761172749e-05	0	0.00914469263671971	0	0.234287680886281	0.00019666005670365	0.0139956407020764	0.0345302282895492	0	0.00758780052114915	6.55533522345499e-05	0.330913322080008	0.0405611366951277	0.0022288139759747	0.0190596371621954	0.0178469001458562	0	0.000966911945459611	0
MI26	0.00136226178249458	0.0191929133858268	0.000171174255391989	0.00231798470843318	0.000727490585415953	0.0113830879835673	0.00644756361976492	0.00222526532009586	0.00761725436494351	7.13226064133288e-05	0.110364601163985	0.00332363345886112	0.000292422686294648	0.167387024991441	0.000128380691543992	0.166188805203697	0.000121248430902659	0.0355115257331964	0.0553677393586671	0	4.27935638479973e-05	0	0.248673399520712	0.0119679333561566	0.0062264635398836	0.140070466735136	0.00104844231427593	0	0.00176880063905055	0
MI19	0.00257730010808033	0.0229462848332313	0.00102033875246582	0.00102033875246582	0.000710458094309533	0.00579703572697247	0.000816271001972655	0.000408135500986327	0.00565343249514394	4.53483889984808e-05	0.495733472401726	0.00281160011790581	8.31387131638815e-05	0.00394530984286783	0	0.034608378870674	0.000181393555993923	0.107490798056066	0.142439289844228	0	3.77903241654007e-05	0.000196509685660084	0.118933708213349	0.0279346076230642	0.000136045166995442	0.0203614266603179	0.00285694850690429	0	0.0012546387622913	0
MI18	0.0377062819110139	0.012126185266229	0.00588074398249453	0.00453592268417214	0.0120293125455872	0.0558955598103574	0.00386921043034282	0.0003134117432531	0.00306003829321663	0.00087755288110868	0.245224744711889	0.00472966812545587	0.000170951859956236	0.000170951859956236	0	0.0304408278628738	0.00806892778993435	0.169379102844639	0.0349368617797228	0	0.000643918672501823	0	0.30125136761488	0.0339453409919767	0.00102001276440554	0.0323554886943837	0.0009402352297593	0	0.000307713347921225	0.000119666301969365
MI15	0.194197313216624	2.73324860262665e-05	0	4.55541433771109e-06	0	3.18879003639776e-05	0	0	0	0	0.0202442613167881	9.11082867542217e-06	0	0	0	0.498216555286786	9.11082867542217e-06	0.00149417590276924	0.277269849079123	0	0.000154884087482177	0	0.00748454575685932	0.000186771987846155	9.11082867542217e-06	0.000314323589302065	0	0	0.000346211489666043	0
