feature	Klebsiella.克雷伯氏菌属.	Citrobacter.柠檬酸杆菌属.	Salmonella.沙门氏菌属.	Enterobacter.肠杆菌属.	Cronobacter.克罗诺杆菌属.	Serratia.沙雷氏菌属.	Edwardsiella.爱德华氏菌属.	Providencia.普罗维登斯菌属.	Proteus.变形杆菌属.	Shigella.志贺菌属.	Streptococcus.链球菌属.	Faecalibacterium.普拉梭菌.	Roseburia.罗氏菌属.	Bifidobacterium.双歧杆菌属.	Erysipelatoclostridium.丹毒丝菌属.	Enterococcus.肠球菌属.	Escherichia.埃希氏菌属.	Bacteroides.拟杆菌属.	Lactobacillus.乳杆菌属.	Prevotella.普雷沃氏菌属.	Ruminococcus.瘤胃球菌属.	Veillonella.韦荣球菌属.	Clostridium.梭状芽孢杆菌属.	Staphylococcus.葡萄球菌属.	Blautia.经黏液真杆菌属.	Parabacteroides.副拟杆菌属.	Dorea菌属	Anaerostipes.粪厌氧棒状杆菌属.	Butyrivibrio.丁酸弧菌属.	Subdoligranulum属
MI31	-7.50195860729624	-5.37560450405402	-11.5662522840924	-6.8855997383291	-8.80248663058248	-8.89382694212091	-12.343859862756	-14.8292866899262	-6.90923163511923	-16.1512147848136	-1.65723428074313	-6.45251011804321	-11.7936627801955	-17.7130508280301	-18.3114024268529	-3.93446892661825	-9.27469783824856	-2.4774088468967	-6.19847353762707	-17.6837211232335	-11.1970184744267	-18.7130508280301	-1.85648635470172	-4.34365860795464	-9.89382694212091	-5.13162405645568	-7.84287575467415	-18.7604665700899	-16.6837211232335	-19.108881737648
MI17	-7.32898192642933	-5.72974766795251	-8.5412855301422	-12.4838000354814	-6.21818498899698	-7.73560718589198	-8.42310410379388	-18.4657576971622	-17.4208237593134	-19.108881737648	-4.20302926535083	-15.4838000354814	-18.0589641314276	-17.7130508280301	-13.6764451134238	-3.66182680000031	-8.59505678658318	-1.89116781110409	-2.50660956757237	-17.6837211232335	-4.8792468064024	-7.58293322750069	-1.9008936186	-7.47537141341086	-12.5769094398729	-4.15877572529002	-10.5065201119815	-18.7604665700899	-16.6837211232335	-13.8988375347603
MI21	-4.95284594210956	-7.90803209475886	-13.1000508670518	-3.86045233780267	-7.57997789707466	-4.68032472197932	-9.18251302724376	-9.8605849323564	-9.73081705738607	-8.19851350593748	-3.97894910043798	-3.4815633967371	-10.6552660243789	-15.2699758684941	-18.3114024268529	-4.34701987658563	-17.7439862890015	-3.53876292188696	-3.63165309374542	-10.4497969060789	-8.2448363062156	-16.2699758684941	-1.50370579034515	-3.84764824451955	-6.29699608242781	-4.91214898628333	-10.3274613631549	-18.7604665700899	-16.6837211232335	-10.5017915437172
MI20	-9.35517409190049	-7.37136612540307	-11.5775665132369	-8.15130175853484	-13.1625290139581	-9.04358794123458	-4.22957612176338	-15.1625290139581	-6.93371032346221	-9.73626425925599	-1.9053621892729	-8.26771125065015	-13.8406009190707	-17.7130508280301	-13.3551740919005	-3.09106665140147	-11.5186728241834	-2.26071932963446	-6.08972647941388	-17.6837211232335	-9.11813489459964	-18.7130508280301	-2.38702161015805	-4.57053924634296	-8.61563455407045	-3.77370447593449	-9.15130175853484	-18.7604665700899	-16.6837211232335	-16.1625290139581
MI24	-4.54930960545768	-7.05855202131549	-13.5784906308696	-4.85135560144563	-9.41474420435644	-7.32328044148235	-8.41165160930106	-10.6642205048955	-7.27330579981684	-10.3364158436715	-3.61615072739366	-4.7810785120596	-11.3016504255108	-7.16258638777325	-18.3114024268529	-3.77958271613412	-13.1914675077604	-4.54273984804979	-1.49186953924048	-9.09405500610244	-11.9935281301485	-18.7130508280301	-1.93664729442884	-6.74560061670489	-9.03575636553777	-5.42757169997721	-8.91698657527548	-15.6939678482896	-15.2789303490107	-15.6939678482896
MI23	-6.94568620131874	-9.50465349350695	-13.8969709162857	-11.253114726511	-10.1965311981446	-9.99008032067719	-8.84168848078452	-18.4657576971622	-5.18015145495576	-11.6490434028421	-2.01911166015538	-14.8969709162857	-18.0589641314276	-6.77284960445652	-18.3114024268529	-2.09364699724422	-12.3120084155646	-6.15887865666522	-4.8559963174684	-17.6837211232335	-7.04210253302547	-13.8969709162857	-1.59547472130316	-4.62375810643137	-8.80950807503537	-5.71333553481249	-5.8081826775688	-18.7604665700899	-10.0143278669239	-19.108881737648
MI26	-9.51978031551459	-5.70328246790992	-12.5122466428292	-8.75291323563452	-10.4247838015788	-6.45696420732799	-7.27703018113515	-8.81180692468809	-7.03651321186278	-13.775281048663	-3.17965058503996	-8.23302299889605	-11.7396571389323	-2.57874039319974	-12.927284142108	-2.58910489220791	-13.0097463023	-4.81556884348429	-4.17481057133102	-17.6837211232335	-14.5122466428292	-18.7130508280301	-2.00767590350477	-6.38468214311051	-7.32737129992089	-2.83577529319607	-9.89753679871397	-18.7604665700899	-9.14301283316346	-19.108881737648
MI19	-8.59992374621099	-5.44559559981969	-9.93673607818433	-9.93673607818433	-10.4589628235575	-7.43046890773223	-10.2586641730717	-11.2586641730717	-7.46665721534752	-14.428589174514	-1.01236342063101	-8.47439286412713	-13.5541200565979	-7.98564567866528	-18.3114024268529	-4.85273482556161	-12.428589174514	-3.21771493430151	-2.81158094686204	-17.6837211232335	-14.6916235803478	-12.3131119570941	-3.07177043295663	-5.1618026338191	-12.8436266737928	-5.61801753977286	-8.45130925101409	-18.7604665700899	-9.63851224388824	-19.108881737648
MI18	-4.72905129156244	-6.36573042027804	-7.40978560035597	-7.78438823523558	-6.37730199243207	-4.1611225058834	-8.01374509153449	-11.6396531422546	-8.35223457779381	-10.1542263150843	-2.02782353155222	-7.72404532954494	-12.5141222601707	-12.5141222601707	-18.3114024268529	-5.03784859514412	-6.95340730569623	-2.56167220181171	-4.83910616647046	-17.6837211232335	-10.600833893364	-18.7130508280301	-1.73096030401206	-4.88064261203566	-9.93719707851497	-4.94984572205483	-10.0546906415334	-18.7604665700899	-11.6661253536158	-13.0286954330005
MI15	-2.36440485415017	-15.1590237882803	-18.6181990732734	-17.7439862890015	-15.4592875212494	-14.9366313669439	-18.1811668188786	-18.4657576971622	-17.4208237593134	-19.108881737648	-5.62634318761238	-16.7439862890015	-18.0589641314276	-17.7130508280301	-18.3114024268529	-1.00515513305707	-16.7439862890015	-9.38643428438339	-1.85063735174836	-17.6837211232335	-12.6565234477511	-18.7130508280301	-7.06186952405139	-12.3864342843834	-16.7439862890015	-11.6354618322233	-18.4208237593134	-18.7604665700899	-11.4960587755579	-19.108881737648
