feature	Klebsiella.克雷伯氏菌属.	Citrobacter.柠檬酸杆菌属.	Salmonella.沙门氏菌属.	Enterobacter.肠杆菌属.	Cronobacter.克罗诺杆菌属.	Serratia.沙雷氏菌属.	Edwardsiella.爱德华氏菌属.	Providencia.普罗维登斯菌属.	Proteus.变形杆菌属.	Shigella.志贺菌属.	Streptococcus.链球菌属.	Faecalibacterium.普拉梭菌.	Roseburia.罗氏菌属.	Bifidobacterium.双歧杆菌属.	Erysipelatoclostridium.丹毒丝菌属.	Enterococcus.肠球菌属.	Escherichia.埃希氏菌属.	Bacteroides.拟杆菌属.	Lactobacillus.乳杆菌属.	Prevotella.普雷沃氏菌属.	Ruminococcus.瘤胃球菌属.	Veillonella.韦荣球菌属.	Clostridium.梭状芽孢杆菌属.	Staphylococcus.葡萄球菌属.	Blautia.经黏液真杆菌属.	Parabacteroides.副拟杆菌属.	Dorea菌属	Anaerostipes.粪厌氧棒状杆菌属.	Butyrivibrio.丁酸弧菌属.	Subdoligranulum属
MI25	2710	7787	715	1534	145	7199	61	241	435	98	33144	4909	47	519	0	37143	6243	8435	9828	0	442	0	35604	5180	196	1347	369	0	302	2
MI22	1017	5872	11	1459	1859	4844	133	10	1257	23	4587	949	18	333	0	10690	12	13926	19385	2	15	0	22909	13677	312	4474	33	0	292	45
MI14	442	5488	18	2416	58	896	68	434	467	54	23849	4445	2	2	2	14763	0	16824	30274	0	595	1	80349	15723	4076	13222	255	0	117	22
MI16	1369	2581	79	3153	436	1117	133	18	1385	29	16476	2584	99	869	0	85157	11	8820	11675	0	22610	27	53617	4050	2190	2886	326	1	165	178
MI1	580	1488	86	554	610	625	212	98	1049	228	9891	1037	155	452	0	16384	168	21161	24515	0	480	0	26099	3829	381	13431	676	0	119	379
MI2	1156	1499	15	1419	77	496	810	247	740	14	13348	2107	11	17	0	17464	15	48465	12807	0	839	2	49328	2570	842	30464	410	0	97	12
MI3	901	2594	0	2686	279	554	99	53	435	123	7466	6626	66	13	0	9493	25	36259	8078	0	238	2	24296	12748	548	11660	217	13	0	2
MI4	1416	1235	668	1138	1457	1199	7	30	502	30	11882	2866	391	37	0	8142	2153	132736	2092	0	52	160	23245	1798	242	47614	273	2	0	8
MI5	89688	2867	1	2915	266	1515	50	814	728	15	14288	3228	367	4	0	9233	8	20047	9760	0	291	42	32649	4306	3164	4415	206	0	279	44
MI6	983	4843	46	2652	225	351	27	18	71	3	14407	5910	178	5750	0	12775	29	74568	12369	0	146	5	33424	2543	4412	35253	3	0	79	21
MI7	2871	1	1619	477	2083	1125	3	0	0	1	2096	5970	15	0	48	20123	8992	45386	4781	0	662	0	9619	5029	5	15319	12	0	0	104
MI8	1555	1656	24	6358	370	539	76	1522	334	13	42213	2732	196	7	0	6567	62	30325	4821	0	1589	10	33799	1659	728	34801	133	0	12	9
MI9	11608	3633	1052	2136	1333	4933	107	39	1230	243	13583	1907	37	0	0	3003	5225	14850	3475	1	33	12	19515	1271	1135	14206	689	0	2	11
MI10	3337	5798	479	484	1302	456	44	734	5	0	53991	347	96	0	15	15221	1909	894	13050	0	310	65	29799	64	0	0	17	0	9	0
MI11	769	6733	13	1419	138	1292	176	113	464	9	16464	2464	24	0	0	8840	24	27008	12085	0	965	1	50968	1966	962	8938	189	0	547	2
MI12	416	99	122	65	311	1095	107	25	103	23	8540	108	109	44	0	16103	12938	5267	109658	0	1236	0	24647	9682	1967	9471	46	0	0	13
MI13	3733	1957	21926	1523	2395	18692	63	16	122	54	15674	3216	1018	72	0	3160	3071	19627	19181	0	648	110	19848	2175	1001	9438	58	0	0	14
CON1	921	1555	175	1023	732	1981	294	196	566	16	3535	1370	29	564	0	10317	5288	27810	16063	0	603	12	25457	2539	511	12525	200	0	11	50
CON2	199	647	168	68	3006	268	2	1	248	4	2224	68	0	87	0	3159	248	28879	13530	3	0	0	9508	734	1039	6952	77	0	0	106
CON3	3316	846	15	7367	99	324	109	254	791	7	3654	12727	136	679	0	9574	22	37624	4577	0	236	0	27769	1531	977	16920	6	2	7	188
CON4	5144	568	2144	209	407	481	8	1759	488	5	18342	1776	747	86	2	8844	166	27313	3828	0	450	0	32184	1509	341	19991	254	2	0	37
CON5	377	3593	8	581	291	4482	246	50	942	9	5412	452	25	3	0	10983	17	16974	10664	3	1139	0	21749	5236	65	9043	56	0	11	50
CON6	2005	33901	6063	230	855	690	29	1	2	1	40338	1	0	0	0	8864	3802	499	2668	0	0	680	66760	7762	0	153	1	0	160	0
CON7	470	2	17	10	8	2	3	0	2138	0	4256	30	0	8482	1	5669	17	1517	7410	0	6	2	1895	6	24	488	1191	0	0	2
CON8	2305	995	78	975	146	205	342	192	417	142	4603	2990	4	26	0	6829	91	14963	19770	0	114	0	34188	7253	2067	10283	209	0	69	7
CON9	16	1	33	7	35	11	4	0	9	0	817	63	10	4597	0	390	60	178	95347	0	9	5	3365	431	27	140	2	0	555	0
CON10	909	2951	2	1503	445	840	23	890	410	76	14051	5612	144	154	0	6287	0	32174	7610	0	3408	0	30552	2393	3603	28428	105	1	37	26
CON11	2452	2043	0	3842	34	829	42	197	525	9	6492	3668	28	249	0	12054	14	59900	1836	0	756	0	24733	2117	2839	20077	497	0	50	0
CON12	0	0	4	0	4	7	2	0	24	0	1592	3	2	3469	0	124	3	93	64954	11	13	0	19714	27	0	39	14	0	4	0
CON13	16983	3064	65	250	51	537	573	49	1723	1	10100	267	53	10	4	7695	776	16978	3389	223	146	0	28535	2504	241	5799	848	0	30	15
CON14	112	344	11	146	119	113	2	9	0	0	16121	1180	44	75	2	12650	28	212192	20310	0	186	28	5167	315	1146	26896	7	0	16	0
CON15	3535	186	0	2490	144	929	211	65	1068	20	8876	4741	26	310	0	17760	0	17590	12769	0	57	0	36194	5230	2999	8857	727	0	176	65
