feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
MI29	-3.2411849529487	-5.98259192450028	-9.70375406066759	-12.8515847811192	-4.03069788811921	-7.25059143728091	-22.9238584597433	-7.00447363427933	-19.4296140718572	-7.8940237749782	-7.15265354324736	-22.4582267328225	-12.0963834608741	-20.2784924989648	-4.3549898968584	-11.8312920589194	-12.3345310418411	-10.4534743128812	-5.30715097965829	-5.43257405384647	-8.59999725861337	-15.057797351676	-5.43471771550763	-9.13092081858217	-3.43310659732446	-5.95511392379165	-9.17136951727583	-4.07300457642456	-8.07769246054978	-20.1399572655989	-20.0601341767769	-2.18233108381805	-3.49734983564575	-8.09707615516421	-2.5342297593145	-11.7099332267615	-7.61015969500496
MI31	-3.88892578780849	-4.24169099559264	-10.8877944377787	-11.4910228442604	-6.02798799825468	-5.61455154175984	-21.4536417138028	-6.62715223930855	-19.4296140718572	-6.11000620982317	-5.3365431075326	-22.4582267328225	-14.0938711068334	-20.2784924989648	-4.06135191484726	-11.9178756784481	-19.3291392307539	-8.23893078242127	-5.98195848599337	-7.8398147463531	-7.30536768884835	-13.87201998258	-4.9143229488497	-10.0627774162635	-2.53080851085058	-4.78760067434359	-14.718174903927	-4.14081334038274	-9.44281760070093	-20.1399572655989	-20.0601341767769	-2.03207636109325	-23.2299583747881	-11.4143897753386	-2.85083082920079	-12.5662215564613	-5.76192240454056
MI17	-4.29348469753314	-6.45404329503288	-10.4936036408687	-20.2726318289905	-5.35444500281588	-5.62586670755254	-22.9238584597433	-7.04932544341345	-19.4296140718572	-5.09883970359511	-3.56569316977946	-22.4582267328225	-21.4034436731982	-20.2784924989648	-3.7068642071245	-11.6747803519231	-19.3291392307539	-9.77771584161853	-5.19677218533833	-11.5763461053977	-7.59511117302865	-12.8457563089337	-6.50744721952143	-5.0929661844949	-3.03881141437272	-7.92529062322903	-21.8108883442738	-4.6326721168864	-7.68850884045945	-20.1399572655989	-20.0601341767769	-2.27905638952539	-21.1211333421071	-12.4078650786004	-2.11027255047416	-11.1419048278536	-6.56112226086454
MI21	-2.97224707937955	-6.18987614511548	-12.5905444921528	-5.61968864312045	-3.93209092354399	-3.73491589282233	-9.97467899998076	-6.28116813032178	-19.4296140718572	-7.21593425611001	-8.47436205865122	-22.4582267328225	-15.5720776015736	-20.2784924989648	-4.07940711133819	-12.652653920843	-7.97511230504933	-11.682726997927	-5.54737372698348	-6.99281419887862	-5.74602266347941	-14.0190046763233	-6.95733394372284	-6.0923477986478	-2.78035496091529	-4.87639793777928	-12.2547467683176	-4.11887727417953	-9.11383546174579	-15.4608478413262	-20.0601341767769	-2.37916003229107	-18.0638073175707	-10.4653219894009	-3.3163462627044	-10.2826206599593	-7.19713692456685
MI20	-5.75856120272719	-5.92162993972331	-12.0804049528714	-18.6556215648519	-5.43578319120036	-7.12945834488711	-2.15524975458848	-8.59436842781427	-19.4296140718572	-8.87581800505373	-7.34732346607501	-22.4582267328225	-13.5566498964519	-20.2784924989648	-5.30727559921383	-11.4574009339885	-10.9772314774289	-16.3706012223116	-5.63427245972248	-8.86905485793397	-10.0692454573539	-19.8322867931225	-6.41586138454854	-9.43240304134564	-4.44828833881558	-7.51591141583427	-16.1315645897064	-4.33370816193139	-12.2147939898665	-20.1399572655989	-20.0601341767769	-3.10791247814982	-1.60174652998755	-19.6973902148035	-3.54432584501266	-10.2057550419955	-8.15069255975377
MI24	-3.56037770057825	-6.22362276501201	-13.4428087579838	-10.3136516261648	-4.21777281797518	-4.17613612371958	-22.9238584597433	-5.65292641620152	-19.4296140718572	-6.5674177411995	-8.12303366619247	-22.4582267328225	-21.4034436731982	-20.2784924989648	-4.97652091486749	-11.5644333017766	-19.3291392307539	-13.0988604253566	-5.06999271805962	-7.98506215320679	-7.03553661180641	-15.5045924654546	-6.63393478239902	-3.73267151373816	-2.33579568837807	-6.03309339852078	-18.1458829086731	-4.295759879146	-9.89966618753689	-20.1399572655989	-20.0601341767769	-2.39766691412643	-16.2842063784757	-11.9651363612433	-2.89310516707378	-11.300878935509	-6.84733654927191
MI23	-4.26840495890463	-4.12139575870214	-8.46025289023257	-9.37964868471878	-5.95292168148414	-8.53805398235903	-17.7176413295702	-3.48818668211212	-19.4296140718572	-7.46746882985141	-5.66711629759657	-18.4678124625357	-17.5958580655646	-20.2784924989648	-4.28344978096598	-10.7155945367992	-15.8474607555992	-14.6248400507003	-6.02166708054476	-7.46336296990524	-10.8669343602867	-19.8322867931225	-7.12466953660544	-4.05157131458516	-4.37527813161234	-6.20247933505329	-21.8108883442738	-4.18910356750594	-6.68069381339178	-20.1399572655989	-16.4626014049854	-1.80392531144264	-7.27691849079897	-14.7691691405751	-2.62277963069901	-5.453349545827	-7.04859845262174
MI26	-4.32889355900512	-5.56357036662035	-12.1808866662697	-17.5597718766648	-5.27063045334683	-5.04526694169641	-22.9238584597433	-4.75738787960443	-19.4296140718572	-6.83784821454311	-8.1743095707918	-22.4582267328225	-13.244528707538	-20.2784924989648	-3.2633508317995	-12.8815343925871	-7.64767164439512	-17.3269608062599	-5.64340226556436	-7.5055881384159	-8.45075089992497	-16.7204360480517	-7.77265436521663	-3.69160822753204	-2.81338713287516	-5.90757528396349	-15.0323201443827	-4.76616960227486	-5.50528800605158	-20.1399572655989	-15.9756574381064	-2.50666472979909	-4.72003714623358	-13.1797529123176	-2.5906201351003	-9.10590350315729	-7.88819459685604
MI19	-4.94591279711514	-3.87029044542957	-9.91565662198706	-13.3836710884062	-5.3990146457675	-6.77029636428858	-22.9238584597433	-5.6652231320949	-19.4296140718572	-7.38479499788251	-3.88303591123266	-22.4582267328225	-10.0218805182578	-20.2784924989648	-4.18402067623112	-16.4554479648552	-19.3291392307539	-7.93397232486193	-6.64009801163942	-7.46951452149286	-7.06667924494999	-13.3898576481249	-4.8854240796726	-4.57546386883241	-2.83725125947042	-7.02033483361807	-21.8108883442738	-3.32989716309676	-9.0426678999818	-20.1399572655989	-20.0601341767769	-2.75085387415084	-17.5347348660808	-16.0780032922535	-2.35261304931541	-7.71786326212035	-6.10315295056721
MI18	-4.10838597499254	-6.65091608148703	-14.377300201433	-18.9260222313884	-4.69301418788302	-3.64179527848946	-7.47071237505907	-7.22926193443479	-19.4296140718572	-3.58840407157939	-9.87846405091017	-22.4582267328225	-12.1251522830961	-20.2784924989648	-4.68044951259833	-9.9357764165853	-6.32961373692662	-11.0728224347375	-6.52662784076658	-7.54188930755519	-8.23701717407621	-18.8322867931225	-6.31277653548007	-9.91127976742467	-2.26774554992916	-6.2382141290933	-15.3684238008669	-4.40496619346319	-9.38485479195813	-20.1399572655989	-18.6175146522633	-2.70011203737296	-17.6947832693726	-12.1444135894387	-2.31793621635149	-8.74864883675335	-8.02115070597336
