feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON11	-6.82597060022495	-4.14841110678202	-10.8498577369792	-3.44305187544844	-4.77959066494265	-5.00231386583825	-9.42742122373468	-10.8283006600169	-5.28258720325519	-5.69294518159417	-3.78755038191113	-10.9508989160501	-8.24100809950379	-8.47804729680464	-5.41503749927884	-5.71934818069116	-6.12049529218656	-3.40275916950041	-7.84245872301352	-5.82187784559107	-10.993967637942	-4.89308479608349	-3.57287521842242	-9.96347412397489	-1.62830711397386	-8.61297687689075	-9.0759488532333	-8.26303440583379	-8.70043971814109	-5.34288771352301
CON12	-9.47301568824995	-3.68172253965775	-6.72026709684282	-2.44025361443616	-4.12322581800808	-3.92149967062194	-10.7094815231086	-10.8283006600169	-7.79494378313732	-8.17435737268544	-4.29111804514157	-10.9508989160501	-10.8852444366011	-6.42338492052535	-6.32570898946966	-7.31597197810437	-6.69060712332258	-3.18687381541565	-10.8653896083821	-6.12535003194898	-7.93696278800974	-7.06702332857412	-2.0764109070681	-9.05078268756691	-3.01752406762149	-10.9590526097676	-10.8863592851927	-10.733015321686	-10.8846561932557	-7.31597197810437
CON13	-6.87248132783023	-4.40582618624777	-8.66662063038367	-3.44313235252595	-5.58821428491835	-5.26120754999322	-7.63624698134015	-10.8283006600169	-6.66662063038367	-7.76177786342401	-4.16864143125715	-9.13374664081097	-7.04130039204637	-7.47974249566016	-5.55587356487613	-6.22120948206131	-5.83750518958725	-4.56657345353334	-8.57735329228658	-5.4267936157112	-8.63624698134015	-4.22261905231598	-3.05316421383722	-7.89928138717394	-1.42395326455152	-9.46632197989784	-8.31431888645279	-6.94508507678707	-7.26701317167443	-5.63249484647904
CON14	-6.59021592036746	-3.52986201353651	-10.8498577369792	-3.546006277071	-4.22629373681547	-4.69268954161725	-9.3090341678234	-10.8283006600169	-4.9612897811319	-8.3090341678234	-4.87347965120405	-10.9508989160501	-7.7924586420825	-8.23103165582213	-5.47333462007184	-5.2098324901163	-5.00322573829932	-3.92725090764503	-10.8653896083821	-5.20283476399148	-8.10391973791879	-5.44553616772827	-2.70912132563628	-9.77851945112462	-1.89681718760694	-10.9590526097676	-9.19355695040347	-9.62097817413814	-10.8846561932557	-5.58717546604741
CON15	-6.58245564511058	-5.6783156605181	-10.8498577369792	-4.4590732296053	-4.1007138647482	-5.47333392273047	-7.887310226639	-10.8283006600169	-5.47333392273047	-6.67464934332033	-4.83932028370417	-10.9508989160501	-8.90438373999794	-7.95685115989208	-6.07753264231454	-5.31656158513755	-6.71927233474096	-3.89368913920171	-8.0299146220818	-5.47015267548579	-7.92166173142978	-4.82502594838466	-3.40948054730832	-8.62427582080521	-1.20064492359576	-9.54181366061323	-7.63848968002491	-6.10194430835446	-8.36596382521382	-5.15459410547415
CON16	-6.93570479749556	-4.30044463140922	-10.8498577369792	-3.56118175166064	-5.52245391769073	-4.86769812091515	-9.27198818535999	-10.8283006600169	-5.44925803741547	-8.3844629146184	-4.11110832352068	-9.5495221608889	-9.10206318391768	-7.73593528511978	-5.3365284375547	-6.48539182346918	-6.90042932274803	-4.05088445999211	-10.8653896083821	-5.21237332906277	-8.89347656210626	-4.21345521515838	-3.09058742362069	-8.3085140613851	-1.59938605335814	-9.16765152554525	-8.23636427562927	-8.08612164004866	-7.07821644196331	-4.24187285445192
CON17	-7.95177038911426	-4.10329647973106	-10.8498577369792	-3.51040706323828	-5.39864397551511	-5.32727952420646	-7.37830352723093	-10.8283006600169	-6.25662497064268	-6.94320837561083	-4.75163077462494	-7.72937796777781	-10.8852444366011	-7.74417496970589	-5.59925397439347	-6.42522457461842	-6.54967194554291	-3.7101844025445	-10.8653896083821	-6.00423780900839	-8.48610681676545	-4.72937796777781	-2.63070129695599	-8.64364809375193	-1.44454206689767	-7.68587632914122	-7.57590348711609	-8.78949896021538	-9.88465619325572	-7.05868559303077
CON18	-6.93023404258451	-4.58697743825663	-10.8498577369792	-3.71085952582859	-4.71498505063271	-5.15166754395153	-8.48482289426215	-10.8283006600169	-6.25120321750244	-6.48482289426215	-5.01111714464273	-7.96126093820513	-7.14497289137752	-6.04187939841342	-6.56001039065637	-5.79133593676282	-6.39736005301181	-3.90174012675921	-8.39736005301181	-6.32495155748376	-8.04187939841342	-4.28147489128238	-3.10598618105153	-7.72993539209868	-1.41503749927884	-10.9590526097676	-7.51903860960006	-7.72993539209868	-6.39206575334229	-5.1971105147127
CON19	-6.90939310281169	-3.63249326347369	-10.8498577369792	-2.61094861714448	-4.91881635669831	-4.63326869753745	-10.7094815231086	-10.8283006600169	-8.17242750864548	-8.15450560064822	-3.99450971644964	-10.9508989160501	-10.8852444366011	-10.9495565482069	-5.14562744930177	-6.16343872541823	-5.57549236625825	-2.85320700612161	-10.8653896083821	-4.43096052224434	-10.993967637942	-4.68700068147524	-4.09347616725066	-10.9634741239749	-2.05244889899061	-10.9590526097676	-10.8863592851927	-10.733015321686	-8.2089533846706	-6.10633831818771
CON20	-10.977524482626	-5.18226198464595	-10.8498577369792	-4.79126349693472	-6.53214414110431	-5.78891955646642	-10.7094815231086	-10.8283006600169	-3.93546821981936	-6.9576740142008	-5.13089359355554	-10.9508989160501	-7.86588153828131	-7.84625273153237	-7.51654728605329	-5.26780353776989	-6.44099625304612	-4.83896023896602	-6.67200180468727	-7.24835117510372	-10.993967637942	-6.11319159182208	-2.31845875413359	-10.9634741239749	-1.10187341501604	-10.9590526097676	-10.8863592851927	-7.23552713474614	-10.8846561932557	-6.04447884173807
