ID	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI30	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Bicaudaviridae|g__Unclassified|s__Sulfolobus_monocaudavirus_SMV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000759149686098506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000591641233489142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000294504445940214	0	0	0	0	0.000931616830890796	0	0	0	0	0	0	0	0	0	0	0	0	0.000317449325433274	0	0	0	0	0	0	0	0	0	0	0	0	0.00035801195457383	0	0	0	0.00168636819201612	0	0	0	0.000746614968156149	0	0	0	0	0	0.000395735212550558	0.000218127712163223	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000591641233489142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000294504445940214	0	0	0	0	0.000931616830890796	0	0	0	0	0	0	0	0	0	0	0	0	0.000317449325433274	0	0	0	0	0	0	0	0	0	0	0	0	0.00035801195457383	0	0	0	0.00168636819201612	0	0	0	0.000746614968156149	0	0	0	0	0	0.000395735212550558	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Acanthocystis_turfacea_chlorella_virus_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000517564906050442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035801195457383	0	0	0	0.00123191262133917	0	0	0	0	0	0	0	0	0	0.000395735212550558	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Paramecium_bursaria_Chlorella_virus_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000591641233489142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000294504445940214	0	0	0	0	0.000414051924840354	0	0	0	0	0	0	0	0	0	0	0	0	0.00012436159140685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000454455570676949	0	0	0	0.000746614968156149	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Chlorovirus|s__Paramecium_bursaria_Chlorella_virus_A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193087734026424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000218127712163223	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Unclassified|s__Chrysochromulina_ericina_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000218127712163223	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales	0	0.000292426900455011	0	0	0	0	0.000451872148345213	0	0	0	0	0	0.000618655374563324	0	0.000501448014717165	0	0	0	0.000399357832605171	0	0	0	0	0.000953699137456041	0	0.000973194132019713	0	0	0	0.00178282980705124	0	0.00214890876416415	0.000480535243481143	0	0	0	0	0	0	0	0.000899785928516765	0	0	0.00111962981779207	0	0	0.00131756265121437	0	0	0	0	0	0.000317449325433274	0	0	0	0	0	0	0	0	0	0	0	0	0.00153793867809885	0	0	0.000194744400408768	0	0	0	0.000401673613932941	0	0	0	0	0	0	0	0	0.000913363609616162	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae	0	0.000292426900455011	0	0	0	0	0.000451872148345213	0	0	0	0	0	0.000618655374563324	0	0.000501448014717165	0	0	0	0.000399357832605171	0	0	0	0	0.000953699137456041	0	0.000973194132019713	0	0	0	0.00178282980705124	0	0.00214890876416415	0.000480535243481143	0	0	0	0	0	0	0	0.000899785928516765	0	0	0.00111962981779207	0	0	0.00131756265121437	0	0	0	0	0	0.000317449325433274	0	0	0	0	0	0	0	0	0	0	0	0	0.00153793867809885	0	0	0.000194744400408768	0	0	0	0.000401673613932941	0	0	0	0	0	0	0	0	0.000913363609616162	0	0	0
