feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON46	105570	18711	0	0	1335	2319447	0	6502206	0	3957	837708	17361	273	4627500	519	9810	406254	10349721	739083	154851	5154615	0	0	39218151	123339	981	0	1404	1602	0	6852	1506	635829	2259	0	81285	651102	12999357	0	223227	66486	0	223950	1444182
CON47	20715	36765	0	4263	2274	3708435	411	2407629	0	0	53436	7677	0	1120866	2463	0	78267	859932	27201894	5718	1822230	74145	0	16522833	1572384	206169	37554	93177	10023	0	80250	0	246777	4322457	1281	0	1083777	3265401	0	11055945	0	0	819315	999756
MI1	0	3864	0	0	5712	21646548	36309	13556454	14538	0	953526	6120	29040	4766529	0	37050	1055088	1009719	0	1748721	691626	225615	0	23858169	0	0	0	148494	0	0	0	195	196002	0	0	28944	5925195	8340078	0	66183	8904	5415	2007945	2696037
MI2	175458	2607	0	0	0	36276270	3142749	1345599	1221	88800	222384	0	409398	3855816	0	153813	3566724	78393	59697	135231	5859477	361653	0	19773468	85230	987	1290	918837	64539	3351	0	0	48624	831	0	10704	5988417	13184472	0	143469	529380	0	1280940	1492434
MI3	0	0	0	0	0	27374052	0	1869072	0	19392	33549	0	2202	2779008	0	29304	499665	22125	0	8913	4645740	164229	0	17942379	1671	3570	345	1283577	23493	0	4761	0	2811	0	0	225072	6329985	7785786	0	79557	8361	1452	720738	0
MI4	92532	558	0	0	0	60752835	0	230484	0	0	10794	0	0	360504	0	20226	158115	10258725	0	18618	1206249	114	1935	15513504	0	0	7062	222717	11217	0	245505	0	0	5622	0	210849	1936638	5099016	0	2195613	7170	0	680352	564084
MI5	241857	72888	0	1887	0	6405528	1897212	1110192	0	7782	561429	9906	0	1509624	0	194013	615366	10180050	0	66126	2094696	244968	0	12848676	633813	0	0	375864	173925	0	46962	0	596301	141	0	0	7117296	14154057	0	568836	13158	0	625236	1055112
MI6	0	0	5064	0	0	48939879	16317	26444223	0	0	2643	0	0	4454685	0	7698	6258	286608	0	53988	2191674	60378	0	11285334	985281	0	0	149019	21171	762	372	0	141840	0	0	15222	1523901	24299391	0	162825	415368	0	2175522	603732
MI7	863253	2427	0	0	0	34993218	14733	2654301	0	0	37365	16794	564	0	0	186207	412113	21451584	0	2755341	18831	0	1154319	16468029	62709	0	0	226107	10377	0	0	324	2190525	2185944	0	140511	1574391	7846437	0	21462	83961	0	3277413	0
MI8	212217	26763	3191511	0	4041	13325538	322692	664572	0	0	378912	0	36132	1406208	1107	486855	572883	1030452	0	2264751	4170543	386676	0	15347238	207	0	12057	2514267	210978	0	4266	471	126	2601486	0	3288	8834088	5586879	0	4495260	62331	0	2095269	26769
MI9	427464	14331	325569	0	1344	8224056	0	90819	858	16518	5877	0	0	1809978	2670	77961	688413	65858286	97260	160290	844002	0	0	16978734	1677	0	120666	545223	0	30918	7371	0	93960	8307	0	0	272757	11277237	0	1465035	0	300615	2179545	127842
MI10	0	34881	0	118908	35388	0	0	27393432	0	0	2924130	8976	0	0	2034	0	72207	7364520	4413162	2872086	272817	0	9099	22393653	578826	0	4485	0	0	0	0	0	3803310	27693	723	0	0	1483785	0	7819437	0	0	0	308520
MI11	257280	0	126228	1536	0	13831002	379014	23463	0	0	629175	1587	508092	1154532	0	13167	140295	32196	48564	1479360	2692485	36888	0	16739682	0	1443	0	477972	117435	0	0	0	725349	0	0	1392	2691600	7239627	259932	26361	116685	0	258213	279
MI12	101688	39495	0	0	0	3403065	1055262	10480611	25542	23868	0	0	135714	4381581	7509	4365	117327	1927113	0	2177325	587244	35508	0	8171640	21863496	0	0	306726	55905	0	0	0	0	0	0	0	2912628	2837814	453	1994904	11802	5730444	1429779	0
MI13	19287	5355	26862	11595	0	13252050	300141	1199784	0	11004	44415	0	0	635148	0	429	197823	58403451	0	1764	2399139	18252	0	15367263	7938711	0	0	428424	46452	0	7563	0	0	0	0	16788	2267232	8153697	0	1993602	0	579	383295	894036
MI14	162249	42093	900858	0	2826	7092858	320640	695388	4605	0	762822	942	3990	0	996	17124	1451583	9045	0	806442	3618351	300129	0	25017573	12219	0	3516	324003	136131	61374	4476	1113	399591	107148	0	154419	4034415	21256872	0	1775610	49851	63234	655773	3372
MI15	0	0	0	0	1392	0	0	143784	0	0	39957	744	0	302082	0	18798	24861	8088444	128137353	627102	0	0	0	1728699	7985586	0	31464	0	0	2085	0	0	15501	630	0	0	0	0	0	67440	0	0	65946	0
MI16	56331	17157	0	0	8829	1679613	174720	15311511	0	681	16662	0	0	8559381	0	0	358833	158145	0	39795	13287144	0	0	38429229	301053	0	9561	54810	4863	10119	2136	16989	6174	1581	0	0	2312367	4479075	105732	1384077	0	1236	29550	45369
MI17	0	34101	0	7761	250917	20456160	0	11195382	0	0	111609	5076	0	0	0	0	161883	5985651	824391	16943550	0	0	5868	35726370	0	0	52701	210534	0	3093	744	2397	0	0	0	1014504	0	1539864	0	3644820	44490	0	2868270	1690758
MI18	168762	21264	0	0	0	5759385	205191	2013213	0	0	0	0	0	1659936	0	3816	378024	49956588	0	586209	3832047	183438	0	25711965	0	0	0	74697	214293	7716	0	3984	381	0	0	1680	1156155	3214293	0	76521	684	6351	202233	0
MI19	0	308367	0	260211	5502	14535930	0	16011837	0	0	610629	239889	0	0	0	0	2006562	418722	4119	407925	1055175	0	0	27834129	2229897	0	5649	0	0	8685	807	0	388032	74742	7743	0	0	1623693	0	15150687	0	1797	0	83955
MI20	1542	9786	0	0	3108	128514	0	5513871	0	0	279	3591	0	4136730	5775	36732	525153	247659	0	91164	1730289	84906	0	8476230	51264	0	2859	0	0	0	0	0	0	0	0	7776	78039	16159170	0	5234841	298227	0	5349	882
MI21	529716	25515	29748	141	6693	7256286	0	3838122	0	0	60261	4194	0	3116265	0	94542	258342	2199	0	75141	1812738	41295	0	12598032	0	0	35559	260703	19395	9492	0	0	0	3386370	0	0	171561	22058184	6737886	140208	0	3960	1193742	59676
MI22	10740	11778	1648002	0	0	2406759	344790	24890691	2997	2898	703956	5709	0	11100585	0	0	904629	244407	4332	496674	8981955	19335	0	17769075	648696	0	0	156873	0	4002	0	312	192714	286605	0	0	3113844	7098483	0	50247	0	17535	481815	0
MI23	0	140214	0	124275	5109	2301	0	41702712	0	0	9891	16536	0	29967723	0	0	586029	439101	0	317958	847413	0	0	14251191	6091569	4881	729	0	0	2112	0	0	3288	0	12402	0	0	5540718	0	7124208	0	0	0	4395
MI24	0	19794	0	0	9102	606555	2547	23862324	0	7176	0	1080	0	14570487	0	236361	1682802	330390	0	1035222	7912554	345945	0	50675196	7002198	0	27702	270336	121824	15132	8232	8790	0	1798491	0	543	0	12033402	0	822495	115035	0	658353	155859
MI25	0	9381	124083	0	2334	955908	0	14831211	0	0	1107498	0	0	13116546	0	0	1171476	6025464	8097	645960	339183	18666	0	22754085	0	0	23268	11706	0	6051	0	0	75306	0	0	100320	2519061	11242230	12756	2738286	9123	0	60801	0
MI26	2748	201546	0	0	1242	724428	12879	41006649	104511	0	36240	16764	0	17786172	0	0	2741508	62691	54975	1234845	3842943	569565	0	27062829	27669	184119	1554	0	0	13539	0	1332	105414	18846	0	0	340356	1433118	456	2152752	0	20706	1845	1182
MI27	82614	4935	119571	0	0	8376753	0	42698469	0	0	37275	0	0	2350329	0	40488	19014	3001173	0	0	2586696	94464	0	11203635	0	0	0	31044	14322	2472	0	0	0	47418	0	0	2166693	5008851	948276	27942	0	37002	820338	282
MI28	351870	4986	0	0	6873	11949357	0	2091513	0	0	118392	0	286377	0	0	0	741054	46080	0	97746	2941674	316965	0	44235750	7257	0	87	0	0	4380	0	0	43434	0	0	0	3028131	5450982	0	660447	0	0	762972	0
MI29	1286886	1092	0	0	6948	2118777	0	2834382	9876	0	211488	1110	3024	5395365	0	64395	327447	370260	0	25401	5476539	0	0	18558807	40656	0	0	642	0	31839	0	0	0	2850141	0	4704	2347371	9176838	4426644	34455	7749	1266	1168590	443502
MI31	0	77094	0	0	22128	21409323	0	0	0	0	6258	0	0	1648977	0	46944	199395	718101	0	0	2805294	2199	0	33699822	0	0	79866	0	0	8247	22917	0	0	0	0	0	273234	4839879	0	4643604	0	0	1005351	210
MI32	0	15156	17436	0	3399	36592584	681	2673510	0	0	0	0	2196	854619	0	8283	104808	1252863	0	23325	3980322	0	765855	28124541	0	0	34551	31674	0	198	30174	0	2583	569202	0	138363	114735	4438947	2454	4977471	17733	6564	2774271	771321
MI33	7827	4320	0	0	0	7335624	580665	6703110	0	18582	27597	0	14910	5299368	0	67287	332820	3021012	1935	117273	7489143	356640	0	21668673	547731	37734	87	565356	0	31014	0	2601	37701	124218	0	0	5375007	17112606	1179309	2268249	0	31743	2071323	6372042
MI34	0	119037	0	2766	4116	15949986	0	5290872	0	0	21384	4128	0	1252776	0	0	80751	3941121	0	712068	338775	0	0	26622645	18663468	315	19809	0	0	7860	0	72	0	0	0	0	0	585915	0	4890660	0	0	1303251	35970
MI35	20538	73779	0	0	7932	9077646	485775	2675589	0	6579	3681	22785	0	3542094	0	19632	278367	145872	0	35466	4304280	123531	0	27145698	915	0	4776	293841	14139	2376	1659	4215	954	0	1527	0	1965984	7524312	2073	6648732	0	22287	189921	977430
MI36	469203	0	0	0	0	33744903	1473441	1152909	0	0	462060	0	0	251712	0	78291	53109	17064174	2977635	6528	1051197	79416	0	12800550	0	0	3153	1140039	96396	0	6498	0	0	0	0	7347	2614458	10894323	0	2870319	69861	0	1924893	69270
MI37	59736	2871	1868877	3426	0	9925833	0	5029692	0	0	362313	10239	46707	297474	0	0	458727	446850	10099347	129240	496098	83391	0	6740712	1967124	0	1374	45537	12219	1896	20142	0	35151	0	0	912	629421	11339484	0	3619095	133668	0	209130	70578
MI38	106218	8934	143958	0	0	19309083	763398	5790807	0	0	88152	0	12090	8747118	0	3480	217836	2002212	0	127101	965607	48813	0	5965335	63012	0	16239	651468	136680	27240	0	0	0	0	0	0	3950037	7342809	0	1641369	0	0	5424228	6519
