feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON13	-6.96306606428024	-4.40507061115933	-8.66586505529526	-3.4423767774375	-5.58745870982991	-5.26045197490479	-7.63549140625173	-6.66586505529524	-7.76102228833558	-4.16788585616871	-9.13299106572256	-7.04054481695794	-7.47898692057173	-5.55511798978769	-6.22045390697287	-5.83674961449881	-4.5658178784449	-8.57659771719817	-5.42603804062276	-8.63549140625172	-4.22186347722754	-3.05240863874878	-7.89852581208551	-1.42319768946308	-9.4655664048094	-8.31356331136438	-6.94432950169864	-7.26625759658599	-5.6317392713906
CON14	-6.58886746930882	-3.52851356247786	-10.8484856755518	-3.54465782601235	-4.22494528575682	-4.69134109055861	-9.30768571676481	-4.95994133007326	-8.30768571676477	-4.8721312001454	-10.9508989160503	-7.79111019102387	-8.22968320476349	-5.47198616901319	-5.20848403905765	-5.00187728724067	-3.92590245658638	-10.8596785713317	-5.20148631293283	-8.10257128686016	-5.44418771666962	-2.71661362252411	-9.77717100006603	-1.89546873654829	-10.9585027164693	-9.19220849934488	-9.61962972307955	-10.8829440425428	-5.58582701498876
CON15	-6.6402748183678	-5.67771814754999	-10.8484856755518	-4.45847571663719	-4.10011635178008	-5.47273640976236	-7.8867127136709	-5.47273640976236	-6.67405183035222	-4.83872277073606	-10.9508989160503	-8.90378622702987	-7.95625364692398	-6.07693512934643	-5.31596407216943	-6.71867482177285	-3.89309162623359	-8.02931710911369	-5.46955516251768	-7.92106421846167	-4.82442843541655	-3.40888303434021	-8.62367830783712	-1.20004741062764	-9.54121614764518	-7.63789216705679	-6.10134679538634	-8.36536631224571	-5.15399659250604
CON16	-6.93570479749557	-4.30044463140922	-10.8484856755518	-3.56118175166064	-5.52245391769073	-4.86769812091516	-9.27198818536002	-5.44925803741547	-8.38446291461841	-4.11110832352068	-9.54952216088893	-9.10206318391772	-7.73593528511979	-5.3365284375547	-6.48539182346919	-6.90042932274803	-4.05088445999211	-10.8596785713317	-5.21237332906277	-8.8934765621063	-4.21345521515838	-3.09058742362069	-8.3085140613851	-1.59938605335814	-9.1676515255453	-8.23636427562929	-8.08612164004868	-7.07821644196332	-4.24187285445191
CON17	-7.95005823840132	-4.1015843290181	-10.8484856755518	-3.50869491252531	-5.39693182480215	-5.3255673734935	-7.37659137651797	-6.25491281992972	-6.94149622489788	-4.74991862391197	-7.72766581706487	-10.8852444366012	-7.74246281899294	-5.59754182368051	-6.57861000767014	-6.54795979482995	-3.70847225183153	-10.8596785713317	-6.00252565829544	-8.48439466605253	-4.72766581706485	-2.62898914624302	-8.64193594303898	-1.44282991618471	-7.68416417842828	-7.57419133640315	-8.78778680950247	-9.88294404254276	-7.05697344231782
CON18	-6.93023404258452	-4.58697743825664	-10.8484856755518	-3.71085952582859	-4.71498505063271	-5.15166754395153	-8.48482289426215	-6.25120321750245	-6.48482289426215	-5.01111714464273	-7.96126093820514	-7.14497289137754	-6.04187939841342	-6.56001039065637	-5.79133593676283	-6.39736005301181	-3.90174012675921	-8.39736005301182	-6.32495155748377	-8.04187939841343	-4.28147489128238	-3.10598618105154	-7.72993539209869	-1.41503749927884	-10.9585027164693	-7.51903860960007	-7.72993539209869	-6.39206575334229	-5.1971105147127
CON19	-6.9093931028117	-3.63249326347369	-10.8484856755518	-2.61094861714448	-4.91881635669831	-4.63326869753745	-10.7012398078414	-8.17242750864549	-8.15450560064822	-3.99450971644964	-10.9508989160503	-10.8852444366012	-10.9495565482069	-5.14562744930177	-6.16343872541823	-5.57549236625825	-2.85320700612161	-10.8596785713317	-4.43096052224434	-10.9939676379421	-4.68700068147524	-4.09347616725066	-10.9615943907567	-2.05244889899061	-10.9585027164693	-10.8781175699255	-10.7322428143811	-8.2089533846706	-6.10633831818772
CON20	-10.9632863218059	-5.18226198464595	-10.8484856755518	-4.79126349693473	-6.53214414110431	-5.78891955646643	-10.7012398078414	-3.93546821981936	-6.9576740142008	-5.13089359355555	-10.9508989160503	-7.86588153828132	-7.84625273153238	-7.5165472860533	-5.2678035377699	-6.44099625304613	-4.83896023896602	-6.67200180468728	-7.24835117510375	-10.9939676379421	-6.11319159182209	-2.31845875413359	-10.9615943907567	-1.10187341501604	-10.9585027164693	-10.8781175699255	-7.23552713474614	-10.8829440425428	-6.04447884173807
CON21	-10.9632863218059	-4.64511882629452	-10.8484856755518	-2.46598941031491	-4.32319073140716	-4.37187109616174	-10.7012398078414	-7.39544280331576	-6.29814560196084	-4.97621750707347	-10.9508989160503	-10.8852444366012	-5.27738704179404	-5.7993397449894	-6.58012157144809	-5.72016953155578	-3.18086011811546	-10.8596785713317	-6.45247374835214	-10.9939676379421	-4.75382508573703	-2.86508939874783	-10.9615943907567	-2.01946047801936	-10.9585027164693	-10.8781175699255	-7.65178255657555	-10.8829440425428	-6.70623034059791
CON22	-10.9632863218059	-5.0814343549975	-10.8484856755518	-4.03712288078792	-4.88538428363857	-5.51753346980417	-10.7012398078414	-4.0530791176235	-10.9724463210913	-5.08963927781922	-6.92888592227517	-10.8852444366012	-6.02003381033336	-9.66111183964696	-9.40395400014989	-7.030526184151	-4.1313787861739	-10.8596785713317	-5.92888592227516	-10.9939676379421	-4.39723923608646	-2.88003766217309	-10.9615943907567	-1.21305230487959	-10.9585027164693	-10.8781175699255	-7.06246907665375	-10.8829440425428	-4.74054098176639
CON23	-5.97107234676075	-4.72439014633439	-10.8484856755518	-5.05006064290757	-5.94180775225556	-6.42607625335723	-7.83572049386588	-9.17242750864549	-6.56195968143902	-6.27975786486726	-10.9508989160503	-10.8852444366012	-10.9495565482069	-7.00699192101571	-4.830347321767	-7.8574155649652	-4.8037776013631	-10.8596785713317	-5.32438085628789	-10.9939676379421	-5.71198512544361	-2.33480431407659	-10.9615943907567	-0.959111921436869	-10.9585027164693	-10.8781175699255	-10.7322428143811	-6.87944187129519	-6.3626508732156
CON24	-7.60839915557055	-4.38997563643704	-10.8484856755518	-4.90873570596628	-5.41954233811786	-6.12802555612659	-5.55881712671998	-5.15540199505789	-8.000086167572	-5.54185829956015	-9.81407418196209	-8.27641739601927	-8.39323106100202	-6.32947863977068	-5.82282665597102	-7.52986575302386	-5.14988499009032	-9.3759530695702	-5.1776834424339	-8.52034297890536	-5.04546296117938	-1.89585211399755	-6.55881712671999	-1.45779971522132	-8.81407418196209	-7.88562744298709	-7.56859814751257	-8.04035003778574	-6.70757456066139
CON25	-9.00734502672344	-6.34742046832102	-8.19176959786087	-6.59591878099694	-6.06623871577697	-5.79322022137055	-10.7012398078414	-4.26965826531353	-9.25888379371937	-8.56373837524781	-10.9508989160503	-5.87641415689695	-7.38441467580325	-5.93010202779093	-4.936955698832	-8.12763926044113	-6.83102225408294	-9.32927312161086	-4.95423369026383	-8.56373837524781	-8.22493646179604	-2.16269156324281	-10.9615943907567	-0.928393685328564	-8.9507614983571	-7.81831120233339	-10.7322428143811	-10.8829440425428	-8.15934812016845
