Compounds	AMI1	AMI2	AMI3	AMI4	AMI5	AMI6	AMI7	AMI8	AMI9	AMI10	AMI11	AMI12	AMI13	AMI14	AMI15	AMI16	AMI17	AMI18	AMI19	AMI20	AMI21	AMI22	AMI23	AMI24	AMI25	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44
Maltose	9302.09	9778.51	170024.43	15869.31	30975.87	21024.67	28384.36	13434.95	13223.42	24564.45	34113.42	14802.88	10639.28	8628.49	22688.5	8988.37	23126.25	20363.41	24176.99	7836.13	34370.25	24419.87	32378.53	16205.01	10000.83	29621.06	9409.29	30862.86	15015.05	7170.08	14972.93	17759.43	12313.08	30028.82	8806.2	21237.74	5248.85	4599.61	90658.1	27222.45	20475.95	18739.48	8359.87	41369.63	37481.92	27139.55	11739.33	20720.9	26755.07	11607.61	28164.41	24491.46	37156.94	23183.86	16694.08	31193.13	14698.02	14181.08	13717.01	31943.06	11434.03	33993.56	24893.94	13292.2	54810.0	27217.66	16877.21	61732.58	23807.98
Creatinine	9873.03	10200.28	10529.2	8650.7	7514.95	11143.35	7598.59	4563.36	7372.74	6842.09	7360.76	8482.45	10549.04	9626.83	8831.93	8500.77	2635.02	10679.9	8476.79	8806.95	8933.02	9745.97	10166.5	6641.66	2396.31	5281.32	7864.08	8230.34	12746.97	8052.67	8423.0	11795.34	7405.72	10275.26	10195.72	10977.82	8956.45	2642.3	17801.23	1263.29	12150.66	18824.95	13180.08	11717.87	9787.59	10952.86	13007.26	11824.0	7637.38	9002.63	10348.29	9451.98	8794.57	5895.22	10301.81	6717.09	6620.88	8214.44	9551.09	9108.27	13982.58	13727.9	13854.25	9070.12	11730.55	3056.63	5852.28	5284.04	13908.4
DL-Methionine	17583.23	21064.28	14029.18	14075.36	19364.77	19005.95	13839.55	12322.86	10628.38	13755.0	26302.96	17714.39	17157.97	9837.13	11684.85	13961.57	22281.11	21153.25	16074.72	17567.61	7906.55	14602.77	23331.9	10805.6	20001.03	20836.91	13249.36	6699.52	17093.87	13321.41	17748.66	9741.02	16483.49	11789.52	12327.98	9697.12	9644.6	10991.27	7040.86	16459.76	18526.72	13139.19	35324.64	15730.73	10215.76	20868.31	18187.02	18585.54	10845.9	5598.75	11636.82	13501.22	11049.36	7078.45	17242.75	14719.06	11223.44	9821.34	11734.41	9209.28	10437.09	23059.18	15670.59	14103.71	11566.02	12279.01	8754.4	21749.69	21545.6
Proline betaine	11021.4	5496.96	55232.1	2325.41	5695.39	3822.89	105507.64	12090.48	46804.07	70374.75	143868.27	77274.11	31708.32	85809.4	26047.75	31324.8	3773.61	63252.24	66087.51	56201.4	9786.97	28596.91	19512.27	53439.33	13487.6	98511.99	12646.74	36319.98	7186.68	8771.73	3313.38	67071.48	17931.79	6325.09	8639.58	19833.69	3495.18	12310.89	6182.43	7437.66	3559.09	6890.06	8017.01	1912.1	37376.26	5018.97	3495.23	35188.89	33465.2	5835.91	41902.48	12859.47	5869.96	83823.67	7886.36	76787.61	9680.83	63255.22	16338.53	5317.25	2464.03	1813.4	12892.71	46686.38	22041.82	19480.78	75814.83	124779.85	1262.82
Uracil	3461.69	4100.05	3518.08	6818.21	3344.31	1582.69	4261.1	2740.59	3193.88	3108.49	4157.3	4051.66	2545.21	4319.49	3294.02	4387.15	3090.22	2715.78	2083.23	2722.23	4342.94	4340.46	3019.25	5122.72	4347.1	3463.9	3487.92	7891.94	4816.06	4697.34	5820.29	2780.29	4616.6	4097.99	4958.96	7652.88	3880.06	4796.14	6250.6	6167.95	5167.64	5428.48	6716.3	3156.89	4827.07	3474.56	2711.68	1534.36	2875.69	2212.28	2730.78	2456.71	6911.79	6161.91	5775.31	2425.05	4871.81	7450.16	5477.15	5972.1	4354.22	3857.86	2648.73	3634.48	3952.24	2180.84	2440.03	1868.47	1263.57
Uridine	2186.86	2929.81	2177.38	1428.88	2939.05	1766.19	1890.81	3051.4	898.4	3065.33	2709.21	2598.13	2170.45	3206.59	1985.26	2408.71	1683.92	1959.91	2439.23	2983.37	1045.27	2815.93	2179.15	2065.88	1712.46	1584.58	2836.4	2113.92	2535.93	1005.18	2998.1	3270.56	2152.55	3313.84	3451.24	2920.05	1139.92	2814.78	2225.05	2935.47	3165.45	2103.04	2819.04	2601.12	1724.31	1140.48	2659.44	2555.35	2457.06	3977.44	2960.83	3380.4	3456.31	2749.53	3251.57	3588.89	3437.85	3005.06	3271.82	3946.71	3882.1	3630.09	3785.37	3572.53	2368.65	2989.62	2875.51	2303.87	2148.62
7-Methylguanine	6391.1	6160.65	5178.01	6696.58	7499.6	6925.23	6933.64	6504.74	4111.49	6865.76	6981.09	6626.26	6167.2	3362.8	9744.31	5580.92	7419.08	6546.99	7338.27	4695.32	3714.83	6339.51	7751.68	7492.04	6392.57	8812.69	6744.75	8760.63	5630.2	4786.04	8715.25	4664.02	8242.54	4429.67	6774.02	6854.97	5497.72	4953.14	8302.94	8480.55	6886.55	6833.8	9215.74	5575.3	6612.86	5559.87	3844.12	4070.26	4718.73	5857.46	5577.74	6560.75	4672.5	5988.87	7426.78	5148.8	4116.26	9497.23	4168.19	7470.72	7221.71	8798.54	6273.6	5618.47	6410.42	6351.72	5438.3	6454.09	6983.9
Indole-3-propionic acid	15846.81	3785.35	15102.34	3318.97	2027.93	689.66	58664.79	4655.15	1489.14	835.29	367.6	649.77	6665.71	7697.63	415.81	1733.61	7158.21	724.34	310.67	508.82	8892.73	1924.05	1547.12	6895.98	706.63	3308.27	844.61	336.76	5475.35	1044.73	1834.23	129297.46	4689.46	881.75	2736.53	6333.08	3414.27	1317.41	1655.22	4210.29	1165.62	2584.68	2625.57	30095.29	3352.06	4137.24	7621.93	3607.06	5767.4	570.77	7087.08	22275.26	6187.85	2188.84	1648.56	9392.5	3929.08	1866.05	3912.16	2286.95	1192.33	993.07	1120.65	4405.39	3084.29	9273.0	1978.14	7679.46	2469.89
Creatine	6730.22	6046.12	3527.41	7760.12	14576.28	19193.91	8318.52	7994.03	20339.94	6470.59	16900.99	9330.0	14641.34	15140.64	10017.33	11734.09	20002.52	10427.23	12564.53	7453.89	2385.26	11205.35	16217.02	7911.46	16624.09	5994.54	15306.66	2264.88	8177.96	18497.29	15556.7	9418.3	8752.58	20951.58	10151.4	7026.06	7051.07	19416.9	5641.65	5850.82	9067.65	14119.68	13023.37	27334.26	6749.05	8068.47	18117.76	33061.15	9717.07	7470.7	10530.26	17475.6	11602.02	14307.57	25468.0	19743.67	22954.99	8074.14	23528.66	8644.53	11001.31	12811.09	12979.91	3896.38	10438.99	4922.47	1350.39	23596.84	16537.91
Palmitic amide	4499.27	19086.59	4970.06	1039.07	2937.5	3501.68	3804.02	4432.38	5341.46	8040.38	2449.22	13874.8	10272.16	1912.57	7543.14	1455.89	2831.03	3922.88	3432.54	8845.79	4487.11	7283.89	3124.66	1040.49	11058.55	2228.28	4710.55	6823.99	2978.62	3078.46	2724.99	963.94	1090.31	4325.67	1387.8	3971.73	4343.11	2259.01	5108.93	4277.08	1886.36	1214.36	1846.09	15896.23	9871.16	961.27	2482.84	3428.87	866.07	3025.2	645.93	1669.23	2278.98	4043.11	1548.6	1971.89	910.35	887.11	1936.92	1268.77	899.95	842.07	1601.3	1798.59	6154.27	1214.17	838.7	2469.01	2215.87
