Compounds	AMI1	AMI2	AMI3	AMI4	AMI5	AMI6	AMI7	AMI8	AMI9	AMI10	AMI11	AMI12	AMI13	AMI14	AMI15	AMI16	AMI17	AMI18	AMI19	AMI20	AMI21	AMI22	AMI23	AMI24	AMI25	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44
Hexadecanedioic acid	62473.08	51159.66	55770.38	210730.59	144840.53	121573.08	179386.12	122232.52	149639.98	32513.94	137573.47	130286.67	74285.05	68929.87	139994.87	62207.95	204131.35	68775.0	104282.45	80081.55	72840.91	46151.13	147406.42	83318.15	82682.2	83316.54	178195.73	247778.32	42481.9	291018.21	121294.18	71163.99	79264.52	76725.7	123665.59	50330.6	61287.32	122118.01	100449.89	101271.62	70086.94	26411.68	271193.47	101299.0	78804.37	86560.07	70445.44	35422.87	57683.36	143665.49	92366.08	78682.06	57206.28	104401.53	64069.91	67988.19	51416.95	116857.37	305944.63	163331.55	98027.4	107892.05	58410.21	43805.75	162269.22	70975.78	65228.55	351248.7	184181.26
prostaglandin B2	2494.86	2479.36	3366.44	2935.82	7454.93	2747.66	3768.89	1783.55	5550.98	2513.06	3048.34	2665.76	2920.88	3398.79	15112.26	5406.48	2195.15	5256.19	3256.36	2773.79	2594.6	3829.25	1632.36	2796.07	2786.7	5970.35	8733.14	3616.87	2848.86	8991.98	13081.59	1965.4	3288.98	2556.67	4907.96	4345.85	2612.44	2682.44	2014.7	6994.98	2743.59	6255.36	3971.32	3945.42	18265.03	6808.36	4426.02	5740.97	2309.82	5019.25	3733.14	7214.64	6328.09	12107.58	5058.32	4341.71	3593.72	12117.3	5168.3	14618.8	4947.27	2720.53	2021.35	2972.47	4291.43	4714.27	8420.94	4356.29	3487.42
2-(((R)-2,3-Dihydroxypropyl)phosphoryloxy)-N,N,N-trimethylethanaminium	4052.93	527.88	11416.02	1758.52	1474.17	2723.33	1075.67	2490.27	3233.92	2051.84	2328.2	5863.59	210.57	1428.63	916.14	2381.55	1559.64	1986.89	3088.11	2425.9	1861.39	1988.82	3832.33	2108.65	2098.74	443.29	559.32	1754.43	329.65	1474.57	756.09	964.14	754.27	1976.09	2447.89	851.19	915.09	2459.1	617.04	1829.49	1686.19	1060.73	2627.0	1278.05	1462.35	1203.47	1630.4	1157.03	1563.48	2299.1	1617.76	626.52	1569.29	1488.9	1582.56	1539.54	2795.99	1213.59	1969.83	1665.46	1535.89	1480.51	920.45	1164.21	753.73	1814.67	618.35	1119.17	2108.31
Maltotriose	2786.64	1921.78	49690.51	2965.44	6549.83	4363.49	3987.84	2569.68	1982.66	3405.62	7803.26	2179.64	2432.31	2098.67	2228.24	3192.05	2218.4	2163.76	690.3	917.47	3518.17	3891.57	5161.81	4002.03	2235.04	2558.31	1977.99	6611.05	3165.66	717.42	2827.99	3533.49	2564.24	9429.57	1606.75	2610.81	415.84	3494.07	1611.24	16814.11	5989.99	1765.56	898.66	7747.08	15619.68	5679.43	1352.85	5823.07	7736.83	1830.84	2452.99	8565.19	9690.7	3693.3	4602.76	7393.3	2363.84	5359.73	4233.16	6261.48	2771.78	9403.7	4290.33	2633.2	2970.74	1561.34	4340.92	2750.61	8335.39
LPE(16:0/0:0)	617434.6	489492.78	1364790.01	780188.0	563252.57	1361208.4	581102.7	833616.27	666899.37	862876.62	910367.01	1109268.3	801555.46	830277.05	644223.32	478372.96	986078.28	667412.82	760586.47	953590.9	683604.79	716361.45	888046.34	672647.96	661981.04	973601.55	872342.25	1290611.66	509783.48	619462.67	458301.23	816851.48	599678.99	1401955.19	661614.21	532968.48	358887.58	922396.47	731044.81	1025442.57	684825.0	738127.03	1058844.1	863967.94	1292908.73	937037.51	752880.91	917969.79	697718.31	558090.13	620069.41	435617.69	1330728.96	666103.72	1304294.92	750340.17	712130.89	806958.7	1071071.82	932166.95	910876.45	636257.38	880007.02	725495.92	935420.12	911295.68	612364.4	682613.6	1200016.54
LPE(18:0/0:0)	20391.93	39105.92	110811.58	43911.57	21162.52	66192.29	48522.42	65365.96	50673.4	27100.38	71679.58	100378.82	28706.62	50198.71	24484.55	18534.9	70440.99	56132.39	57411.23	40176.64	47554.13	64103.92	72831.9	47799.76	26222.65	78621.1	55049.75	104474.51	22250.63	36882.99	26393.67	41709.89	39955.19	89009.63	50148.28	26270.34	15191.96	52674.67	34938.56	58987.27	48704.16	53351.33	57922.82	5384.7	84515.74	74846.75	53054.19	67416.0	27434.13	44394.31	40863.68	36798.37	96611.34	55278.58	87358.23	37196.37	71192.57	30822.78	85250.35	76251.38	46074.91	49115.97	36410.35	46493.24	87415.71	68330.61	44258.46	55726.67	80527.99
Deoxycholic acid glycine conjugate	63127.43	78195.2	68029.94	87620.42	71961.14	66607.78	69394.89	66629.24	59542.05	62303.16	79534.18	60999.48	67897.98	54090.0	74981.57	55461.31	79380.83	48746.04	52790.62	26536.62	62025.36	66395.71	50685.44	59488.8	31276.14	77643.98	67817.5	90185.15	57950.85	2894.55	71300.58	63210.53	70859.0	65471.79	70212.07	60192.39	49055.95	79149.38	75979.2	61355.92	59262.65	70135.99	71274.6	90454.67	80329.26	61806.69	77743.32	2837.94	59664.96	68312.02	72131.3	71539.62	25388.07	73095.89	62368.03	59095.28	62803.6	64687.18	60851.28	55339.81	75500.32	66436.52	53770.25	61611.81	4987.81	63491.55	68453.18	78497.0	95482.72
Dodecanedioic Acid	25751.72	20507.49	33626.71	74208.42	43973.8	66198.28	64807.72	56103.81	120627.76	20560.98	69899.91	56537.46	23982.63	23719.99	66843.06	23069.15	81409.99	28591.5	24403.7	30416.94	22644.77	21523.01	92683.13	39387.51	37079.46	27578.87	79674.1	126076.79	16355.06	141878.59	49598.1	25829.23	22709.92	36825.97	60283.94	24837.41	27913.68	46491.3	43845.34	33943.12	22449.92	23427.75	106270.58	28600.59	14849.76	26358.18	22931.73	21516.01	36427.49	58752.79	42746.93	39959.48	21871.85	61900.24	26490.11	36293.36	27645.14	81873.67	128927.78	68241.1	52852.09	43816.99	55260.27	23759.67	62545.1	39558.69	32900.26	165901.37	85692.12
P–Hydroxyphenyl Acetic Acid	1872.75	1260.98	799.02	1676.78	22994.0	2936.84	4001.57	3144.2	1643.35	2188.96	998.71	1622.79	1602.63	2618.88	6132.85	1252.53	1399.92	2960.52	6797.39	491.48	7138.9	899.57	3006.47	6615.57	4693.63	5082.41	2461.45	13983.32	8360.79	4373.78	4379.64	2532.2	5001.31	2009.99	3102.08	8859.48	3561.04	3267.23	1458.23	3201.48	3748.14	3103.65	10237.73	3294.47	6215.87	5919.9	2289.46	2316.09	3308.75	2378.45	1581.16	2371.91	3997.2	3150.06	4404.01	3331.62	2867.36	1839.43	1017.06	4759.96	2436.97	5569.88	31092.94	1693.01	2655.56	2561.19	1972.54	4846.64	7767.54
Glycohyodeoxycholic acid	1978.34	2103.71	3092.74	1418.31	2368.03	1304.22	3130.53	2120.46	2042.01	787.44	3406.29	977.76	2105.82	4376.49	1627.73	2023.88	2719.01	1486.75	2013.86	1400.29	2712.77	4712.21	1764.7	1982.51	1877.76	2174.11	1566.75	1284.64	642.7	1132.64	953.02	1925.9	1671.55	743.68	1292.84	2211.21	1167.27	1289.96	3010.31	1289.91	1851.77	1317.39	1133.74	974.89	2364.62	5136.64	921.94	916.84	1335.18	727.55	1483.41	1611.84	2100.23	1975.34	1268.03	1156.18	1327.32	3335.76	774.43	1058.7	2657.66	1350.62	1502.33	979.53	761.89	2777.43	1057.16	1635.38	2575.57
1,11-Undecanedicarboxylic acid	90392.59	92776.12	72776.15	158920.78	113122.66	152547.52	141726.58	121076.7	146061.68	91920.76	132283.09	135125.38	92753.67	102669.62	140699.48	93444.85	155936.51	117671.4	89986.97	81839.54	93580.8	93244.76	148329.26	103065.76	101420.43	115047.73	144869.39	210211.88	98682.73	208168.36	113200.82	98271.88	101332.78	117913.24	162408.73	100592.56	94333.33	128096.36	133659.02	108360.05	90415.91	105606.91	179267.73	104713.66	109768.2	117459.03	105523.22	85176.85	96935.49	143005.99	104724.39	94445.08	98423.83	137195.29	102471.32	94513.06	87430.63	104225.46	202182.72	126255.26	126537.82	104562.66	86618.67	108043.08	154060.14	91478.75	89825.14	195379.44	165114.53
Undecanedioic acid	25865.63	16739.72	16795.48	72335.66	50347.56	75131.97	56512.76	54808.5	78793.64	21207.39	62039.14	46534.09	29168.9	19354.31	60725.62	18478.36	89131.25	27266.34	28276.95	32611.19	21074.63	15485.08	88573.75	40336.55	36613.94	29822.98	81767.26	123696.2	17854.35	113708.75	39253.02	31414.82	23284.84	42960.15	65343.84	30520.59	23107.49	38811.84	41405.29	31824.96	28491.4	25587.33	103423.84	26447.44	23390.66	23598.75	22758.83	19281.83	20471.61	73504.56	24199.5	23867.74	30628.35	55475.93	25965.55	34756.37	23959.58	40000.5	125926.14	60552.81	55923.43	47803.19	24460.29	20138.65	62709.79	21058.12	25871.9	120735.44	68720.17
L-Aspartyl-L-phenylalanine	41734.28	88431.92	54437.28	47807.54	79098.69	20594.07	83477.63	58837.05	69010.07	45657.03	29802.29	33188.87	55357.0	135459.21	70057.71	66767.08	113861.56	72889.54	40319.87	27405.84	23466.68	211165.68	55780.4	34613.92	116806.82	66328.49	27170.11	98219.49	48199.03	39103.32	87007.55	48413.26	74127.76	59971.68	63811.06	82945.63	36215.01	40844.62	46318.17	37046.0	51917.2	31998.63	18031.55	4973.22	60736.16	26958.23	34776.3	17590.63	39084.26	23593.26	22051.35	32860.46	23685.15	14842.85	41876.31	16605.66	66995.18	31687.98	25986.65	58370.24	96684.71	48112.73	75175.21	21664.64	12540.81	60750.73	20004.64	40339.1	21800.99
Ingenol	27203.06	40943.55	51600.32	6776.32	79065.41	61967.79	59691.72	21498.33	85780.44	83475.94	37190.33	27995.52	35984.3	33240.85	51778.89	35957.52	59437.89	73623.64	53138.43	62098.69	46963.24	56564.14	62775.66	47436.23	54330.27	568098.5	33957.51	60273.03	37681.96	20311.31	7682.78	35808.94	51237.32	46890.91	7831.94	44248.02	45361.8	23027.2	34361.39	46432.26	60932.4	42535.48	33693.03	62488.91	51708.64	39877.9	24280.67	29453.72	18406.79	12257.84	20257.95	21383.32	32039.08	70960.86	55704.02	15575.85	45648.03	27110.54	43437.87	20460.52	28475.31	8659.64	11895.56	26545.51	16222.03	38717.05	12917.66	37707.8	36861.17
Dihydroferulic acid	3224.7	1004.66	6205.26	3591.56	3598.16	6090.86	7208.11	3513.37	5124.71	10992.83	3496.19	3071.85	838.84	8834.55	3683.29	1687.51	5729.99	3180.9	1278.93	1010.49	5910.11	5895.19	19853.9	5414.68	2921.48	429.68	2347.24	3974.96	5858.81	5696.39	2963.63	5177.71	1720.81	6255.96	5441.74	5925.57	5623.14	2641.56	3518.39	41665.13	2309.72	5265.45	7929.46	4182.06	2112.92	8709.57	1858.14	2120.77	13673.26	5066.73	23846.63	2349.3	6782.7	6926.21	3009.98	25158.54	2509.31	4408.46	6737.77	54103.95	43968.81	6551.67	2829.48	2532.29	2597.19	14524.15	3311.84	5237.21	3289.25
Deoxycholic acid	5542.63	3157.07	7444.68	2913.52	9455.76	70575.54	1277.97	7792.72	5437.86	5576.64	3894.44	4936.88	5774.19	5322.81	31435.53	2747.99	7854.24	1502.57	32986.1	15437.68	1823.21	2036.53	17600.04	4749.74	13407.52	6708.6	4625.97	5710.34	30882.36	5282.2	26728.72	6304.03	17142.09	5316.19	3507.01	2911.0	14542.69	3806.05	3135.2	16432.06	20309.87	1546.43	2866.79	6053.0	3743.95	4108.97	4236.21	2140.21	8886.18	2727.5	7066.34	2238.67	2493.96	14042.65	4881.48	6702.55	2352.13	11769.12	6628.04	4483.06	4007.4	9310.47	11509.84	4088.05	4230.28	4438.29	3102.08	20742.85	7942.63
12-Hydroxystearic acid	67424.01	82076.44	60344.14	132141.52	184396.5	64572.51	131118.75	92087.07	90058.26	66810.43	91233.84	105086.04	99945.53	99066.93	75180.45	66169.73	51311.86	47839.02	60539.29	73705.31	51760.92	53618.72	90351.98	36024.97	74003.97	71347.14	121936.36	119193.48	57605.49	152515.3	136937.0	59882.9	77707.52	118418.6	55543.91	59057.8	74937.84	109224.46	145570.15	80548.1	83589.42	63094.54	96811.03	152503.09	119285.85	85821.41	50906.94	72564.77	57378.96	48700.67	103885.05	50832.74	56547.38	117571.17	67940.66	82365.53	69909.71	93245.32	101544.48	81789.79	96089.8	85795.85	71420.0	51906.97	133943.21	56861.81	78299.34	141936.28	146156.02
Cycloastragenol	13544.76	9017.19	10165.19	25913.67	34085.77	21716.54	9203.61	7238.69	24051.13	20514.68	23029.56	34361.33	11022.91	13861.32	11083.0	9960.35	9248.18	6211.73	21119.02	10503.09	14687.46	22641.19	32669.46	22050.72	32810.25	3206.15	15069.18	13387.8	13773.63	23753.46	18454.7	5834.51	7665.91	8399.85	11773.71	20630.69	28934.39	18456.59	12312.9	15121.46	29404.86	16414.85	13856.8	22474.94	16457.46	22787.41	26771.73	12166.91	13489.11	18624.4	50343.17	7508.99	12264.56	27937.02	13536.83	8978.32	5548.86	41783.9	27289.03	58525.62	9357.25	8017.21	21088.1	12086.64	16047.62	15666.0	14234.84	3742.22	7878.84
Trp-glu	8761.73	12871.05	3126.05	9185.64	14562.82	1701.87	28996.35	1118.2	3549.79	3012.75	8791.59	14146.73	6266.52	16519.5	5625.43	3414.14	5243.8	8159.02	4472.11	1827.28	6891.4	16945.41	27737.47	16739.03	5071.55	1749.92	2193.3	4833.82	2380.88	1985.75	4408.71	1381.51	2563.41	2735.53	3047.38	7101.91	1057.18	4325.77	2470.49	5123.38	4818.99	2159.31	3884.41	1192.12	3004.12	4464.63	1445.5	1065.69	3154.33	691.32	1884.32	1316.86	4415.11	4417.14	5121.62	6966.04	4032.45	6866.09	4714.38	4860.81	4144.59	4878.05	83722.91	1014.74	1534.55	2824.01	928.71	1707.75	1613.91
Hydroxyoctanoic acid	11301.32	6240.75	15982.48	7967.22	18876.32	14335.07	8016.1	8497.69	10188.92	6011.8	8537.24	9375.77	5275.19	4713.89	14774.72	5402.98	8196.97	6898.51	9256.46	6983.29	5063.3	8005.47	17647.96	6393.43	12075.46	15429.24	15447.7	10144.13	9685.45	12089.34	16632.19	11120.27	9175.58	12414.76	14004.08	13788.2	19143.11	14362.82	6871.73	16409.78	7669.03	16005.05	11979.06	8529.84	15154.9	11888.31	10825.09	7141.96	8052.25	26408.88	13981.84	11296.77	11535.18	27643.92	14446.46	13824.63	13181.6	75392.11	21247.99	24197.17	21763.09	31506.44	21793.63	13700.73	16776.21	9106.55	18760.25	14073.45	10732.22
L-3-Phenyllactic acid	23231.59	15530.85	13723.25	7760.49	41587.62	52526.18	22166.62	52972.84	18111.72	18597.31	23226.13	20666.83	32032.73	16656.71	39006.58	19106.24	25552.55	20720.65	19344.96	6741.15	38711.38	22849.57	36555.23	18636.0	23621.72	19271.73	12016.8	14899.83	13845.71	9212.77	5997.52	7556.14	21527.7	20617.66	3261.51	31293.35	35478.1	19972.07	17614.85	59506.1	25639.69	11948.47	28423.25	27223.0	46676.13	14992.02	23398.93	19018.42	25997.07	15752.04	13447.2	17613.55	22079.19	57858.93	23404.37	19520.55	36707.86	14689.75	30099.44	13090.49	71309.63	42869.61	40329.65	11410.32	21487.06	24171.42	34200.36	13965.47	22980.81
LPC(0:0/18:2)	1360014.24	1145047.13	3527960.16	1165107.56	1579365.17	1869583.9	691907.21	2010131.65	1405453.13	1202145.44	1458996.66	1683251.75	1030402.93	893672.41	1629740.96	702464.78	1089060.62	866674.34	1724309.79	1365687.71	704047.54	809840.86	1401001.62	1549568.9	1443812.68	1671383.22	2050401.55	1467885.75	1342111.48	1363541.84	2110389.83	2718200.38	2626929.0	2452292.82	1634462.45	994639.95	1538234.62	1483346.98	1188939.95	2161924.27	1517613.25	1788511.99	1942148.34	2109706.67	3121082.84	2924871.21	2386269.01	2012437.03	2067807.78	2550996.42	2042969.57	1800408.1	2683922.77	1927313.22	3506029.66	2031628.54	1969276.24	3944285.16	3080641.39	3104681.14	2841550.25	2951129.35	2895801.73	2218563.8	2581504.96	1793251.4	2090154.47	1915927.6	3249181.43
2'-Deoxyinosine	17.53	17.53	17.54	17.53	17.53	17.53	138.9	95.19	107.23	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.54	17.53	17.53	17.56	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	17.53	569.35	269.73	17.54	205.9	17.53	17.53	17.53	17.56	17.53	17.54	17.53	17.57	17.53	122.08	557.44	319.7	17.53	180.27	403.09	437.77	433.29	437.52	717.78	435.28	17.53	17.53	17.54	17.53	17.53	17.55
LPC(18:0/0:0)	1627.48	455.95	5759.53	1259.19	1879.7	3473.84	3609.58	2495.5	2415.82	5481.3	2647.88	5852.51	2086.11	2432.93	1005.5	991.49	1719.71	2871.72	959.85	2766.31	1835.64	1036.76	1502.85	2963.4	2314.76	686.01	698.43	2004.11	976.77	2809.81	1714.08	1912.25	2813.32	3122.35	2186.23	1139.23	1615.93	1571.05	895.87	2724.27	1579.86	5043.95	3368.05	1982.62	1151.33	1828.72	2970.66	2652.55	2125.44	3393.34	4278.03	1353.68	3472.23	5079.62	2670.34	3492.35	4722.7	988.75	3655.24	2905.86	5003.4	2964.5	2638.78	2246.49	1068.68	1555.32	2070.19	1621.39	2151.9
leukotriene D4	581.9	1931.62	1434.31	1024.07	3234.57	722.62	754.59	543.51	1899.47	746.49	2463.5	1396.98	1783.35	1424.93	1119.05	773.22	325.63	4677.05	1777.41	2400.51	263.98	508.65	1060.71	547.54	638.77	3298.88	1380.03	438.1	626.25	12270.63	4145.9	307.13	12652.29	591.26	1428.35	1115.62	413.22	1453.77	628.59	10090.78	888.66	3723.72	421.32	2340.33	8542.69	9543.73	276.29	669.43	1215.16	1192.94	489.26	808.85	3553.0	8432.81	1587.9	2623.8	753.48	42164.13	5302.57	8500.0	3085.57	613.51	3858.62	3149.59	807.12	1143.89	3141.9	625.63	1247.07
Taurocholic acid	14104.25	559.33	13001.77	17860.25	1319.8	3421.75	500.72	4441.75	12922.31	5561.77	966.15	426.06	1363.36	4509.34	1571.51	50200.21	608.19	2383.41	791.57	4287.24	381.71	5114.1	771.18	5554.48	3215.52	1726.35	2358.66	2600.16	2736.23	5982.98	9713.02	2905.03	9948.49	2424.84	19440.26	1120.6	3614.75	4658.12	3772.3	2374.7	4071.44	13514.42	6844.7	1926.54	5013.86	1801.28	554.38	893.68	1267.81	11804.48	6914.59	8194.79	3614.23	4178.87	9927.05	3945.11	16435.29	8574.61	3644.08	1686.06	6056.96	4478.4	2646.82	950.42	1604.22	6735.61	932.7	16352.48	21210.84
Geranic acid	48407.94	14410.26	43077.05	20371.89	31371.41	34410.08	9117.98	24075.83	18219.93	9374.46	12500.47	12786.35	8414.35	6715.54	28535.58	10077.22	15653.56	32075.28	18860.36	7289.5	8924.12	17002.48	15846.51	13712.3	8427.63	15001.66	13893.1	13437.87	13345.7	20785.5	27323.48	10673.15	17046.19	16472.18	44857.13	29608.53	19654.3	12295.15	6743.12	47697.28	24348.28	30903.96	9883.08	25191.15	25550.94	21535.56	29588.76	8995.51	25992.67	10486.57	38969.7	23094.22	27640.05	31789.25	49313.74	44632.54	35934.68	58055.39	66415.31	30655.5	19783.9	45463.26	16664.94	179227.64	15413.05	16736.52	31220.38	42800.79	38295.56
Xanthosine	1390.28	590.96	734.27	2000.86	2716.16	658.84	2098.47	916.24	929.34	772.71	3481.54	3066.37	1066.58	590.37	1885.25	832.12	1927.53	1597.86	515.82	631.59	425.76	1369.34	1684.79	1387.81	1262.12	75936.61	778.76	1287.91	1415.74	623.8	1454.73	830.29	1727.4	5029.02	2611.57	1949.42	959.96	630.25	872.84	2684.78	3604.04	773.92	7759.65	605.51	1674.27	966.24	448.43	852.16	558.97	398.87	675.32	575.59	6174.13	3839.48	2605.63	323.18	2053.63	5299.03	2978.77	4864.33	5118.9	3311.29	1448.63	311.86	1264.29	694.03	636.2	624.02	810.23
Flavin adenine dinucleotide	1894.92	6242.62	1155.02	6893.38	1037.86	18105.78	1094.76	3038.25	2891.57	2075.63	9032.38	2024.1	1034.26	14487.2	966.49	1496.23	16859.35	2448.06	3317.98	2131.67	2220.79	9754.51	16150.18	18207.83	802.82	16168.07	8070.11	8748.46	1808.48	7453.97	5742.18	6568.52	4897.21	2625.72	22545.67	1505.45	1826.56	2949.25	23885.5	15000.2	4576.99	2096.0	9890.9	13865.6	5828.94	16176.43	5522.66	1675.65	5223.21	11625.22	8896.42	10141.77	1201.86	6926.77	1573.1	6931.14	1629.46	1790.65	5496.37	3050.9	7701.38	1117.8	4442.74	7289.92	2220.15	4926.37	1976.96	12484.16	8949.99
Itaconic acid	959.16	1354.39	1436.32	1610.13	1403.15	3260.02	1607.04	3430.02	2140.74	972.54	2296.99	646.48	1322.97	5138.75	881.86	1469.89	1441.32	2213.74	845.75	829.36	2655.38	2008.86	1385.7	2698.9	1058.34	8141.87	7006.01	2057.45	1354.01	3049.77	3601.32	5793.9	2532.48	2041.39	2775.78	1937.24	2409.89	2221.67	10204.54	5500.42	4269.93	2956.71	3734.15	3991.45	4574.19	6029.97	2467.28	2551.81	3024.15	2377.16	2567.55	6007.41	1857.92	3668.46	2848.15	3756.61	3462.75	2550.76	2472.38	3027.36	4814.7	1131.95	4871.65	2637.72	1767.25	1796.13	2115.5	6152.41	1953.28
Glu-Leu	28666.07	29158.24	24911.74	20217.73	45322.32	46119.88	28437.54	21851.94	31341.19	17390.18	29109.65	31876.4	41756.5	54910.99	53921.97	23195.85	38317.49	20792.75	46523.63	27047.32	38640.09	85447.3	82936.59	29906.15	26013.21	52409.36	23673.99	15354.29	19169.32	23995.44	28414.43	24283.48	24836.9	24207.27	29913.28	15227.78	34411.04	16915.74	29507.32	25267.25	29723.5	13621.81	30340.28	34799.51	29938.13	31731.49	22996.67	30820.9	10787.06	22022.0	18408.91	18815.74	18141.38	21051.47	31070.29	19280.01	20037.74	26666.28	20086.05	26641.43	28048.46	32805.45	31947.4	21207.84	20633.07	36114.55	22160.61	30681.32	40926.25
2',6'-Dihydroxyacetophenone	172155.42	180469.62	91835.51	162952.58	145453.0	158557.86	175757.52	100037.62	118990.65	185357.64	169639.55	174886.58	165531.33	12170.62	167807.77	97363.02	173310.83	212716.61	221579.78	193288.32	173343.34	134381.85	127230.02	103252.93	140736.24	9120.31	33321.34	30166.7	50106.46	48161.15	48043.17	50180.86	65701.63	56419.19	66507.65	49465.54	52028.24	68873.5	38399.18	59049.83	83679.62	124112.37	108605.1	30450.1	33462.51	10756.01	23877.82	32075.59	32371.11	47831.77	39545.27	27080.17	89678.09	84708.79	118589.69	25406.26	83688.81	33105.88	86005.33	86072.85	88458.67	98590.76	79841.75	17725.3	34672.7	23634.75	29955.09	18420.98	26930.93
2-Hydroxybutanoic Acid	57663.68	24646.88	21361.86	43178.47	38524.54	48826.07	34445.6	20686.47	89652.53	27707.76	69549.06	44379.22	87069.87	20817.72	27804.84	43918.7	69226.17	58587.35	42612.77	25095.78	65843.8	33678.5	35717.06	41876.22	39563.15	38027.03	24721.79	25974.14	24970.95	17027.42	52510.7	20487.18	25454.54	41633.8	48665.83	25134.75	73243.77	44923.39	14612.05	16448.0	49443.45	15866.96	51929.89	46226.53	43213.83	67508.21	20491.52	29056.08	12978.6	15303.78	12054.15	8361.26	17294.66	26815.08	27429.92	25265.48	15407.28	14550.02	17925.67	12831.1	13177.44	6356.05	12315.14	17322.66	17133.21	30687.47	16716.05	26197.72	71018.34
FFA(20:0)	27112.93	19914.06	56031.51	51837.99	45488.2	52000.05	37048.07	57667.74	25951.34	18109.74	5857.91	15668.3	17843.95	52306.58	27366.1	52815.51	23778.3	17762.87	19038.51	23907.94	24110.37	55515.47	26680.81	2200.92	46273.04	50805.93	62895.42	54689.03	34192.5	33542.75	40691.23	47510.22	1293.6	36207.23	35996.01	38861.61	63405.77	51514.96	61299.48	45031.26	2631.98	52033.29	44757.17	50738.92	97811.63	37824.09	48852.58	34205.99	74167.67	42280.8	42474.45	1267.65	50968.51	49975.98	43053.94	157145.21	49513.92	13039.86	51179.21	1888.5	41567.05	50938.31	81480.11	35960.72	28509.64	57020.64	78009.36	53273.23	40024.21
Cyclamic acid	741.67	51158.85	22297.17	127271.76	114965.43	17439.14	14184.11	12564.01	9024.29	13796.21	17638.92	13872.6	5574.36	20932.62	17478.29	20486.59	11646.09	8426.79	14694.13	6230.33	22867.32	16663.71	9926.28	7451.54	11276.76	24313.98	2801.99	18746.4	19340.03	23427.34	664.61	569.84	8159.8	10892.97	218439.66	14682.15	13330.33	2666.31	1326.62	2878.53	1055.09	921.59	12203.56	711.58	20794.91	17278.24	659.98	743.93	16269.14	4018.71	14432.22	1171.32	4144.26	16274.93	13338.2	1728.43	2541.73	35076.63	7158.17	1755.35	1749.52	15982.89	24608.29	21313.09	2278.19	14854.69	10354.96	13654.2	14886.21
N6-Succinyl Adenosine	4281.33	3393.02	2943.45	5296.24	6890.73	6305.96	6065.5	7975.05	5213.83	4257.88	9307.3	4457.89	4497.39	19597.73	6379.34	4157.74	5226.14	4977.54	4857.12	3456.02	4923.72	7519.75	8851.42	7158.58	3964.24	15737.98	10246.86	6203.63	3502.72	4348.33	6219.88	10318.4	5935.2	6354.72	5521.29	5226.22	6408.69	4001.14	18674.25	14635.54	12291.78	2882.26	12608.05	9213.49	14363.65	11018.89	2517.31	2777.12	5958.6	3867.85	6402.92	6894.81	3675.78	6173.78	4725.92	3247.46	3863.78	6833.0	4522.84	5710.46	8574.07	5830.23	10153.74	5638.95	3358.3	5831.67	4136.2	6945.78	4928.1
LTB4	371.21	499.25	1950.12	366.14	3175.26	323.35	625.01	299.72	290.38	328.92	3225.08	607.2	1456.25	1421.97	15575.02	2025.25	156.38	3385.31	447.84	366.54	773.11	8570.96	1472.85	4612.55	830.23	1618.5	970.26	2841.7	869.88	483.67	2454.06	791.46	577.7	551.66	1759.1	7195.44	441.99	1362.73	593.98	1271.3	503.92	1273.7	541.84	393.59	338.82	5053.0	754.2	235.96	392.5	3763.94	652.65	671.69	1107.71	1613.31	3229.82	507.09	1930.54	2826.14	696.42	3876.73	3708.16	3370.37	512.68	521.15	753.14	6158.86	1976.97	157.11	630.56
thromboxane B2	599.09	617.74	632.92	1167.62	880.71	475.93	2220.99	579.17	1066.72	306.14	5556.0	1699.72	771.87	1369.39	1312.33	1545.37	2269.23	1840.43	812.94	528.34	1134.39	1108.14	2651.96	933.28	1027.36	5561.33	521.62	550.22	1941.09	1016.56	1642.78	356.69	1060.04	894.84	1028.52	2121.3	606.3	686.69	462.55	936.1	728.95	447.96	932.24	414.31	691.9	508.73	2780.89	2897.85	4427.9	625.79	416.47	3580.07	4350.74	2635.54	984.21	589.96	818.6	7867.67	803.51	1012.38	615.49	744.51	686.24	4163.01	434.64	510.6	885.04	2314.31	826.68
