ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
Purine metabolism,5431.489,5153.536,5279.142,5851.572,5854.503,5619.395,5348.56999999999,5049.68599999999,5182.982,5661.512,5702.518,4591.334,4540.392,2285.565,5295.817,8900.901,5966.871,6845.576,5936.41599999999,3752.291,6178.58,5869.89300000001,4720.94199999999,5559.565,4520.112,4924.737,4910.57500000001,5069.599,5518.67299999998,5058.74399999999,5687.13799999999,5891.946,7986.734,6228.342,4515.014,4204.361,7734.427,5185.977,5357.313,5418.84200000001,5775.73699999999,5259.63899999999,6009.91200000001,7218.181,5261.204,5784.074,4784.404,4827.103,8973.383,5712.51399999999,5218.555,5362.85000000001,5613.796,6727.80800000001,5984.76,5793.777,5745.22300000001,5951.528,6575.00400000002,5247.64100000001,5170.073,6426.30700000001,6560.18999999999,5479.685,6257.552,5121.944,6266.23299999999,7298.291,7814.31099999999,4800.86499999999,5264.862,5095.66399999999,4494.114,5322.564,4845.582,5320.19400000001,5612.10100000001,5345.53500000001,6280.021,4926.469,5724.803,6488.098,5916.145,5897.55499999999
Pyrimidine metabolism,4735.982,4606.457,3808.487,4602.474,4810.844,3191.76,4064.302,4648.285,3951.253,4622.44399999999,4292.65900000001,4233.26699999999,4656.425,5332.223,4211.72200000001,4938.10399999999,4063.65,4635.229,4598.861,1946.56,4384.54900000001,4176.185,4354.355,4378.449,3699.933,4224.728,4964.281,3575.59800000001,4421.73799999999,4862.522,5114.739,4339.064,6390.12699999999,5730.996,4021.23,6151.573,6271.229,4187.92200000001,6766.50499999999,4674.853,4313.4,4880.89900000001,5427.887,5883.369,3921.863,5123.427,4054.753,4104.11,7223.319,4095.127,5025.128,4839.659,3530.568,5403.39199999999,4395.783,5089.252,3973.523,5033.586,4379.582,3858.912,3839.885,5244.868,5839.252,4109.82699999999,4589.396,4165.544,5488.26499999999,5538.712,5419.863,3594.789,5090.539,4792.638,3551.035,4097.986,4463.576,5768.533,3993.502,3933.026,4190.754,4037.125,4275.56499999999,4152.082,4465.183,5924.67799999999
Pyruvate metabolism,2989.243,3365.492,2996.917,3514.555,3595.567,2650.169,2852.641,3078.387,3008.702,2843.037,2864.651,2747.181,2843.799,1155.169,3524.369,3228.335,2573.388,3145.501,3032.087,1447.271,3334.962,3243.339,2970.888,3058.261,2950.929,3173.713,3300.226,2942.06999999999,3482.497,3883.627,3730.822,3072.959,4309.508,2950.987,2641.50099999999,1693.659,4037.056,3393.038,3147.914,3252.649,3290.83300000001,3334.553,3292.742,3419.688,3022.624,2631.418,3225.608,3444.76,3960.291,3303.345,3358.06,4177.807,2793.103,4016.426,2956.487,3490.095,2451.007,3723.204,3663.348,2619.14,2396.96,3729.432,3700.116,4000.551,3218.875,3243.521,3249.625,3870.365,2883.872,3397.018,3483.906,3475.511,2313.944,3419.642,3144.049,3919.125,3330.7,3003.127,3303.694,2891.526,3147.79,2896.556,3958.569,2760.282
Quorum sensing,6066.713,6547.653,5382.17899999999,5500.298,5166.267,5033.413,6209.673,5035.773,6998.97600000001,6190.83299999999,6958.498,3725.72,6057.884,2067.582,6486.80800000001,7517.72500000001,6145.761,5574.37499999999,4511.35,1900.847,6680.666,5765.548,6062.17000000001,6635.781,5054.444,5520.759,5945.65100000001,4490.96599999999,6660.86299999999,5587.837,4277.255,5921.391,6006.781,6285.93,5554.78500000001,2455.336,5124.479,6410.35,5415.099,6603.58500000001,5569.692,5680.343,6719.882,4295.908,5648.154,5597.791,6297.377,5705.515,6368.429,6479.45100000001,4578.836,6731.36500000001,5180.896,6356.174,6175.283,6969.313,6525.23199999999,5947.48900000001,7445.348,8330.776,5370.065,5652.663,5874.58,5746.346,6711.186,6334.174,6643.33099999999,6981.839,7624.30900000001,5866.58999999999,6008.648,6626.499,5582.646,6614.018,5915.32799999999,6715.23000000001,8032.38800000001,8042.18899999999,7532.08500000001,5588.26599999999,6415.486,7755.7,7365.861,7073.952
RIG-I-like receptor signaling pathway,0,2.593,0.832,3.554,4.866,3.678,0,0,0,0.04,0,0,0,0,0.168,0.411,0,0.188,0,25.294,0.445,0,0,0.29,0,0,0.034,0.083,18.449,0.162,0,0.385,7.628,0.215,0.326,0.023,0.445,0.262,0,0,1.833,0,9.189,0.806,1.816,0.042,0.081,0.076,0,7.248,0.111,0,1.357,0.22,4.157,2.21,0.345,0.055,43.234,0.092,0.041,2.443,4.685,0.216,1.047,2.254,1.088,18.61,0.038,2.353,6.213,5.015,0.137,5.263,0.045,0.042,0,1.086,55.542,0.36,20.339,0,14.439,0
RNA degradation,1623.053,1704.712,1740.333,1865.634,1696.023,1604.458,1591.562,1617.417,1793.342,1554.277,1733.161,1484.154,1514.819,501.605,1764.65,1632.225,1438.902,1790.437,1156.451,522.589,1606.949,1733.896,1657.579,1666.59,1547.562,1726.518,1811.974,1475.545,1849.93,1845.032,1610.416,1850.915,1486.426,1873.28,1660.939,692.979999999999,1380.08,1784.795,1852.638,1850.878,1755.198,1855.998,1579.454,1938.584,1675.859,1747.514,1864.407,1835.778,3075.797,1663.812,1808.869,2054.266,1647.088,1563.31,1615.773,1747.026,1471.09,1869.05,1740.616,1562.976,1378.92,2108.141,1892.738,1998.388,1856.796,1863.483,1785.063,2308.365,1781.831,2050.872,1507.967,1687.837,1620.079,1752.346,1644.395,1969.575,1944.663,1701.06,1561.621,1648.54,1461.163,1873.676,1829.31,1861.189
RNA polymerase,558.833,464.472,424.75,536.1,375.386,716.018,369.256,476.895,426.228,640.503,502.425,404.005,410.906,222.337,480.497,594.671999999999,489.917,904.858999999999,524.636,994.349000000001,554.367,616.029,479.887,560.502,493.913,418.045,464.331,334.276,621.799,425.311,429.577,676.362000000001,723.839,670.234,419.438,532.255,717.979,514.306,516.93,446.801,649.418,618.921,670.706,1169.273,626.618,1378.778,404.822,335.026,977.21,428.598,363.176,486.997,500.873,713.170000000001,573.169,538.342,494.021,647.97,528.178,423.594,530.327,486.008,356.192,660.399,535.128,445.91,702.810999999999,468.509,882.305,762.443,555.589,504.927,464.648,484.08,455.236,382.398,559.259,435.87,558.924,582.125,457.341,375.948,541.588,750.765
Rap1 signaling pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ras signaling pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0
Regulation of actin cytoskeleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0
