ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_timonense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_curtisii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,3310014,19135318,3349032,2091380,832687,1504304,27223619,137490,40495728,818004,4979022,30118909,1941466,10854818,622856,3689128,3882739,4742448,15657978,1262430,9877465,791495,1481066,586978,1637,3129836,151448,25078670,6997890,3224985,499564,1375588,342078,5536162,6848142,283106,4488282,4253838,8809839,7272931,2632881,3235959,577403,1146362,2365167,2167402,802543,4518818,448533,623024,76828,370064,8814741,884767,221524,30273,9131144,7821,3493537,399928,231796,47928,5103837,3731794,671071,5337279,1837957,1279374,8296897,13900904,7954108,4943737,13668883,14232823,697171,944794,0,891170,2234370,1763624,891863,384303,1676564,1930269
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,3310014,19135318,3349032,2091380,832687,1504304,27223619,137490,40495728,818004,4979022,30118909,1941466,10854818,622856,3689128,3882739,4742448,15657978,1262430,9877465,791495,1481066,586978,1637,3129836,151448,25078670,6997890,3224985,499564,1375588,342078,5536162,6848142,283106,4488282,4253838,8809839,7272931,2632881,3235959,577403,1146362,2365167,2167402,802543,4518818,448533,623024,76828,370064,8814741,884767,221524,30273,9131144,7821,3493537,399928,231796,47928,5103837,3731794,671071,5337279,1837957,1279374,8296897,13900904,7954108,4943737,13668883,14232823,697171,944794,0,891170,2234370,1763624,891863,384303,1676564,1930269
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,6517,0,0,0,513,26683,0,0,0,0,0,0,0,0,802,0,0,0,8250,0,0,0,0,0,2354,5142,0,0,3435,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,6517,0,0,0,513,26683,0,0,0,0,0,0,0,0,802,0,0,0,8250,0,0,0,0,0,2354,5142,0,0,3435,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,3310014,19135318,3349032,2091380,832687,1504304,27223619,137490,40495728,818004,4979022,30118909,1941466,10854818,622856,3689128,3882739,4742448,15657978,1260690,9876723,789992,1481066,586978,1637,3123560,151448,25078670,6997890,3224985,499564,1374239,342078,5536162,6848142,282576,4488282,4253334,8809549,7272931,2629730,3235959,577105,1145301,2364253,2166011,798875,4518818,448385,623024,76828,370064,8814741,884767,215007,30273,9131120,7821,3493024,373245,231796,47928,5103837,3731794,671071,5333431,1837957,1279374,8296095,13899829,7954108,4943737,13660633,14232823,697171,944794,0,891170,2232016,1757196,891863,384303,1673129,1930269
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,3202843,0,2187321,0,0,0,22732265,137490,31444404,385773,1026685,22036338,0,0,0,148,0,4275191,0,0,8133151,0,0,240685,0,0,0,18766485,5800614,109827,8875,0,142702,0,0,89234,2405628,1923868,0,0,1070010,1466658,299682,1034824,0,0,119053,2903762,0,0,28768,0,4160137,0,0,0,0,0,0,265947,0,0,4502600,0,0,0,0,13647,1990573,0,7165430,0,10205629,0,0,0,0,0,170349,1424270,153416,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760,1394716,0,0,0,0,0,0,0,0,0,0,0
