ID,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,MI14,MI15,MI16,MI17,MI18,MI19,MI20,MI21,MI22,MI23,MI24,MI25,MI26,MI27,MI28,MI29,MI31,MI32,MI33,MI34,MI35,MI36,MI37,MI38
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_timonense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__Mobiluncus_curtisii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,6517,0,0,0,513,26683,0,0,0,0,0,0,0,0,802,0,0,0,8250,0,0,0,0,0,2354,5142,0,0,3435,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,3202843,0,2187321,0,0,0,22732265,137490,31444404,385773,1026685,22036338,0,0,0,148,0,4275191,0,0,8133151,0,0,240685,0,0,0,18766485,5800614,109827,8875,0,142702,0,0,89234,2405628,1923868,0,0,1070010,1466658,299682,1034824,0,0,119053,2903762,0,0,28768,0,4160137,0,0,0,0,0,0,265947,0,0,4502600,0,0,0,0,13647,1990573,0,7165430,0,10205629,0,0,0,0,0,170349,1424270,153416,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3760,1394716,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0,0,4433,21081,0,0,1037042,0,0,0,511379,0,1846473,111377,0,3688980,0,0,4263766,0,520211,0,0,325736,0,0,0,0,0,659318,0,0,0,1002007,0,1957,1085620,1068592,0,0,0,0,0,0,0,0,0,0,0,230248,0,0,1384747,0,0,1595,0,0,2168739,0,0,0,7361,0,0,2617116,0,0,5038355,3120003,0,0,0,1110165,0,0,0,0,675980,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,0,0,0,0,0,111293,1744344,0,0,0,0,0,0,6162056,0,0,0,0,0,1260690,0,0,0,0,0,0,0,0,0,7816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0,0,0,0,0,0,0,0,0,0,0,0,0,19936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,45293,0,0,23119,0,56097,935,0,0,1913,0,0,0,0,0,0,128756,0,32442,0,0,429,0,0,0,4814,0,0,1720,975176,0,75720,1046,7274,0,0,0,0,3560,0,4737,2883,109541,5696,0,93119,588899,0,0,0,0,159150,460,0,0,1810,44889,7821,1810,44231,27241,0,0,0,0,644637,128,0,388,43124,0,0,337,0,0,0,0,0,0,0,26369,0,338667,5220
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum,0,0,0,0,0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,32089,17906854,528844,203823,832687,1288446,1292607,0,9051324,204024,1581880,7459226,94993,3980523,396347,0,2275082,466441,3556232,0,790174,454759,533339,16559,0,3118746,126427,6312185,502072,803001,46298,499189,64920,1038238,1663946,189141,455346,1001016,8805989,1806666,282381,1478429,167882,104781,2364253,1579832,58944,1615056,262185,132264,25300,77660,1114612,884767,88180,19404,9086231,0,644444,59610,183852,47928,242148,3731794,62863,1730436,1837829,1197889,1266779,820101,788678,1682504,1276433,365993,697171,487127,0,132042,1271849,332926,126879,261631,1326525,223633
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,29789,1228464,628434,1843357,0,0,416426,0,0,226294,1859078,623345,0,580926,226509,0,1478901,816,7805538,0,433187,334804,885350,3998,0,0,25021,0,693484,669847,444391,799330,133410,3488643,5184196,2244,541688,259858,0,5466265,1272602,287989,0,0,0,493060,31979,0,186200,260512,22760,133254,2154785,0,126827,7464,0,0,678031,3457,20703,0,351728,0,608208,341242,0,67838,0,9916601,0,3257473,783518,12756665,0,457667,0,759128,113838,0,585199,122672,7937,1701416
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pullorum,0,0,0,0,0,47789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
