ID	MI35	MI33	MI32	MI38	MI36	MI34	MI37	MI27	MI28	MI29	MI31	MI17	MI21	MI20	MI24	MI23	MI26	MI19	MI18	MI15	MI25	MI22	MI14	MI16	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47
CON16__68982	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	799	111407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51565	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON16__70252	26	0	0	0	0	0	2	0	0	0	0	0	27	0	12	0	0	0	6	0	0	31	12	0	0	1	2	0	0	20	0	196	0	0	6	201	0	56	4	0	0	0	0	0	16	0	0	0	0	1	0	1	972	0	1	0	0	45	0	0	0	0	0	2	0	0	0	0	0	79	0	0	1	9	0	0	2	40	0	0	0	0	0	16
CON16__72310	0	0	0	0	0	0	0	0	0	145	0	0	46	0	0	0	0	0	14	0	0	0	1	45	0	3	0	0	288	0	0	174	0	0	973	5	0	5	0	25	0	75	0	0	121	0	0	0	0	0	0	0	2149	0	0	0	0	0	1	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON16__8399	531	465	18	274	19	0	4	175	1378	11	527	31	58	53	4778	18361	5086	19	507	16	1222	29	1469	73	441	69	7852	9	474	67	0	80	1674	0	359	138	46	556	1276	62	1482	543	8119	0	1979	0	710	117	6	37	3	7	6586	0	24406	85	1	64	2976	236	282	0	437	2429	290	32	714	127	83	3131	62	5	3012	200	2769	18	168	28	357	1821	16	21	11	118
CON16__9635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CON17__14047	9	0	0	226	0	0	0	0	10	0	0	0	0	920	0	0	10	0	3	0	0	0	218	6	10	0	6	0	0	0	0	10	1	0	4	0	0	8	3	0	2	0	0	0	1	0	0	0	0	0	0	0	1	5703	0	0	0	2	1	0	3	0	0	0	0	0	3	0	0	43	0	2	0	0	0	0	0	0	5	0	0	0	0	5
CON17__23029	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	264	0	3	0	51	60	0	4	0	0	0	4	1	0	0	0	1	8	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	214	0	44	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	1	0	19	0	0	0	11	12	0
CON17__34470	0	0	0	0	0	0	0	0	0	4	0	0	0	13	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	379	0	46	901	0	0	0	0	10	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
CON17__38145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0	0	333	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153
CON17__3848	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	181	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	79
CON17__51038	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2438	0	31	14	89	209	1	6	0	0	0	27	15	0	0	0	5	27	0	0	9	0	0	0	1	20	0	0	4	0	4	0	0	0	36	0	1465	4	23	0	0	0	0	0	0	0	5	0	0	0	26	0	4	0	0	3	0	0	4	0	92	0	0	0	34	27	0
CON18__101000	588	345	23	46	36	0	59	168	135	120	125	0	356	114	938	265	1386	1	376	0	117	461	83	212	382	36	191	22	255	35	4	391	60	10	214	72	144	211	97	113	283	438	35	2	128	72	186	255	0	158	5	77	376	827	321	31	25	126	250	15	104	0	0	74	73	66	137	359	150	190	67	37	400	177	70	0	441	499	124	157	52	2	255	115
CON18__27668	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	2171	0	0	0	0	20	0	0	0	0	0	2	0	0	203	0	0	0	12	0	121	2	0	7	0	0	0	0	0	0	0	1219	0	0	1	2	0	0	0	0	0	0	21	0	0	0	0	0	2	86	0	0	0	0	0	0	2	1	0	0	0
CON18__55516	256	0	0	92	0	0	0	0	299	567	48	0	0	239	74	0	0	0	0	0	0	1	37	0	0	0	11	0	611	0	0	1	0	0	64	0	0	0	0	189	0	0	0	0	528	0	186	160	0	0	0	0	0	0	281	288	0	0	1	14	0	0	0	684	0	0	0	0	0	669	0	0	0	481	0	3	0	0	0	282	16	0	0	0
CON18__63097	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	44	0	16	0	49	0	7	22	0	0	0	65	0	0	4	0	6	39	0	0	11	0	0	0	0	5	1	18	16	6	14	105	0	0	47	0	34	277	0	0	0	0	0	0	0	1	17	0	2	0	318	0	0	19	0	4	0	0	5	0	4	0	3	0	0	69	0
CON18__73663	203	1194	0	3	0	0	116	32	0	0	1	0	223	16	73	0	0	0	55	0	17	353	50	90	21	91	139	0	311	21	0	131	16	0	942	21	80	0	10	84	140	2	0	0	20	0	17	0	0	263	0	58	30	0	3713	0	0	95	0	1	51	0	0	410	2	0	29	0	35	2	0	9	18	64	1	0	0	2	0	133	0	0	19	21
CON18__80773	36	2	14	50	0	0	1	19	0	0	4	0	339	3	139	0	3	0	59	0	0	22	165	12	1	0	27	2	182	13	0	62	0	0	14	98	7	1255	0	29	0	31	0	0	90	2	5	6	0	94	0	13	49	0	2956	0	0	95	13	0	2	0	0	118	3	20	0	0	2	71	0	4	0	20	23	1	4	1	0	9	2	0	3	1
CON18__8368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	29	0	21	10	25	95	0	32	0	0	0	51	2	0	2	0	2	48	0	0	0	0	0	0	0	0	3	14	102	0	3	0	0	0	52	0	21	610	5	0	0	0	0	2	0	0	64	0	21	0	151	0	0	9	0	7	0	0	8	0	2	0	13	1	0	54	2
