feature	泉古菌门..Crenarchaeota.	衣原体门..Chlamydiae.	厚壁菌门..Firmicutes.	变形菌门..Proteobacteria.	拟杆菌门..Bacteroidota.	放线菌门..Actinobacteria.	蓝藻门..Cyanobacteria.	广古菌门..Euryarchaeota.
CON3	-1.25146459601081	-1.9813853865157	-2.76239330941849	-3.03101842447479	-4.58957675373217	-6.37140917599595	-8.22780440455351	-13.943646707154
CON4	-1.32205323305747	-1.9802007321431	-2.42390867078131	-3.27832760219458	-4.47736975681431	-6.60940826967395	-9.4326980150289	-10.7524871991599
CON5	-1.13183301879105	-2.38020181746667	-2.10623876452523	-3.64428777187381	-5.74508530228059	-7.43267944430229	-6.16364223200279	-10.0072276788878
CON6	-1.0933190344117	-2.33853197895779	-1.99569137595073	-3.68822584811633	-10.6936407926021	-8.11207915733396	-9.87654419615915	-21.7924153908892
CON7	-1.71504021775251	-1.2771480556455	-4.82491663757884	-2.53006770426919	-9.00112146347892	-3.88359532678558	-9.98983738676939	-8.07986457870019
CON8	-1.35178847588126	-1.89092714782648	-2.66180924297093	-2.92730895957793	-5.65062004081826	-5.79415589787641	-6.48832345365347	-16.1928995898146
CON9	-1.72779080754705	-2.38781552721871	-3.51082608938691	-3.50440583290619	-11.5784963655259	-1.60240913481556	-9.38337521125701	-15.8203365490906
CON10	-1.50937422523108	-1.6429566874495	-2.55724822839174	-3.25436863213377	-4.67217513491056	-7.47379625110497	-6.82772816683681	-12.3469789712177
CON11	-1.16706833986001	-1.97218606742057	-3.22127559338248	-3.1494294947727	-3.9904817192837	-6.19740172927666	-8.22757630579389	-17.7264255123256
CON12	-1.10462226586937	-2.65658253462951	-2.28229167828754	-3.02474134149241	-5.66219554107801	-5.31429872427312	-8.35597608574052	-18.1729597089959
CON13	-1.18799163241898	-1.81513763261924	-2.9139263772087	-3.19578775271067	-5.62280488086508	-6.47060355656062	-8.22389163291632	-12.4964385042257
