feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
HF22__41184	Group	MI	-2.15320711239605	0.865080584418936	84	58	0.0148322286194113	0.371158863785744
MI12__72514	Group	MI	1.22446890283267	0.490376222032634	84	18	0.0145263556373301	0.371158863785744
CON8__3557	Group	MI	-1.25632111180533	0.511757847525345	84	80	0.0162069540008583	0.395791587617991
HF19__12654	Group	MI	-1.98351745460549	0.816572617838254	84	38	0.0173229429404639	0.395791587617991
MI12__81309	Group	MI	1.93657815298577	0.796849358482685	84	30	0.01726886002954	0.395791587617991
MI3__114035	Group	MI	1.92645251194973	0.788328973717753	84	26	0.016682439697905	0.395791587617991
HF24__54761	Group	MI	-1.48881238310708	0.62485384099336	84	27	0.0195014708442572	0.430626484616928
HF38__2107	Group	MI	-1.10106236054795	0.462763304244601	84	27	0.0196670516285562	0.430626484616928
MI8__76034	Group	MI	1.60243541603368	0.684941008480964	84	34	0.0217408363368536	0.466318754898635
CON19__26976	Group	MI	-1.86454102692079	0.808117107196408	84	69	0.0235615867547005	0.467230710928117
HF37__44609	Group	MI	1.44947319942033	0.626345563366172	84	42	0.0231606431345043	0.467230710928117
HF9__167	Group	MI	1.02808005637972	0.441233852167839	84	26	0.0222642921408492	0.467230710928117
MI19__49351	Group	MI	1.51693143219984	0.656004292621123	84	59	0.0232642015965448	0.467230710928117
HF9__8746	Group	MI	1.22536643677991	0.534234790935137	84	29	0.0243676092087209	0.47426587552529
CON20__8042	Group	MI	1.64129417335236	0.729497985885364	84	67	0.0271346724955713	0.502833251599321
MI10__13378	Group	MI	1.93905313198603	0.863673772985287	84	42	0.0274523847940244	0.502833251599321
MI13__108308	Group	MI	1.33563524498679	0.59746223084168	84	47	0.0281018305854024	0.502833251599321
MI26__10237	Group	MI	-1.57382677201991	0.706782157573428	84	54	0.0287059896250802	0.502833251599321
MI38__73232	Group	MI	0.988477901314951	0.443355672940286	84	26	0.0285126120973184	0.502833251599321
MI8__127853	Group	MI	2.00900765670388	0.89291645577873	84	45	0.0271317790042422	0.502833251599321
HF3__71833	Group	MI	1.57016691064242	0.714959111845723	84	74	0.0309044535656572	0.532468536024684
CON6__11618	Group	MI	-0.873438039014131	0.402145437344462	84	84	0.0327481985233526	0.536879210870793
CON6__20144	Group	MI	1.45443353142943	0.677284409915621	84	56	0.0347100773321286	0.536879210870793
HF33__41577	Group	MI	1.55536440334781	0.719733151464004	84	64	0.0336101871915612	0.536879210870793
HF48__31437	Group	MI	1.27663788397591	0.591036943878996	84	64	0.0336927305356516	0.536879210870793
MI11__131268	Group	MI	0.831416492241936	0.387222191394876	84	15	0.03473623819145	0.536879210870793
MI19__6784	Group	MI	1.311945730555	0.601460552849456	84	31	0.0320275237910204	0.536879210870793
MI2__12597	Group	MI	-1.34532283215971	0.623532069789899	84	40	0.0338863047599161	0.536879210870793
HF46__39087	Group	MI	-1.74348708519211	0.816670740066161	84	53	0.0357564940193408	0.544638771222133
CON19__33387	Group	MI	-1.60726975493771	0.758982873407826	84	47	0.0372325811224511	0.551147081122481
MI2__81543	Group	MI	1.81903598753166	0.856749816039012	84	53	0.0367534916671277	0.551147081122481
CON26__36901	Group	MI	1.38782039141122	0.657679077981124	84	83	0.0378908333030233	0.553100913909409
CON31__9584	Group	MI	-1.4195476876645	0.684419261582522	84	37	0.0412082501671698	0.585297781893385
MI37__24379	Group	MI	1.2389326469017	0.597343937148636	84	25	0.0412103100476789	0.585297781893385
HF39__7688	Group	MI	1.2267873913311	0.596659558257475	84	23	0.0429543937311271	0.601208571116383
MI13__94232	Group	MI	2.07265798480056	1.01063252913573	84	38	0.04347464453363	0.601208571116383
MI19__7321	Group	MI	1.71974986994869	0.840953170081273	84	49	0.0440619458609958	0.601416949349436
HF20__71797	Group	MI	1.78160921531254	0.895444460017467	84	54	0.0499642142038002	0.61779281327287
HF27__93109	Group	MI	0.402085727295031	0.198617750328915	84	13	0.0461820900232054	0.61779281327287
HF2__102754	Group	MI	0.747963021186838	0.373006500563314	84	28	0.0482374016888667	0.61779281327287
HF3__44950	Group	MI	1.17566257338075	0.590640319354555	84	24	0.049868569844171	0.61779281327287
HF47__61033	Group	MI	2.00065030413719	1.00194483389211	84	62	0.0491680598749213	0.61779281327287
MI10__13245	Group	MI	1.12703709980386	0.565964978880458	84	36	0.0497713736327523	0.61779281327287
MI15__6069	Group	MI	-1.3510996005313	0.676730464063152	84	25	0.0491964829304999	0.61779281327287
MI37__40529	Group	MI	1.50115706249217	0.743082191378099	84	23	0.046629958209196	0.61779281327287
CON31__37496	Group	MI	-0.747798854664999	0.378499940548072	84	11	0.0515532682890671	0.630028895021041
CON12__7482	Group	MI	-0.718029450984564	0.365934879490836	84	12	0.0531338282913771	0.641881075106176
HF7__74943	Group	MI	1.56209302783808	0.800635919734481	84	55	0.0544644091056128	0.650478340568171
HF17__64840	Group	MI	1.14670550203314	0.594712068948455	84	41	0.0572952548889792	0.664114909338278
HF37__19724	Group	MI	1.25852375347751	0.651186071675715	84	78	0.0567299217344297	0.664114909338278
MI25__38002	Group	MI	0.893518138206962	0.464272479704032	84	16	0.0577532480316948	0.664114909338278
MI37__9456	Group	MI	1.30738306314145	0.680371782506625	84	60	0.0581337503892689	0.664114909338278
CON34__1623	Group	MI	-0.372587255792784	0.19489650431777	84	84	0.0594052889055924	0.664201687657209
HF25__42038	Group	MI	-0.981056465401996	0.513070179197887	84	23	0.0593518257511206	0.664201687657209
CON8__118594	Group	MI	-1.47285385915523	0.777192623651559	84	69	0.061603816521346	0.678962804910354
MI22__69577	Group	MI	0.709319204293551	0.374899903359883	84	10	0.0620175349870542	0.678962804910354
CON22__64406	Group	MI	1.32154405099606	0.711089361278085	84	74	0.0666892834158524	0.68716114578491
CON35__4200	Group	MI	1.75831797211513	0.944255583211648	84	49	0.0661680911514521	0.68716114578491
HF16__4312	Group	MI	-1.04586358400458	0.558499540628247	84	73	0.0646834013007954	0.68716114578491
HF20__70910	Group	MI	1.2256743199805	0.657957410638138	84	70	0.0660645253659825	0.68716114578491
HF41__61688	Group	MI	1.48607905745958	0.794002307563726	84	56	0.0648235032976035	0.68716114578491
HF43__40469	Group	MI	-1.10242181734941	0.586366653548226	84	81	0.0636468713640019	0.68716114578491
CON31__31246	Group	MI	-1.24678015135929	0.677335029105975	84	29	0.0692805485226265	0.689924882416958
HF10__24733	Group	MI	1.01348649904436	0.555155647921921	84	79	0.0715526281479052	0.689924882416958
HF12__35740	Group	MI	-1.06834984147029	0.581063010409643	84	15	0.0695925803575072	0.689924882416958
HF31__47974	Group	MI	1.11918789665683	0.605987545233742	84	64	0.0683713470108149	0.689924882416958
MI11__14577	Group	MI	1.27732281848237	0.699238392364399	84	40	0.0713785344363744	0.689924882416958
MI14__129161	Group	MI	1.02793853927492	0.557714207946584	84	28	0.0689235973772001	0.689924882416958
MI8__19506	Group	MI	1.63588348245238	0.895919424785278	84	45	0.0715013023600581	0.689924882416958
CON2__9349	Group	MI	-1.10764898759455	0.612992652478076	84	15	0.0744375476397982	0.693426929286976
CON31__541	Group	MI	-1.2254091967268	0.673711722127626	84	42	0.0725784332934545	0.693426929286976
HF7__34717	Group	MI	-1.1644566567102	0.646400557636831	84	81	0.0753081032632267	0.693426929286976
MI10__14267	Group	MI	1.10141909686773	0.612616330277073	84	50	0.0758744974957204	0.693426929286976
MI13__27956	Group	MI	0.863961061295921	0.478930658444826	84	12	0.0749133084342358	0.693426929286976
MI33__79775	Group	MI	1.07961155556155	0.595112250526157	84	34	0.0733151743778728	0.693426929286976
HF36__40973	Group	MI	0.657246883191872	0.367643858929081	84	19	0.0775144642031056	0.695790006729489
HF42__22443	Group	MI	-0.572055132129538	0.320654486476235	84	84	0.0781191444282394	0.695790006729489
MI16__5795	Group	MI	1.51433538479332	0.848450845878399	84	53	0.077988123697491	0.695790006729489
CON40__4915	Group	MI	-0.825518116006162	0.464211921169409	84	9	0.0790577092504622	0.698232373296099
CON13__58723	Group	MI	-1.23785310020478	0.698595853897244	84	74	0.0801232715672987	0.701746320143591
CON1__111530	Group	MI	1.4405314896147	0.827535966312693	84	41	0.0854787608884734	0.702265431475752
HF19__17925	Group	MI	-0.849526773136155	0.485232441182267	84	22	0.0837267335504798	0.702265431475752
HF28__26590	Group	MI	-0.739254633226759	0.422745873625539	84	9	0.0840855669330117	0.702265431475752
HF3__87587	Group	MI	-0.837429291522161	0.47877703187723	84	11	0.084015380098286	0.702265431475752
MI13__75706	Group	MI	1.51369158865644	0.859419795926665	84	40	0.0819162065030096	0.702265431475752
