feature	Ascoviridae	Autographiviridae	Demerecviridae	Herelleviridae	Inoviridae	Mimiviridae	Myoviridae	Phycodnaviridae	Podoviridae	Rountreeviridae	Schitoviridae	Siphoviridae
MI11	-10.8724669092394	-10.9589210327573	-10.9586761097083	-9.40999951490883	-10.9727193991098	-10.7420702719837	-3.88862326214673	-10.5601666633944	-0.177221196045518	-7.31475678122895	-10.8833375542811	-4.63207801343775
MI12	-10.8724669092394	-7.58017013663317	-10.9586761097083	-10.6871943099168	-10.9727193991098	-10.7420702719837	-5.71031846013626	-10.5601666633944	-0.0645414836670073	-8.98824592846296	-10.8833375542811	-5.84009082767125
MI13	-10.8724669092394	-10.9589210327573	-10.9586761097083	-10.6871943099168	-7.64783225470874	-10.7420702719837	-0.666804913572756	-10.5601666633944	-4.03398152521982	-9.02950364204554	-10.8833375542811	-1.72663953645545
MI14	-10.8724669092394	-10.9589210327573	-10.9586761097083	-10.6871943099168	-10.9727193991098	-10.7420702719837	-5.9867073307745	-10.5601666633944	-0.0380146981368969	-10.640488727561	-10.8833375542811	-6.61020075351689
MI15	-10.8724669092394	-10.9589210327573	-10.9586761097083	-5.03329116667643	-10.9727193991098	-10.7420702719837	-4.15991894677236	-10.5601666633944	-7.75833622562555	-10.640488727561	-10.8833375542811	-0.137803231302495
MI16	-10.8724669092394	-10.9589210327573	-10.9586761097083	-8.67391172909844	-10.9727193991098	-10.7420702719837	-5.86682519045541	-10.5601666633944	-0.0628292804877254	-9.64048872756099	-10.8833375542811	-5.52099315296182
MI17	-10.8724669092394	-8.99436503031148	-10.9586761097083	-6.63623629370855	-8.81136020182518	-10.7420702719837	-1.08172105455438	-10.5601666633944	-4.12177844883287	-9.40154041181735	-9.50724985298847	-1.14241123512828
MI18	-10.8724669092394	-10.9589210327573	-10.9586761097083	-9.68719430991676	-8.37053940430257	-10.7420702719837	-0.729909350161464	-10.5601666633944	-2.36028043561325	-10.640488727561	-10.8833375542811	-2.33591442556291
MI19	-10.8724669092394	-5.63905315911069	-10.9586761097083	-6.68580141830216	-10.9727193991098	-7.40180277904712	-1.87392844402541	-9.50472109199269	-4.27076391902332	-7.58300584894075	-6.18890180668797	-0.691120531180408
MI20	-10.8724669092394	-10.9589210327573	-10.9586761097083	-10.6871943099168	-10.9727193991098	-10.7420702719837	-6.86455138887432	-10.5601666633944	-0.0224723207838355	-10.640488727561	-10.8833375542811	-7.1845464004041
MI21	-10.8724669092394	-10.9589210327573	-10.9586761097083	-5.94746596476765	-10.9727193991098	-10.7420702719837	-1.02486574779797	-10.5601666633944	-1.66147356588454	-8.51337012967313	-10.8833375542811	-2.52710254291124
MI22	-10.8724669092394	-10.9589210327573	-8.46213568275027	-5.19570270045461	-10.9727193991098	-8.60509363659231	-1.24424655241265	-10.5601666633944	-2.44816786457822	-6.28316554170495	-9.19005613731347	-1.52538664328629
MI23	-10.8724669092394	-7.26285048412222	-10.9586761097083	-5.32337401049742	-10.9727193991098	-10.7420702719837	-2.70654541509318	-6.61215018615946	-1.17984545373421	-7.02611703971875	-6.86430110763195	-1.52515994131683
MI24	-10.8724669092394	-10.9589210327573	-10.9586761097083	-5.97938604802124	-10.9727193991098	-10.7420702719837	-0.766632556231967	-10.5601666633944	-7.45284894290123	-7.09679658429659	-9.87473082322213	-1.38728397169194
MI25	-10.8724669092394	-10.9589210327573	-10.9586761097083	-9.03972036502789	-10.9727193991098	-10.7420702719837	-2.46694082727912	-10.5601666633944	-0.49957548938492	-9.069657649182	-10.8833375542811	-3.21023307670701
MI26	-10.8724669092394	-9.41123221174777	-10.9586761097083	-10.6871943099168	-10.9727193991098	-9.71664521985212	-4.29968467634182	-10.5601666633944	-0.268973971689545	-8.67047503841919	-9.0741972244702	-3.15396844517138
MI27	-10.8724669092394	-10.9589210327573	-2.21376107059969	-7.52773408641259	-9.85293731333281	-10.7420702719837	-1.33750625847589	-9.03624452669587	-2.48701259049077	-3.75442664518266	-10.8833375542811	-2.96751824802711
MI28	-9.59861085469642	-8.87614483022533	-10.9586761097083	-5.21836626421824	-10.9727193991098	-10.7420702719837	-0.597132286652184	-10.5601666633944	-5.29848713012741	-5.70379309138848	-9.30582910546858	-1.92972587043018
MI29	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.69048966536095	-10.9727193991098	-10.7420702719837	-6.22428398120082	-10.5601666633944	-0.0590631194935952	-8.95588463082837	-10.8833375542811	-5.65234314217379
MI31	-9.72764092962569	-7.99273780191638	-10.9586761097083	-7.35907210961954	-10.9727193991098	-10.7420702719837	-1.01079697660921	-10.5601666633944	-6.62570276585947	-2.25922052776114	-7.74057998533319	-1.89515774773536
MI32	-9.47154268885885	-6.85044640208398	-7.24691179532641	-5.42905060674477	-9.6731765500285	-10.7420702719837	-2.00713012061971	-10.5601666633944	-4.82643252678364	-6.70508579798325	-6.62006521356894	-0.610118586405015
MI33	-10.8724669092394	-8.76493748076103	-8.30985526258679	-6.49951648209036	-10.9727193991098	-10.7420702719837	-0.72736325511049	-9.34513073733432	-5.84473253187163	-8.12682527352111	-8.80366987524975	-1.49517605448748
MI34	-10.8724669092394	-6.64910039181466	-10.9586761097083	-3.96543638642439	-10.9727193991098	-10.7420702719837	-1.46947889176198	-9.56016666339437	-4.2707491481999	-7.30894155985021	-6.61612306936839	-1.01369155503162
MI35	-10.8724669092394	-7.29965117460053	-7.22296817210343	-6.50927235726007	-10.9727193991098	-8.10879715218412	-2.49434335475356	-10.5601666633944	-0.999363911098175	-7.5280224484264	-7.35809744698409	-1.8203422894103
MI36	-10.8724669092394	-10.9589210327573	-10.9586761097083	-7.75438844033774	-9.13444058166725	-10.7420702719837	-0.836925606047194	-10.5601666633944	-3.8794644839808	-8.99329848085397	-10.8833375542811	-1.45860113257502
MI37	-9.63232881129686	-7.9467623696373	-7.36929440546306	-4.75622119798496	-10.9727193991098	-10.7420702719837	-1.99594586845557	-10.5601666633944	-5.03738222200308	-7.49482528754692	-7.15551511443132	-0.604008306739382
MI38	-10.8724669092394	-9.01822034127964	-10.9586761097083	-6.79135444336389	-10.9727193991098	-10.7420702719837	-1.35236952525575	-10.5601666633944	-1.33425950253331	-6.50469297860144	-9.03928195680747	-2.41206997074981
