"","Shannon","Simpson","InvSimpson","Group"
"MI4",3.3426057583201,0.939153465232024,16.4347896525788,"MI"
"MI5",3.78477356195477,0.951437894947989,20.5921880636967,"MI"
"MI6",3.45066544412316,0.950725733928039,20.2945691477085,"MI"
"MI7",3.60404357264169,0.953047940307332,21.2983201705241,"MI"
"MI8",3.88171651047013,0.955771226500996,22.6097158227218,"MI"
"MI9",3.40868532696125,0.942289960030471,17.3280074061291,"MI"
"MI10",3.33020130551182,0.944036452302093,17.8687742492315,"MI"
"MI11",3.56073018371244,0.944267485307935,17.9428472862785,"MI"
"MI12",3.84782027369602,0.960439543223333,25.277766777198,"MI"
"MI13",3.6033871673139,0.951743955954594,20.7227927564692,"MI"
"MI14",3.4026248415507,0.933021997269529,14.9302750042301,"MI"
"MI15",2.34339836542047,0.879255618194987,8.28195883776088,"MI"
"MI16",3.41647806174196,0.944159891307118,17.9082745970277,"MI"
"MI17",3.50701141464163,0.949793834288872,19.917872353641,"MI"
"MI18",3.39268909264191,0.943637850908196,17.7424036541114,"MI"
"MI19",3.50053042463192,0.949706591725033,19.8833213794689,"MI"
"MI20",3.25067608592261,0.937924191569117,16.109335106178,"MI"
"MI21",3.53259522988904,0.944903759699642,18.1500587798458,"MI"
"MI22",3.56781920918876,0.95085749573902,20.3489833299767,"MI"
"MI23",3.19557275357876,0.941300895847499,17.0360351224779,"MI"
"MI24",3.49322541266322,0.948066339639994,19.2553344606939,"MI"
"MI25",3.55776213704752,0.951853829537404,20.7700839005854,"MI"
"MI26",3.27231647499208,0.939595432357619,16.5550394453677,"MI"
"MI27",3.18803191153726,0.928880929009562,14.0609260789479,"MI"
"MI28",3.24775142471907,0.928785039457397,14.0419933168645,"MI"
"MI29",3.60844225321972,0.948179921764286,19.2975393717334,"MI"
"MI30",2.41662766784244,0.893382193903846,9.3792963541019,"MI"
"MI31",3.326047204582,0.938937333583866,16.3766186229919,"MI"
"MI32",3.58747860774586,0.948590791113723,19.4517679159801,"MI"
"MI33",3.76178541489581,0.951744181666924,20.7228896855028,"MI"
"MI34",3.40803081472162,0.944895607103515,18.147373511192,"MI"
"MI35",3.64119580123445,0.946960751675476,18.8539625200085,"MI"
"MI36",3.66197876237478,0.953585294387681,21.5448958860698,"MI"
"MI37",3.64081515485287,0.952006239016726,20.8360415919165,"MI"
"MI38",3.70196906448439,0.956636621769637,23.0609339218826,"MI"
