feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Oxalobacteraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Tannerellaceae	Veillonellaceae
CON11	-9.55587760940232	-14.6722962265561	-16.5420828902081	-18.8493243729758	-17.0631614451899	-1.71150549967626	-11.2012684151336	-1.86233137582417	-17.7293967711656	-19.4980712250592	-11.9733060162641	-19.171004456229	-19.7939468840116	-4.58651004362842	-18.3707345875989	-19.1368524399967	-6.43223353927726	-13.8547531165428	-16.9225794975579	-11.6685343077599	-5.11389549659707	-8.19195684995089	-16.6461667832704	-2.17547568626663	-14.2648121217089	-18.6663049209288	-20.7940507628226	-7.78458644395567	-12.5120298220799	-20.3447430682932	-18.7611750487339	-20.4439124995924	-8.65004432057684	-19.7295647537159	-18.0835715184997	-18.7590466893066	-8.66209134083781	-3.46864473672135	-18.8954339994519	-12.5687481880594	-17.5952848929207	-18.4669979726748	-6.62466683632689	-18.4986087292395
CON12	-17.0532863823862	-13.0305639773877	-16.5420828902081	-18.8493243729758	-17.0631614451899	-11.3009816282879	-18.6966732237362	-0.18816481113081	-17.7293967711656	-19.4980712250592	-12.4284001397273	-19.171004456229	-19.7939468840116	-8.67604807856621	-18.3707345875989	-19.1368524399967	-15.5805361273914	-13.9795632810416	-16.9225794975579	-13.2048720062635	-12.9496641223528	-19.4966532735885	-16.6461667832704	-8.53274052756948	-3.65836006611366	-18.6663049209288	-20.7940507628226	-18.3683840610799	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-19.8598091849683	-5.80934697317912	-18.0835715184997	-18.7590466893066	-15.5106008466727	-15.8021477684235	-18.8954339994519	-5.73738960885034	-17.5952848929207	-15.4589430139057	-12.3285463766501	-11.9230021632979
CON13	-7.23192046571722	-12.003671579991	-6.53137063945135	-10.9596186272929	-13.3722636762856	-3.91179366457952	-6.67544730464741	-2.86829570259802	-14.1579806141682	-11.9101919215128	-6.83080362728552	-19.171004456229	-14.5844926526945	-3.01785652114525	-17.3707345875989	-11.6414306951407	-6.36142784354535	-4.47752626706944	-13.9865910962658	-9.03058273409261	-5.51558236193123	-7.66527791722533	-16.6461667832704	-1.57486560939403	-9.24898158553419	-9.83763586867064	-20.7940507628226	-8.58460342898669	-9.79612502595147	-20.3447430682932	-18.7611750487339	-20.4439124995924	-12.4047546965314	-6.09941994389253	-18.0835715184997	-8.49536267846545	-4.26910939253687	-3.0818953898866	-12.4918264045162	-6.59536145798494	-12.6571878808163	-9.37666885540563	-6.97945458394995	-14.3707345875989
CON14	-17.0532863823862	-15.3634395319128	-16.5420828902081	-18.8493243729758	-17.0631614451899	-1.81658322001139	-18.6966732237362	-1.2036273934157	-17.7293967711656	-19.4980712250592	-9.43380032576986	-15.9034546265799	-19.7939468840116	-9.89887439560909	-18.3707345875989	-14.9853962401161	-7.8072973072281	-9.33471745880444	-8.6436969243157	-9.38712617353066	-12.9496641223528	-19.4966532735885	-16.6461667832704	-3.6329281921446	-3.29524091277975	-18.6663049209288	-12.8061333740945	-18.3683840610799	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-9.96678056194876	-19.7295647537159	-18.0835715184997	-13.0018843629047	-15.5106008466727	-5.28839485349744	-18.8954339994519	-4.8091542687334	-7.08503908676998	-18.4669979726748	-8.45710704865535	-6.04007592418304
CON15	-9.60580322881441	-18.2529587272226	-16.5420828902081	-18.8493243729758	-13.5184396011861	-2.74613374069058	-18.6966732237362	-4.86718573861654	-17.7293967711656	-19.4980712250592	-8.1430329940049	-19.171004456229	-19.7939468840116	-7.9422169806516	-18.3707345875989	-19.1368524399967	-7.5861763213613	-16.5692164537831	-16.9225794975579	-8.69114535776035	-5.79429407870156	-9.67536637226092	-16.6461667832704	-1.60197268136454	-17.9853400670521	-18.6663049209288	-15.0633246625319	-9.29305676162184	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-6.75319436415544	-19.7295647537159	-18.0835715184997	-18.7590466893066	-5.30941534599878	-1.3479873759312	-18.8954339994519	-9.26083042853871	-12.0510253975814	-18.4669979726748	-5.60079437752654	-18.4986087292395
CON16	-9.82886424050785	-13.1141988303983	-16.5420828902081	-18.8493243729758	-13.1583869122761	-7.45977878936916	-16.1543134176897	-2.15119645815026	-17.7293967711656	-19.4980712250592	-10.9886130021091	-19.171004456229	-19.7939468840116	-1.71167240472669	-18.3707345875989	-15.278858515628	-6.7686780343643	-5.64699566206381	-10.1193179963335	-13.1955753828759	-3.81254172121862	-13.6208812176086	-16.6461667832704	-1.66513932967027	-17.9853400670521	-18.6663049209288	-20.7940507628226	-11.5061248071189	-15.6721779207239	-20.3447430682932	-18.7611750487339	-17.5371705112193	-19.8598091849683	-6.20641836380986	-18.0835715184997	-18.7590466893066	-6.26799798492475	-6.31750371196668	-18.8954339994519	-7.63337725318642	-13.326952803829	-14.4086959532705	-10.6799212914262	-12.7885829974116
CON17	-17.0532863823862	-12.6722424130328	-7.14849622172878	-18.8493243729758	-17.0631614451899	-6.04933996197942	-18.6966732237362	-2.24793220238452	-17.7293967711656	-19.4980712250592	-6.76193433308804	-14.5323438062506	-19.7939468840116	-3.94699630703949	-18.3707345875989	-19.1368524399967	-8.15672784046923	-3.83725160969577	-10.448303730641	-7.11733301588012	-4.71396608430403	-10.2532668954713	-16.6461667832704	-2.6858832800195	-17.9853400670521	-18.6663049209288	-20.7940507628226	-18.3683840610799	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-6.47132780626584	-19.7295647537159	-18.0835715184997	-18.7590466893066	-15.5106008466727	-1.31046537972178	-18.8954339994519	-8.92077701374477	-13.3036162841986	-18.4669979726748	-17.7613894869127	-10.3991589747816
CON18	-11.9055286570497	-12.3059990146777	-15.5420828902081	-18.8493243729758	-17.0631614451899	-6.42179467502746	-8.17474236285073	-1.72814802202492	-17.7293967711656	-14.379960476962	-12.0731326860792	-19.171004456229	-15.9431811985291	-3.70273002052078	-18.3707345875989	-19.1368524399967	-7.04822744096728	-5.63168029540207	-16.9225794975579	-8.72923578451472	-4.9515458003759	-7.77756553658469	-16.6461667832704	-1.5904272740101	-4.75362191190557	-18.6663049209288	-20.7940507628226	-9.36594605983253	-8.36260855787231	-20.3447430682932	-12.3885923468514	-20.4439124995924	-11.7706895800766	-3.50494580178765	-18.0835715184997	-12.0555309596172	-8.036675989604	-4.08201722754924	-18.8954339994519	-8.03956967588712	-12.1233296376904	-18.4669979726748	-6.82385761350106	-11.659202457869
CON19	-14.7763344021075	-10.8786588728452	-16.5420828902081	-15.159310692154	-17.0631614451899	-7.36011803965848	-18.6966732237362	-0.770707389081685	-14.885745618828	-19.4980712250592	-11.1576601999926	-19.171004456229	-19.7939468840116	-9.89887439560909	-12.2942402722401	-15.5867319158887	-8.0519355185091	-6.4909841394905	-16.9225794975579	-7.61041117487565	-5.44189161803215	-19.4966532735885	-16.6461667832704	-2.18598258538791	-15.6822122247429	-18.6663049209288	-19.7926362144366	-18.3683840610799	-15.6721779207239	-20.3447430682932	-12.6869657547135	-20.4439124995924	-10.5343914100075	-19.7295647537159	-18.0835715184997	-11.1497640158612	-14.5106008466727	-2.93618747405747	-18.8954339994519	-7.14583207145811	-17.5952848929207	-18.4669979726748	-10.1098011944382	-8.04757310478065
CON20	-17.0532863823862	-9.50619327294216	-16.5420828902081	-18.8493243729758	-17.0631614451899	-1.47820594354139	-18.6966732237362	-3.19753734575018	-17.7293967711656	-19.4980712250592	-19.606645651474	-19.171004456229	-11.6184862338948	-9.89887439560909	-16.9472463622646	-19.1368524399967	-5.26286946393475	-3.56389067481249	-2.77679931692486	-7.08345215845353	-12.9496641223528	-19.4966532735885	-16.6461667832704	-3.11140956209756	-4.66301159601476	-7.03562682897043	-11.2570273186492	-17.3683840610799	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-8.10092285382442	-19.7295647537159	-18.0835715184997	-18.7590466893066	-6.23416442679702	-3.86701492155296	-18.8954339994519	-6.30195275925288	-17.5952848929207	-18.4669979726748	-7.92287814468463	-9.97868892628308
CON21	-12.240087807434	-11.2223900636551	-6.50119443838671	-18.8493243729758	-17.0631614451899	-4.60733536593696	-8.27838738993407	-0.879962572605313	-17.7293967711656	-15.3947313511715	-11.1295609135255	-19.171004456229	-16.948931598122	-4.80565737874194	-12.2261889037793	-11.4729929911557	-8.55590778428069	-5.4382988622406	-16.9225794975579	-9.89461063885826	-5.24379138351399	-9.4058508190124	-16.6461667832704	-3.38440220319381	-8.3728419646243	-12.7558585689111	-17.0628877874191	-11.8973612498743	-8.31428135406633	-20.3447430682932	-18.7611750487339	-20.4439124995924	-15.895160341681	-8.78364293876437	-15.0928410095207	-9.52958472600185	-5.40192727766947	-2.77483256150135	-10.4934483011103	-8.41464102992259	-11.9123058554458	-12.8787596909289	-8.63570411864714	-5.21197848777327
CON22	-6.15680195200221	-11.9634776730094	-16.5420828902081	-18.8493243729758	-17.0631614451899	-2.4236754761186	-9.62425375339528	-4.10090715358959	-17.7293967711656	-15.0686211770337	-11.1538199650824	-19.171004456229	-19.7939468840116	-3.90739620458927	-18.3707345875989	-12.3877632490903	-7.77928358274808	-1.82043224527868	-16.9225794975579	-11.7037118519942	-4.35580466091248	-19.4966532735885	-16.6461667832704	-2.05185835173503	-9.91169974755019	-18.6663049209288	-20.7940507628226	-9.90090128880772	-10.9514288474155	-20.3447430682932	-18.7611750487339	-11.9053216524065	-12.2812346712087	-12.409575468653	-17.0835715184997	-18.7590466893066	-4.76911415286105	-4.63913893929845	-18.8954339994519	-8.88499005843433	-10.8061549545713	-18.4669979726748	-6.40637798592456	-18.4986087292395
CON23	-10.2510336581274	-13.3331442416049	-16.5420828902081	-18.8493243729758	-17.0631614451899	-4.72123249984804	-18.6966732237362	-3.37505246975836	-17.7293967711656	-19.4980712250592	-10.9931655784624	-19.171004456229	-12.4213982509809	-4.66590268287282	-18.3707345875989	-19.1368524399967	-7.37578160004885	-4.83154323834813	-7.22909326140604	-5.91876989795295	-7.3312379133814	-6.69899817677563	-15.6461667832704	-0.507718567114339	-9.99640395252893	-18.6663049209288	-20.7940507628226	-13.4221898532179	-15.6721779207239	-20.3447430682932	-18.7611750487339	-20.4439124995924	-8.00664518375953	-19.7295647537159	-18.0835715184997	-7.13764061510491	-15.5106008466727	-5.3661634183764	-18.8954339994519	-8.80861162343707	-10.7157933491123	-18.4669979726748	-8.99345967591339	-13.2380820446333
