feature	衣原体目..Chlamydiales.	乳杆菌目..Lactobacillales.	肠杆菌目..Enterobacterales.	拟杆菌目..Bacteroidales.	支原体目..Mycoplasmatales.	梭菌目..Clostridiales.	乳酸菌目..Lachnospirales.	振荡螺旋菌目..Oscillospirales.	丙酸杆菌目..Propionibacteriales.	双歧杆菌目..Bifidobacteriales.	硒单胞菌目..Selenomonadales.
CON8	-0.847924597688431	-4.32378997301782	-2.08798211654582	-4.69605483755858	-4.20616125682352	-4.257354223028	-7.98554875581168	-7.71619569613268	-7.51005391240845	-14.6193823229778	-22.5775482276778
CON9	-0.674692783781411	-2.1891257780831	-3.19190205825914	-10.4381870401437	-5.36439913579042	-7.03467920593036	-9.44728924725094	-12.7066758760696	-12.4112199925434	-6.58459304461123	-16.4291419005407
CON10	-0.823764529742613	-4.88279954171748	-2.6992976783639	-3.8980968700438	-2.96005437707287	-4.86073326386431	-7.6937392698799	-6.61587596041066	-8.9842747562832	-12.5183881155086	-22.5775482276778
CON11	-0.86198391343837	-4.78188399518698	-2.44577664314251	-2.9138522366774	-4.64055448474948	-4.6063364373102	-7.38500217763222	-7.09005018882986	-8.74277924582803	-11.2411839269965	-22.5775482276778
CON12	-1.24379048314834	-1.72444495762029	-2.766565820069	-10.6002963207363	-5.45154421238358	-3.49308839184349	-12.3007360388774	-16.1752051567936	-15.4382395626274	-5.99986353222834	-22.5775482276778
CON13	-0.705818085280321	-4.41898451593595	-2.45995888143288	-4.6188719048749	-4.02869169488273	-4.2888373547294	-8.78516338525236	-9.78629005070664	-9.0692991563017	-15.7862900507066	-22.5775482276778
CON14	-1.32251251003289	-3.55007454893769	-3.55536189667485	-1.32443612380618	-5.94117185005467	-6.85818340491588	-8.74143807303517	-8.98704717595072	-9.8969975713083	-12.962799629704	-14.3842633981423
CON15	-0.667116118569503	-4.02377318548174	-2.46599078211717	-4.98148283688743	-4.65366442724827	-4.52827842752099	-7.45313077632572	-7.4252618779993	-9.76540870117937	-11.3961748915136	-22.5775482276778
CON16	-0.905906357144092	-3.52650034061477	-2.90744996102079	-5.81172656310716	-2.52603467389708	-4.38453143094204	-8.90225480875551	-9.51079424591812	-8.17521708951891	-15.2277851403231	-22.5775482276778
CON17	-0.492518308765377	-4.24098284110783	-2.97890871992346	-6.97243216617057	-3.82718700245897	-5.1206346254238	-9.91562704646368	-9.87916272017474	-13.4665277111112	-12.7528318962678	-22.5775482276778
