feature	衣原体目..Chlamydiales.	乳杆菌目..Lactobacillales.	肠杆菌目..Enterobacterales.	拟杆菌目..Bacteroidales.	支原体目..Mycoplasmatales.	梭菌目..Clostridiales.	乳酸菌目..Lachnospirales.	振荡螺旋菌目..Oscillospirales.	丙酸杆菌目..Propionibacteriales.	双歧杆菌目..Bifidobacteriales.	硒单胞菌目..Selenomonadales.
MI31	0.529317960966338	0.0706848866471842	0.223761911033435	0.0359380691519214	0.0871464658149929	0.0477058320311434	0.00159703658352822	0.00200756753293443	0.00184027023852323	0	0
MI17	0.739582596704618	0.0446824246281498	0.112548028192254	0.0439590552294746	0.0151141479857624	0.0370023336397709	0.00639099073615727	1.17860594488839e-05	4.41977229333145e-06	0	0.000704217052070811
MI21	0.603576004910142	0.0338987483136769	0.144133133769073	0.0145835224117536	0.144230813603801	0.0429445163156089	0.00208511836180918	0.0119261694275962	0.00261735809119759	3.07653022767862e-06	1.53826511383931e-06
MI20	0.668977226977542	0.061397111021645	0.133471811358699	0.0401994705938412	0.0620719969036936	0.027845363611787	0.000908275812440072	0.000686555378568192	0.00444218834178399	0	0
MI24	0.558397067970044	0.152943248009861	0.159206897824834	0.00767442653027028	0.0794564782128363	0.0295730607677693	0.000665273166700273	0.00444533115977632	0.00685011260653601	0.000788103751373857	0
MI23	0.586297497894785	0.0541742008342527	0.195060414776325	0.00329164245941341	0.123262789589467	0.0329523274866017	0.00316761428543452	0.000514064142149343	0.000362292823990966	0.000910627908950265	6.52779863046785e-06
MI26	0.533241168974733	0.0666683375853818	0.190253882907293	0.0324747449430524	0.0950524096846449	0.0461411011706105	0.00251165465803769	0.000622637079093377	0.00207501721485992	0.0309590457822934	0
MI19	0.469040636057688	0.194461747428344	0.178774429650393	0.0365871594556481	0.0832035609540865	0.0340414579494234	0.00170866966008288	0.000832706100166974	0.000164378347045948	0.00112901969944717	5.62346976736138e-05
MI18	0.550473618037432	0.0595303177377831	0.160580610270901	0.0347467117628641	0.137293776665859	0.0524498483107083	0.00174901532007864	0.00173036700858509	0.00141629018343068	2.94447023582262e-05	0
MI15	0.484406984013077	0.195029980354817	0.312828650098449	0.000442378772059045	0.00533083134894325	0.00183080181988164	8.69157285153791e-05	4.01149516224826e-05	3.34291263520689e-06	0	0
MI25	0.455379695911047	0.0885637013927461	0.157867743626746	0.0101556781785809	0.240256227905794	0.0370056218561988	0.00104027699191761	0.00565300221655826	0.00353922581381949	0.000538826106592055	0
MI22	0.652288366631907	0.05017035752294	0.159591892536705	0.0246649814094505	0.077298888319988	0.0308171531662909	0.000979790316830144	0.00136982996415924	0.00237240610231102	0.000446334029417836	0
MI14	0.2320447673395	0.0323942046323447	0.0832942708707782	0.00960057873155157	0.607881574755648	0.0257652488190994	0.00249744136876147	0.00160531543457748	0.00491563945970144	6.39058692108871e-07	3.19529346054436e-07
