feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
MI31	0.430310138366617	0.107681355189661	0.167591544667957	0.0917431820671023	0.00452247088459713	0.00947391478952941	0.0596386586835092	0.0217224635829287	0.0313355664269286	0.00496969807601037	0.00200795881859005	0.0163580190573546	3.19447993866599e-05	0.00353902741776496	0	0	0	0.00211063853090431	0.000114088569238071	0.0468493300719214	0
MI17	0.309470544369873	0.028211425607107	0.0415775054307298	0.0992161916804461	0.0653592387251564	0.0207948318905424	0.100132120740525	0.0293462049735759	0.0482645981259929	0.0175809746133645	0	0.00208718347761242	0	1.21583503550238e-05	0	0	0.00193723048990046	7.2950102130143e-05	0	0.235936841422689	0
MI21	0.330844782609464	0.0236668415187048	0.331201551414447	0.0986147832982746	0.0225205892690302	0.00927069038296129	0.0240183117770795	0.0137161709876314	0.0334938792955759	0.00552285174843207	0.0179391126347376	0.019389148223309	0.00108090350816771	0.00601031803642927	0.000199578588926391	7.06472881155366e-06	3.53236440577683e-06	0.0176088365627975	0.00421057837168598	0.0406804746791289	0
MI20	0.349858985408942	0.107573988035435	0.162766027978519	0.0730164882521841	0.00549268407121619	0.02735122068146	0.0780603736249165	0.0439006726880492	0.0317780078437773	0.00276929196905329	0.00402898831593388	0.0157436543434024	0.00058139831394489	0.011648366219738	0	0	0	0.00252959266418127	0.0385915880843946	0.0443086715048526	0
MI24	0.340910929412968	0.219562042013074	0.17080880433837	0.0635706076373255	0.0863323956732303	0.00563969736422371	0.0104139797337208	0.0176746131198134	0.0236958867603716	0.00146525290112443	0.00521538454493976	0.00226198416611084	5.95258991081799e-05	0.0147257916563005	0.000444154785653343	0.00169419866692512	0	0.00757047332247622	0.00265119196797201	0.0253030860362925	0
MI23	0.37813426671688	0.0513983347205388	0.239035011377194	0.0639021719522886	0.0066680802448233	0.00368057775260061	0.0027026770427523	0.0452429402847622	0.0571897855264365	0.00614273552691126	0.00174692942341835	0.00783269986043553	0.000990559618713665	0.000702569442026944	0	0.00176591778671637	1.26589088653504e-05	0.0591171044011861	0.0232923923122446	0.0504425871012048	0
MI26	0.358572306100676	0.0446601990037378	0.179197867213127	0.0867116136910195	0.0193059987117729	0.0488407199150466	0.0123823995344476	0.0579478392352208	0.0471396632206176	0.0047425659594681	0.00377266521264452	0.00417306013633323	1.49215499511319e-05	0.00391193301218842	0	0.0583656426338525	0	0.00297684921525082	0.0327428544427672	0.0345409012118785	0
MI19	0.295581176453617	0.239347833142799	0.138731513103563	0.0567490470300154	0.0679647013426328	0.00971542531131555	0.0512890789820081	0.0165133379734647	0.0302317781680617	0.00288144945201972	0.000414726767186818	0.0133289576654129	1.80315985733399e-05	0.000274080298314767	0	0.00188249889105669	9.37643125813676e-05	0.0345341175876606	3.60631971466798e-06	0.0404448756000014	0
MI18	0.325259515570934	0.0879696600082376	0.278334802445824	0.106040738522517	0.0121992713467351	0.0112979061664919	0.0591438821579439	0.0106293439135963	0.0266529505283831	0.00665776576841879	0.00988716022213777	0.0118530516086284	0.00176293498829021	0.00287123610395347	0	5.9693058294251e-05	0	0.00564099400880672	0.00158584558201727	0.0421532479987902	0
MI15	0.605952946255126	0.0102849125836391	0.0103259227282538	0.00354629829484136	0.131374919058925	0.000148931577811353	0.000707964601769912	0.236063026116987	0.000651845456507662	0.000168357435786747	2.15842866393266e-05	8.84955752212389e-05	7.33865745737103e-05	6.47528599179797e-06	0	0	0	0.000127347291172027	0.000397150874163609	6.04360025901144e-05	0
