feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
MI20	-1.51515455010206	-3.21659882618494	-2.61912847870645	-3.77563390614287	-7.50827297150539	-5.19225096802599	-3.67926582172596	-4.50961314349297	-4.97582750448379	-8.49626711824523	-7.95536666298513	-5.98908573843447	-10.7481854918849	-6.42372857068675	-19.9986317453378	-21.2533131417301	-22.2533131417301	-8.62687919566272	-4.69556977625734	-4.49626711824523	-17.7993417072643
MI24	-1.55253324267518	-2.18729943277034	-2.54954575430872	-3.97549631132986	-3.53395416678851	-7.47016653743661	-6.5853346855092	-5.82217755359353	-5.39921953847492	-9.41463459086161	-7.58301065404086	-8.78819545416429	-14.0361229676079	-6.08551099457004	-11.1366498435618	-9.20518122523266	-22.2533131417301	-7.04540078119589	-8.55914314775974	-5.30454283893648	-17.7993417072643
MI23	-1.40302950188999	-4.28213457217152	-2.06470615015026	-3.96799122242806	-7.2285128185933	-8.08585203593739	-8.53139515779012	-4.46616349836912	-4.12809869462916	-7.34690301469694	-9.16096296063244	-6.99627460755627	-9.97946857047799	-10.4750715510605	-19.9986317453378	-9.14536610558142	-16.2694874174106	-4.08028058281358	-5.42399736646623	-4.30921391921638	-17.7993417072643
MI26	-1.4796640271888	-4.48486651001904	-2.48037462813557	-3.5276309565081	-5.69480700201898	-4.35577172388403	-6.33556527417225	-4.10910132289587	-4.40691473818029	-7.72011644592554	-8.05020020399126	-7.90467857379847	-16.0322430735171	-7.99790261882261	-19.9986317453378	-4.0987368238877	-22.2533131417301	-8.3919981372948	-4.93267609181981	-4.85555046484227	-17.7993417072643
MI19	-1.75837369787187	-2.06281934973751	-2.84963255932209	-4.13926002391945	-3.87907053782485	-6.68550713073567	-4.28520452526433	-5.92022441652443	-5.04779035209926	-8.43898957327	-11.2355512152536	-6.22929222478192	-15.7591131713106	-11.8331137527544	-19.9986317453378	-9.05313526962809	-13.3806015480569	-4.85583382925447	-18.081041266198	-4.62789926622434	-17.7993417072643
MI18	-1.62033683082304	-3.50685015355858	-1.84510678313904	-3.23730947186055	-6.3570612104985	-6.46780076608287	-4.07962724583975	-6.55580363917216	-5.22956093907752	-7.23074616976891	-6.66022807325716	-6.3985976560637	-9.14780501125225	-8.44411231531607	-19.9986317453378	-14.0320773041987	-22.2533131417301	-7.46983487997768	-9.30053198581679	-4.56821239155601	-17.7993417072643
MI15	-0.722722325677592	-6.60332665801069	-6.59758548260989	-8.13947039185792	-2.92823821955489	-12.7130627000298	-10.4640351521899	-2.0827560008636	-10.5831824174829	-12.5361849379457	-15.4996590619206	-13.4640351521899	-13.7341243155577	-17.2366246560868	-19.9986317453378	-21.2533131417301	-22.2533131417301	-12.9389441074462	-11.298025200751	-14.0142322347504	-17.7993417072643
MI25	-1.92907954730725	-4.06805841266647	-1.32303237347935	-4.02199222692517	-5.88047932074554	-8.74762732764541	-6.10098910993278	-3.96235873865836	-5.77697587417957	-9.1180219008292	-7.24569412138582	-6.80442508053379	-10.1744946699125	-7.40802857896776	-19.9986317453378	-10.1235707347498	-22.2533131417301	-5.98376311525467	-4.66338119907861	-5.64194626357434	-17.7993417072643
MI22	-1.35020542070307	-5.52620248215724	-2.39583086063795	-3.72292146760755	-3.96561376818653	-6.08403973769347	-4.44589597068695	-4.82741504614474	-4.61951635220179	-8.68978883902886	-8.70359463855389	-4.47192508416667	-15.8894611838652	-7.42185563378223	-17.2113892787526	-9.83201091168133	-22.2533131417301	-5.77103915955203	-5.83934045347982	-5.20173558651848	-17.7993417072643
MI14	-3.26147578490411	-5.88726419105943	-0.393902718418744	-4.95419457893362	-6.36647343584564	-7.56266034238158	-7.21508000699828	-7.40361483987876	-5.42064559975074	-8.08197994589494	-7.47092915053306	-7.31272424737099	-12.3464225461215	-7.34417009439016	-19.9986317453378	-20.2533131417301	-21.2533131417301	-10.1029311729122	-15.1035660222254	-6.76340247859214	-17.7993417072643
MI16	-2.47170324122114	-5.30871891374913	-1.11754840730942	-3.77348072860898	-5.97336741591643	-7.98964676090961	-6.37793940495593	-3.10666483993808	-5.60243251439267	-6.96241127651375	-8.48168732979376	-7.50079615274146	-5.02008422766225	-8.4559055683337	-19.9986317453378	-9.72128997858641	-12.826290862649	-8.33602576322254	-6.79515949926662	-5.13204504581601	-17.7993417072643
MI1	-1.51375944952648	-4.79397797137156	-2.78886678774992	-3.72556260441719	-3.81854326982388	-4.68664130737223	-4.03080022531161	-4.39992041099693	-4.15088105093354	-7.21194981901273	-7.5211031263827	-6.49716846614677	-9.61528556543941	-5.41390063793285	-19.9986317453378	-9.57974144858174	-22.2533131417301	-6.86853895048061	-19.2729896484762	-4.03373482206878	-17.7993417072643
MI2	-1.35876732479737	-4.95716794161974	-3.33414264636147	-3.21562807526905	-5.16515681366012	-3.91565973371547	-3.24582186614953	-4.71838108203262	-4.76130962465125	-6.97166751131486	-6.09472995419206	-7.48292485294218	-9.10139368447307	-8.0800073598392	-19.9986317453378	-14.7230146557731	-14.6405524955811	-6.87200055835706	-7.56433072238755	-4.34874227541855	-17.7993417072643
