feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON13	-6.87248132783025	-4.40582618624777	-8.6666206303837	-3.44313235252594	-5.58821428491835	-5.26120754999323	-7.63624698134017	-10.8283006600169	-6.66662063038368	-7.76177786342402	-4.16864143125715	-9.133746640811	-7.04130039204637	-7.47974249566017	-5.55587356487613	-6.22120948206131	-5.83750518958725	-4.56657345353334	-8.5773532922866	-5.4267936157112	-8.63624698134016	-4.22261905231598	-3.05316421383722	-7.89928138717395	-1.42395326455152	-9.46632197989783	-8.31431888645282	-6.94508507678708	-7.26701317167443	-5.63249484647904
CON14	-6.59021592036747	-3.52986201353651	-10.8498577369792	-3.546006277071	-4.22629373681547	-4.69268954161725	-9.30903416782346	-10.8283006600169	-4.96128978113191	-8.30903416782341	-4.87347965120405	-10.9508989160503	-7.79245864208252	-8.23103165582214	-5.47333462007184	-5.2098324901163	-5.00322573829932	-3.92725090764503	-10.8653896083822	-5.20283476399148	-8.10391973791881	-5.44553616772827	-2.70912132563628	-9.77851945112468	-1.89681718760693	-10.9590526097676	-9.19355695040353	-9.6209781741382	-10.8846561932557	-5.58717546604741
CON15	-6.5824556451106	-5.6783156605181	-10.8498577369792	-4.4590732296053	-4.10071386474819	-5.47333392273047	-7.88731022663901	-10.8283006600169	-5.47333392273048	-6.67464934332034	-4.83932028370417	-10.9508989160503	-8.90438373999798	-7.9568511598921	-6.07753264231455	-5.31656158513755	-6.71927233474096	-3.8936891392017	-8.0299146220818	-5.47015267548579	-7.92166173142979	-4.82502594838467	-3.40948054730832	-8.62427582080523	-1.20064492359575	-9.54181366061329	-7.63848968002491	-6.10194430835446	-8.36596382521382	-5.15459410547416
CON16	-6.93570479749557	-4.30044463140922	-10.8498577369792	-3.56118175166064	-5.52245391769073	-4.86769812091516	-9.27198818536002	-10.8283006600169	-5.44925803741547	-8.38446291461841	-4.11110832352068	-9.54952216088893	-9.10206318391772	-7.73593528511979	-5.3365284375547	-6.48539182346919	-6.90042932274803	-4.05088445999211	-10.8653896083822	-5.21237332906277	-8.8934765621063	-4.21345521515838	-3.09058742362069	-8.3085140613851	-1.59938605335814	-9.1676515255453	-8.23636427562929	-8.08612164004868	-7.07821644196332	-4.24187285445191
CON17	-7.95177038911428	-4.10329647973106	-10.8498577369792	-3.51040706323827	-5.39864397551511	-5.32727952420646	-7.37830352723094	-10.8283006600169	-6.25662497064269	-6.94320837561084	-4.75163077462493	-7.72937796777783	-10.8852444366012	-7.74417496970591	-5.59925397439347	-6.42522457461843	-6.54967194554291	-3.71018440254449	-10.8653896083822	-6.0042378090084	-8.48610681676549	-4.72937796777781	-2.63070129695599	-8.64364809375194	-1.44454206689767	-7.68587632914124	-7.57590348711611	-8.78949896021543	-9.88465619325572	-7.05868559303078
CON18	-6.93023404258452	-4.58697743825664	-10.8498577369792	-3.71085952582859	-4.71498505063271	-5.15166754395153	-8.48482289426215	-10.8283006600169	-6.25120321750245	-6.48482289426215	-5.01111714464273	-7.96126093820514	-7.14497289137754	-6.04187939841342	-6.56001039065637	-5.79133593676283	-6.39736005301181	-3.90174012675921	-8.39736005301182	-6.32495155748377	-8.04187939841343	-4.28147489128238	-3.10598618105154	-7.72993539209869	-1.41503749927884	-10.9590526097676	-7.51903860960007	-7.72993539209869	-6.39206575334229	-5.1971105147127
CON19	-6.9093931028117	-3.63249326347369	-10.8498577369792	-2.61094861714448	-4.91881635669831	-4.63326869753745	-10.7094815231086	-10.8283006600169	-8.17242750864549	-8.15450560064822	-3.99450971644964	-10.9508989160503	-10.8852444366012	-10.9495565482069	-5.14562744930177	-6.16343872541823	-5.57549236625825	-2.85320700612161	-10.8653896083822	-4.43096052224434	-10.9939676379421	-4.68700068147524	-4.09347616725066	-10.9634741239749	-2.05244889899061	-10.9590526097676	-10.8863592851927	-10.7330153216861	-8.2089533846706	-6.10633831818772
CON20	-10.977524482626	-5.18226198464595	-10.8498577369792	-4.79126349693473	-6.53214414110431	-5.78891955646643	-10.7094815231086	-10.8283006600169	-3.93546821981936	-6.9576740142008	-5.13089359355555	-10.9508989160503	-7.86588153828132	-7.84625273153238	-7.5165472860533	-5.2678035377699	-6.44099625304613	-4.83896023896602	-6.67200180468728	-7.24835117510375	-10.9939676379421	-6.11319159182209	-2.31845875413359	-10.9634741239749	-1.10187341501604	-10.9590526097676	-10.8863592851927	-7.23552713474614	-10.8846561932557	-6.04447884173807
CON21	-10.977524482626	-4.64511882629452	-10.8498577369792	-2.46598941031491	-4.32319073140716	-4.37187109616174	-10.7094815231086	-10.8283006600169	-7.39544280331576	-6.29814560196084	-4.97621750707347	-10.9508989160503	-10.8852444366012	-5.27738704179404	-5.7993397449894	-6.58012157144809	-5.72016953155578	-3.18086011811546	-10.8653896083822	-6.45247374835214	-10.9939676379421	-4.75382508573703	-2.86508939874783	-10.9634741239749	-2.01946047801936	-10.9590526097676	-10.8863592851927	-7.65178255657555	-10.8846561932557	-6.70623034059791
CON22	-10.977524482626	-5.0814343549975	-10.8498577369792	-4.03712288078792	-4.88538428363857	-5.51753346980417	-10.7094815231086	-10.8283006600169	-4.0530791176235	-10.9866844819114	-5.08963927781922	-6.92888592227517	-10.8852444366012	-6.02003381033336	-9.66342793428614	-9.40627009478907	-7.030526184151	-4.1313787861739	-10.8653896083822	-5.92888592227516	-10.9939676379421	-4.39723923608646	-2.88003766217309	-10.9634741239749	-1.21305230487959	-10.9590526097676	-10.8863592851927	-7.06246907665375	-10.8846561932557	-4.74054098176639
