feature	X21.14.0.10.32.9	AMARA.1	ANME.1	ARS1403	ARS49	Acidilobaceae	Aenigmatarchaeaceae	Altiarchaeaceae	Anstonellaceae	Archaeoglobaceae	B18.G2	B24	B26.1	B3.WOES	BM511	Bilamarchaeaceae	Borrarchaeaceae	CABMGC01	CAIVOO01	CG.Epi1	CG1.02.33.12	CG10238.14	CSSED10.239	DHVEG.1	DSVV01	Desulfurococcaceae	GCA.001856825	GCA.020350865	GCA.020356005	GCA.2686295	GCA.2688095	GLR71	GW2011.AR1	GW2011.AR15	GW2011.AR17	GW2011.AR18	GW2011.AR20	GW2011.AR4	GW2011.AR5	GW2011.AR9	Gearchaeaceae	HEL.GB.A	HEL.GB.B	Haladaptataceae	Halalkalicoccaceae	Haloarculaceae	Halobacteriaceae	Halococcaceae	Haloferacaceae	Hermodarchaeaceae	Hodarchaeaceae	Iainarchaeaceae	Ignisphaeraceae	JAADEF01	JAAZKV01	JABGXB01	JABLTI01	JABXJV01	JACAEJ01	JAEHCK01	JAFCDX01	JAGGVH01	JAGVZF01	JAHWHD01	JALIDP01	JdFR.42	JdFR.43	Jordarchaeaceae	Kariarchaeaceae	LC.3	MK.D1	Methanobacteriaceae	Methanocaldococcaceae	Methanococcaceae	Methanocomedenaceae	Methanocorpusculaceae	Methanoculleaceae	Methanofastidiosaceae	Methanogasteraceae	Methanoliparaceae	Methanomassiliicoccaceae	Methanomethylicaceae	Methanomethylophilaceae	Methanomicrobiaceae	Methanoperedenaceae	Methanoregulaceae	Methanosarcinaceae	Methanospirillaceae	Methanotrichaceae	Micrarchaeaceae	NBVN01	Nanopusillaceae	Natrialbaceae	Nitrosopumilaceae	Nitrososphaeraceae	Odinarchaeaceae	PNOQ01	PWKY01	Parvarchaeaceae	Poseidoniaceae	QMZM01	QMZS01	RBG.16.68.12	RDOG01	S146.22	SCGC.AAA011.G17	SG8.5	SM23.78	SOJC01	SOKP01	SZUA.1535	SpSt.28	Sulfolobaceae	TCS64	Thalassarchaeaceae	Thermocladiaceae	Thermococcaceae	Thermofilaceae	Thermoplasmataceae	Thorarchaeaceae	UBA10216	UBA164	UBA184	UBA213	UBA233	UBA287	UBA460	UBA472	UBA489	UBA57	UBA583	WJIZ01	WJKL01	WJKR01	WJKV01	WJKY01	Wolframiiraptoraceae
CON45	0	54	0	0	66	0	0	57	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	54	0	0	279	0	0	0	0	201	0	0	42	0	0	0	201	57	0	0	51	0	0	354	0	84	0	72	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	923	0	0	2174	0	612	0	63	0	45	0	0	0	0	0	42	380	60	0	0	0	0	0	0	0	0	0	66	0	0	30	0	459	0	0	103	33	0	0	0	0	78	87	0	0	0	0	381	0	350	0	0	0	33	0	0	0	0	0	0
CON38	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	30	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	48	0	0	0	78	429	0	75	0	0	0	0	255	87	0	0	0	0	0	0	87	0	84	60	48	0	0	0	18377	0	205	0	48	45	0	0	0	966	0	132	0	0	0	456	0	0	0	0	0	57	0	45	0	0	0	0	0	0	0	0	39	0	0	0	0	0	218	0	0	57	0	105	0	33	0	0	0	78	0	150	0	0	0	42	0	0	0	0	0	0	0	0	0	0
CON39	0	0	0	60	0	0	0	0	156	192	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	33	51	0	0	42	0	0	612	51	0	0	0	0	0	42	0	120	0	0	0	141	0	0	250	0	0	0	0	0	0	0	51	78	0	81	0	0	0	0	0	0	111	0	0	0	45	49956	0	33	66	72	0	0	0	0	1656	0	39	102	0	0	362	0	42	33	0	0	303	489	45	48	0	0	99	0	0	0	48	0	0	48	0	0	0	918	540	0	675	0	69	0	33	0	45	0	0	0	0	0	333	0	195	0	0	42	0	0	93	54	30	0	0
CON40	120	0	302	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	81	57	0	282	0	0	0	42	0	0	0	0	0	0	438	54	30	294	39	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	612	0	0	0	42	42	0	42	0	0	0	0	0	0	306	0	105	0	0	3128	0	210	0	0	87	0	0	276	699	0	1002	0	0	102	431	0	0	174	0	0	36	237	0	0	0	39	0	60	0	0	0	90	141	0	0	0	30	443	0	0	378	0	105	30	0	0	177	114	0	0	0	0	0	177	864	0	0	0	0	0	0	0	0	0	0
CON41	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	33	0	0	142	0	0	0	0	129	87	99	0	0	0	0	0	42	75	0	69	0	0	0	0	0	0	0	33	0	0	0	54	0	0	0	78	0	0	0	0	0	0	3344	78	0	69	0	30	165	0	0	3980	0	1456	0	0	123	738	0	156	90	0	0	42	315	54	0	60	0	0	126	0	0	0	0	102	36	0	0	0	366	0	0	54	0	187	0	0	0	0	0	120	0	0	36	57	72	520	204	0	30	0	0	0	135	210	0	0
CON42	39	78	0	0	0	63	0	0	42	48	48	0	0	0	0	0	0	0	39	0	30	0	0	39	45	0	0	0	0	0	0	0	650	0	0	282	0	0	0	0	327	81	0	270	0	81	0	0	208	0	0	0	0	0	0	81	72	108	48	0	0	105	0	0	0	0	78	0	123	0	30	12872	90	72	0	0	87	42	0	0	3311	0	786	0	0	255	918	0	96	0	0	0	57	309	210	0	0	0	0	696	0	0	0	93	138	0	0	0	0	1128	162	0	474	93	69	0	45	0	183	138	0	0	0	0	0	189	434	0	0	36	0	114	0	42	0	204	0
CON46	0	36	0	0	0	0	0	0	54	424	0	60	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	177	0	0	120	0	0	66	48	33	255	0	0	0	66	51	63	942	0	0	0	0	0	0	0	0	104	0	105	0	0	357	0	33	360	0	0	0	0	87	9089	171	0	0	0	90	81	0	0	843	0	267	0	0	96	537	0	0	0	0	0	0	477	45	0	0	0	0	234	0	0	0	72	135	0	0	0	0	872	132	0	109	189	96	0	0	0	142	0	126	30	0	0	0	0	137	45	0	0	0	0	0	30	0	0	0
CON47	0	0	0	0	0	0	0	0	0	60	0	0	48	0	0	36	0	0	0	33	0	0	0	492	0	0	0	0	0	0	0	0	787	30	0	0	0	111	0	66	78	0	0	0	0	63	0	0	126	0	33	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	42	0	0	2468	0	42	0	111	0	0	42	144	1500	0	264	69	0	54	117	0	0	0	0	0	0	97	114	0	93	0	0	0	0	0	0	30	0	0	0	0	0	1519	0	0	90	0	0	0	0	36	151	48	0	0	0	0	1594	0	155	30	60	0	33	0	0	0	0	0	0
CON20	0	30	0	0	33	48	0	0	0	0	0	0	0	60	0	0	0	0	0	0	48	0	0	237	0	0	0	0	0	0	48	0	78	0	0	0	0	0	0	471	0	0	0	0	0	270	0	0	579	0	117	178	0	0	54	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	33	12168	69	0	0	0	36	0	0	0	0	0	0	0	0	36	726	0	408	0	0	0	0	279	114	0	0	0	0	63	0	0	30	0	0	0	0	0	0	468	0	0	96	33	51	0	42	0	159	174	0	0	0	0	0	0	60	0	297	0	0	0	0	0	0	0	0
CON21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	36	0	0	0	0	0	0	0	0	310	30	30	72	0	0	0	0	0	30	0	30	0	129	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	2540	0	51	54	0	0	0	0	0	393	0	1354	612	0	0	468	0	0	0	0	0	78	108	171	0	51	51	0	77	0	0	0	0	0	51	0	0	0	550	0	0	0	0	0	39	30	0	0	93	0	0	90	0	42	0	0	0	0	0	0	42	0	0	0	0	30
