ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
HF18__9037,55,154,614,865,314,285,27,152,93,68,176,81,126,0,46,4,0,991,64,2,35,58,147,18,659,639,25,4091,94,988,792,147,131,0,109,86,127,227,99,444,185,128,0,20,134,2,370,162,2,174,476,68,10,40,15,45,356,94,354,78,65,150,0,109,35,106,191,132,189,96,81,403,89,214,583,438,104,71,0,17,0,110,98,104
HF19__17925,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,15,23,0,0,0,2,0,0,0,2,0,0,31,0,0,0,0,0,0,6,47,0,0,0,0,0,0,53,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,22,0,0,28,252,0,0,8,27,0,0,22
HF19__2924,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
HF19__29715,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,10,0,23,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,471,200,18,0,0,0,0,0,1,0,0,0,0,219,0,0,0,0,0,46,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,76,0,0,0,0,0,34,0,0,0,17,0,0,0
HF19__33673,376,357,24,256,0,1,109,4,3,0,3,0,83,92,25,0,425,2,595,0,7,348,148,20,544,37,17,13,49,26,318,102,24,24,204,1381,115,228,145,40,527,175,0,0,745,0,7,20,2,27,5,19,44,74,604,1,0,171,5,15,19,6,6,199,1,38,43,1098,9,18,11,2,8,295,308,4,7,3,1,1,3,0,0,16
HF19__41902,0,0,6,172,54,0,209,101,93,0,4,686,2,103,0,0,0,140,25,14,114,41,30,28,103,26,0,61,1,0,21070,232,54,0,2,1286,39,7,289,0,305,45,0,21,0,0,14,0,0,2,2,4,0,2,0,5,0,8,7,3969,0,0,0,193,0,0,34,1,28,0,52,2,2,913,229,26,15,2,15,15,3,0,3,0
HF19__56756,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,68,40,5,75,94,39,64,43,23,0,0,62,17,0,2,2,2,198,0,0,5,0,3,0,2,56,0,22,131,8,13,0,11,1,1,0,1,29,12,0,40,7,0,95,0,203,14,7,7,4,145,10,4,130,90,28,7,0,73,127,10,0,66,22,18,69,84
HF19__61864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF1__43792,793,283,863,169,788,736,0,11,125,18,2958,50,16,1090,445,503,389,1392,12,10,507,0,129,245,8,18,14,420,53,80,4,1979,146,767,6,199,576,10,0,2,606,179,1453,203,28,16,63,2,59,55,181,33,40,50,7,103,71,40,13,30,206,10,120,6,139,7,3856,13,4875,0,199,87,574,10,31,99,42,161,39,51,164,87,83,942
HF1__57871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF1__62401,0,1136,0,0,0,0,137,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,1,0,0,0,397,0,0,22,0,0,0,0,0,0,0,0,0,440,0,0,0,630,0,0,0,0,332,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
HF1__8061,1172,901,5928,1167,815,43,1136,1751,1745,19,939,8,13033,73,3647,0,115,89,187,0,1451,2864,1788,336,448,748,3691,481,1403,1085,4,1417,469,57,807,6,2581,352,31,693,989,267,571,0,514,9,2025,1047,0,220,1558,1064,62,313,191,933,2,366,293,1,3758,0,107,340,153,1361,1778,374,1968,226,153,1666,961,326,708,316,110,767,250,477,780,286,836,527
HF20__17643,0,124,33,0,47,0,11,4,14,1,360,0,70,1,144,0,0,0,97,0,0,20,7,37,23,4,102,22,25,0,30,30,0,0,57,4,11,115,0,0,3,88,0,0,34,0,0,1,0,2,0,32,12,79,12,36,0,50,6,0,14,0,0,8,2,66,51,0,0,12,72,299,5,66,18,3,24,0,0,12,0,0,18,72
HF20__20461,190,2111,621,293,1149,77,6,25,139,89,300,290,335,0,32,0,15,126,66,0,16,307,93,335,209,304,378,263,108,1437,1604,523,333,0,567,58,27,292,38,361,339,639,0,2,1132,0,700,586,0,50,590,14,136,137,50,45,189,1689,155,103,57,0,0,195,0,157,1035,28,149,415,0,227,316,5277,5607,717,31,17,8,233,28,68,158,94
HF20__47081,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,48,137,2,0,0,0,0,21,0,0,0,0,0,53,0,2,4,0,0,0,0,0,0,0,34,0,13,0,0,0,8,0,86,2,0,0,0,0,0,0,0,4,4,0,0,0,692,0,0,10,0,4,0,0,0,0,0,0,2,0,0,69,4
HF20__49479,782,6270,175,260,1124,11,6062,849,1803,95,633,0,2141,40,566,0,12,77,342,0,2892,300,5125,211,3873,2793,564,4054,1292,414,347,242,491,14,1424,16,250,385,71,1898,300,672,0,5,579,6,1850,6437,0,213,481,7008,18,876,2237,44,48,1516,181,56,268,0,0,835,324,1559,1415,436,494,605,244,584,595,719,246,1027,632,540,392,520,758,122,1116,1010
HF20__70910,39,38,1234,314,795,41,90,66,6,148,234,212,229,4,8,0,0,413,11,0,31,2,227,40,71,92,39,255,16,33,143,83,23,0,13,21,70,8,213,294,314,63,0,0,7,0,0,583,0,18,53,410,10,2,8,7,122,8,68,17,4,146,1,22,0,14,51,2,7,53,22,3,16,0,117,202,0,47,0,25,0,2,5,14
HF20__73575,0,0,239,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF20__76362,54,151,0,291,110,0,303,0,0,4503,0,0,6,0,85,264,0,0,0,0,2457,999,1667,3,425,46,156,325,32,409,13930,0,60,0,0,2,315,2065,38,318,0,2273,0,0,0,1,302,0,0,546,0,760,455,1508,68,2433,0,158,0,0,0,0,0,0,0,0,76,0,0,51,9828,943,297,271,2939,47,0,0,0,430,0,0,1001,584
HF20__80587,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,27,0,20,0,24,3,4,12,0,0,0,5,0,0,0,0,2,13,0,3,2,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,3,112,0,0,0,0,0,2,0,1,0,0,2,0,2,0,2,9,0,0,0,1,5,0,1,0,0,0,0,65,0
